"group","threshold","classification","villages","coding","definition"
"sc",0.6,"at_or_below",20456,"curated","narrow"
"sc",0.6,"unresolved",6025,"curated","narrow"
"st",0.4,"above",247,"curated","narrow"
"st",0.4,"at_or_below",18704,"curated","narrow"
"st",0.4,"unresolved",7675,"curated","narrow"
"st",0.5,"above",199,"curated","narrow"
"st",0.5,"at_or_below",19762,"curated","narrow"
"st",0.5,"unresolved",6665,"curated","narrow"
"st",0.6,"above",153,"curated","narrow"
"st",0.6,"at_or_below",20626,"curated","narrow"
"st",0.6,"unresolved",5847,"curated","narrow"
"muslim",0.4,"above",859,"curated","narrow"
"muslim",0.4,"at_or_below",17744,"curated","narrow"
"muslim",0.4,"unresolved",8023,"curated","narrow"
"muslim",0.5,"above",623,"curated","narrow"
"muslim",0.5,"at_or_below",18979,"curated","narrow"
"muslim",0.5,"unresolved",7024,"curated","narrow"
"muslim",0.6,"above",460,"curated","narrow"
"muslim",0.6,"at_or_below",20010,"curated","narrow"
"muslim",0.6,"unresolved",6156,"curated","narrow"
"upper",0.4,"above",9532,"curated","broad"
"upper",0.4,"at_or_below",9138,"curated","broad"
"upper",0.4,"unresolved",9777,"curated","broad"
"upper",0.5,"above",7952,"curated","broad"
"upper",0.5,"at_or_below",11191,"curated","broad"
"upper",0.5,"unresolved",9304,"curated","broad"
"upper",0.6,"above",6449,"curated","broad"
"upper",0.6,"at_or_below",13303,"curated","broad"
"upper",0.6,"unresolved",8695,"curated","broad"
"obc",0.4,"above",10084,"curated","broad"
"obc",0.4,"at_or_below",8619,"curated","broad"
"obc",0.4,"unresolved",9744,"curated","broad"
"obc",0.5,"above",8056,"curated","broad"
"obc",0.5,"at_or_below",10483,"curated","broad"
"obc",0.5,"unresolved",9908,"curated","broad"
"obc",0.6,"above",6253,"curated","broad"
"obc",0.6,"at_or_below",12467,"curated","broad"
"obc",0.6,"unresolved",9727,"curated","broad"
"sc",0.4,"above",219,"curated","broad"
"sc",0.4,"at_or_below",19742,"curated","broad"
"sc",0.4,"unresolved",8486,"curated","broad"
"sc",0.5,"above",153,"curated","broad"
"sc",0.5,"at_or_below",21051,"curated","broad"
"sc",0.5,"unresolved",7243,"curated","broad"
"sc",0.6,"above",113,"curated","broad"
"sc",0.6,"at_or_below",22102,"curated","broad"
"sc",0.6,"unresolved",6232,"curated","broad"
"st",0.4,"above",255,"curated","broad"
"st",0.4,"at_or_below",20141,"curated","broad"
"st",0.4,"unresolved",8051,"curated","broad"
"st",0.5,"above",205,"curated","broad"
"st",0.5,"at_or_below",21322,"curated","broad"
"st",0.5,"unresolved",6920,"curated","broad"
"st",0.6,"above",156,"curated","broad"
"st",0.6,"at_or_below",22275,"curated","broad"
"st",0.6,"unresolved",6016,"curated","broad"
"muslim",0.4,"above",882,"curated","broad"
"muslim",0.4,"at_or_below",19119,"curated","broad"
"muslim",0.4,"unresolved",8446,"curated","broad"
"muslim",0.5,"above",615,"curated","broad"
"muslim",0.5,"at_or_below",20510,"curated","broad"
"muslim",0.5,"unresolved",7322,"curated","broad"
"muslim",0.6,"above",460,"curated","broad"
"muslim",0.6,"at_or_below",21662,"curated","broad"
"muslim",0.6,"unresolved",6325,"curated","broad"
