"definition","before","after","villages"
"broad","unresolved","unresolved",10918
"narrow","unresolved","unresolved",10006
"broad","upper","upper",7824
"narrow","upper","upper",7444
"broad","muslim","muslim",587
"narrow","muslim","muslim",587
"broad","obc","obc",7811
"narrow","obc","obc",7328
"broad","unresolved","obc",245
"narrow","unresolved","obc",217
"broad","st","st",64
"narrow","st","st",68
"broad","none","none",440
"narrow","none","none",401
"narrow","sc","sc",188
"narrow","unresolved","none",96
"broad","sc","sc",153
"broad","unresolved","none",108
"narrow","unresolved","muslim",36
"broad","unresolved","muslim",28
"broad","unresolved","st",141
"narrow","unresolved","st",131
"broad","unresolved","upper",128
"narrow","unresolved","upper",124
