"group","linked","accounts","acres","coding","definition"
"obc",TRUE,1322985,1441083.90694636,"base","narrow"
"upper",TRUE,857209,1461316.41505749,"base","narrow"
"muslim",TRUE,206986,190976.346939795,"base","narrow"
"unknown",TRUE,1254560,1542789.70005934,"base","narrow"
"sc",TRUE,186376,120832.051242693,"base","narrow"
"unknown",FALSE,883271,1024249.36612447,"base","narrow"
"obc",FALSE,648519,739004.587184065,"base","narrow"
"muslim",FALSE,74721,74355.2738394992,"base","narrow"
"sc",FALSE,110141,75300.4650264958,"base","narrow"
"upper",FALSE,307209,552804.705425583,"base","narrow"
"st",TRUE,26257,25761.485742,"base","narrow"
"st",FALSE,9506,10285.5752155001,"base","narrow"
"obc",TRUE,1979847,2292688.24888595,"base","broad"
"unknown",TRUE,1901371,2323907.70433867,"base","broad"
"muslim",TRUE,305657,290838.598636774,"base","broad"
"upper",TRUE,1269678,2362894.81035484,"base","broad"
"sc",TRUE,312882,204707.076563177,"base","broad"
"st",TRUE,44397,46442.9534630004,"base","broad"
"obc",FALSE,967784,1124461.31109224,"base","broad"
"unknown",FALSE,1445690,1589718.33709561,"base","broad"
"sc",FALSE,179143,115350.996792584,"base","broad"
"muslim",FALSE,115518,117557.122869498,"base","broad"
"upper",FALSE,461461,873137.241626655,"base","broad"
"st",FALSE,17719,20204.4642205001,"base","broad"
"obc",TRUE,1346904,1470726.66068142,"curated","narrow"
"upper",TRUE,874371,1488356.0189575,"curated","narrow"
"muslim",TRUE,219901,200664.513991142,"curated","narrow"
"unknown",TRUE,1189596,1450181.05505387,"curated","narrow"
"sc",TRUE,186376,120832.051242693,"curated","narrow"
"unknown",FALSE,849289,969410.34241993,"curated","narrow"
"obc",FALSE,660168,756287.651429069,"curated","narrow"
"muslim",FALSE,81791,81247.9197489985,"curated","narrow"
"sc",FALSE,110141,75300.4650264958,"curated","narrow"
"upper",FALSE,313464,563291.934475584,"curated","narrow"
"st",TRUE,37225,51999.6060610006,"curated","narrow"
"st",FALSE,18514,30461.6597155,"curated","narrow"
"obc",TRUE,2018171,2344032.580078,"curated","broad"
"muslim",TRUE,326707,307254.163586124,"curated","broad"
"upper",TRUE,1293024,2403007.43348486,"curated","broad"
"unknown",TRUE,1802221,2174618.5576264,"curated","broad"
"sc",TRUE,312882,204707.076563177,"curated","broad"
"st",TRUE,60827,87859.5809040002,"curated","broad"
"obc",FALSE,994834,1156743.00102224,"curated","broad"
"muslim",FALSE,126115,126974.811528997,"curated","broad"
"unknown",FALSE,1383217,1498619.57579857,"curated","broad"
"sc",FALSE,179143,115350.996792584,"curated","broad"
"upper",FALSE,469409,886641.935976668,"curated","broad"
"st",FALSE,34597,56099.1525774997,"curated","broad"
