"definition","majority","villages","median_accounts","median_total_acres","median_account_acres","median_paddy_share","median_fallow_share","median_largest_account_share"
"narrow","obc",7549,77,80.835,0.956049382716049,0.999578691133789,0,0.107644031268971
"narrow","unresolved",9998,82,87.31035,0.987306868131868,0.998934525360204,0,0.111471706665787
"narrow","upper",7571,75,99.69,1.16150140581068,0.997078912324412,0.000946353581356835,0.107164182082206
"narrow","sc",188,7,5.105,0.619880729166667,1,0,0.494064809309437
"narrow","none",490,103,103.9121,0.889928156280271,0.997230589278129,0.0010061392804542,0.0884303668365587
"narrow","muslim",625,93,74.0625,0.763561643835616,0.998826684545759,0.000317118031331262,0.101798646245889
"narrow","st",199,23,50.2235,2.2630625,1,0,0.277766208557843
"broad","obc",8058,111,129.97,1.07111223203026,0.750660421393255,0,0.0886591930101912
"broad","none",544,135,169.44705,1.03135579937304,0.619885465563934,0.000644193560838205,0.0733979315552934
"broad","upper",7956,110,165.6225,1.37305345117845,0.676478561511337,0.000396575310654592,0.0913045172713376
"broad","unresolved",10909,129,138.8175,1.03483605442177,0.707555986229834,0,0.0892098555649958
"broad","sc",153,28,33.57,1.00857142857143,0.427040816326531,0,0.269607843137255
"broad","muslim",617,124,121.3625,0.833484848484848,0.652803400978584,5.33445712563447e-05,0.0862901236742891
"broad","st",205,37,85.1149,2.41235223880597,0.639160326641432,0,0.196029432181036
