"village","domlow","bihar","households","model"
60,1,0,15,"T3_2"
61,1,0,14,"T3_2"
68,1,0,14,"T3_2"
69,1,0,12,"T3_2"
70,1,0,14,"T3_2"
74,1,0,12,"T3_2"
83,1,0,15,"T3_2"
84,1,0,15,"T3_2"
85,1,0,13,"T3_2"
86,1,0,14,"T3_2"
89,1,0,13,"T3_2"
91,1,0,11,"T3_2"
93,1,0,15,"T3_2"
94,1,0,15,"T3_2"
95,1,0,15,"T3_2"
97,1,0,15,"T3_2"
98,1,0,12,"T3_2"
100,1,0,14,"T3_2"
102,1,0,11,"T3_2"
105,1,0,32,"T3_2"
109,1,0,27,"T3_2"
113,1,0,28,"T3_2"
114,1,0,27,"T3_2"
2,0,1,7,"T3_2"
3,0,1,2,"T3_2"
5,0,1,9,"T3_2"
6,0,1,9,"T3_2"
9,0,1,7,"T3_2"
11,0,1,7,"T3_2"
12,0,1,10,"T3_2"
15,0,1,7,"T3_2"
17,0,1,12,"T3_2"
22,0,1,5,"T3_2"
24,0,1,7,"T3_2"
26,0,1,14,"T3_2"
27,0,1,11,"T3_2"
29,0,1,11,"T3_2"
30,0,1,11,"T3_2"
33,0,1,4,"T3_2"
39,0,1,11,"T3_2"
46,0,1,21,"T3_2"
51,0,1,20,"T3_2"
55,0,1,12,"T3_2"
56,0,1,16,"T3_2"
122,0,1,8,"T3_2"
8,1,1,15,"T3_2"
10,1,1,14,"T3_2"
18,1,1,12,"T3_2"
20,1,1,9,"T3_2"
23,1,1,15,"T3_2"
25,1,1,13,"T3_2"
37,1,1,15,"T3_2"
41,1,1,14,"T3_2"
42,1,1,10,"T3_2"
45,1,1,15,"T3_2"
47,1,1,30,"T3_2"
48,1,1,30,"T3_2"
49,1,1,24,"T3_2"
52,1,1,30,"T3_2"
54,1,1,30,"T3_2"
123,1,1,15,"T3_2"
134,1,1,14,"T3_2"
62,0,0,9,"T4_2"
65,0,0,10,"T4_2"
71,0,0,3,"T4_2"
72,0,0,13,"T4_2"
73,0,0,12,"T4_2"
75,0,0,10,"T4_2"
77,0,0,9,"T4_2"
78,0,0,4,"T4_2"
79,0,0,11,"T4_2"
80,0,0,12,"T4_2"
81,0,0,12,"T4_2"
82,0,0,15,"T4_2"
87,0,0,1,"T4_2"
88,0,0,10,"T4_2"
92,0,0,7,"T4_2"
99,0,0,10,"T4_2"
101,0,0,6,"T4_2"
103,0,0,25,"T4_2"
104,0,0,24,"T4_2"
106,0,0,23,"T4_2"
107,0,0,26,"T4_2"
108,0,0,22,"T4_2"
111,0,0,26,"T4_2"
112,0,0,21,"T4_2"
119,0,0,27,"T4_2"
120,0,0,22,"T4_2"
58,1,0,12,"T4_2"
59,1,0,14,"T4_2"
60,1,0,15,"T4_2"
61,1,0,14,"T4_2"
68,1,0,14,"T4_2"
69,1,0,12,"T4_2"
70,1,0,14,"T4_2"
74,1,0,12,"T4_2"
83,1,0,15,"T4_2"
84,1,0,15,"T4_2"
85,1,0,13,"T4_2"
86,1,0,14,"T4_2"
89,1,0,13,"T4_2"
91,1,0,11,"T4_2"
93,1,0,15,"T4_2"
94,1,0,15,"T4_2"
95,1,0,15,"T4_2"
97,1,0,15,"T4_2"
98,1,0,12,"T4_2"
100,1,0,14,"T4_2"
102,1,0,11,"T4_2"
105,1,0,32,"T4_2"
109,1,0,27,"T4_2"
113,1,0,28,"T4_2"
114,1,0,27,"T4_2"
2,0,1,7,"T4_2"
3,0,1,2,"T4_2"
5,0,1,9,"T4_2"
6,0,1,9,"T4_2"
9,0,1,7,"T4_2"
11,0,1,7,"T4_2"
12,0,1,10,"T4_2"
15,0,1,7,"T4_2"
17,0,1,12,"T4_2"
22,0,1,5,"T4_2"
24,0,1,7,"T4_2"
26,0,1,14,"T4_2"
27,0,1,11,"T4_2"
29,0,1,11,"T4_2"
30,0,1,11,"T4_2"
33,0,1,4,"T4_2"
39,0,1,11,"T4_2"
46,0,1,21,"T4_2"
51,0,1,20,"T4_2"
55,0,1,12,"T4_2"
56,0,1,16,"T4_2"
122,0,1,8,"T4_2"
8,1,1,15,"T4_2"
10,1,1,14,"T4_2"
18,1,1,12,"T4_2"
20,1,1,9,"T4_2"
23,1,1,15,"T4_2"
25,1,1,13,"T4_2"
37,1,1,15,"T4_2"
41,1,1,14,"T4_2"
42,1,1,10,"T4_2"
45,1,1,15,"T4_2"
47,1,1,30,"T4_2"
48,1,1,30,"T4_2"
49,1,1,24,"T4_2"
52,1,1,30,"T4_2"
54,1,1,30,"T4_2"
123,1,1,15,"T4_2"
134,1,1,14,"T4_2"
