"village","domlow","bihar","households","model"
62,0,0,9,"T3_1"
65,0,0,10,"T3_1"
71,0,0,3,"T3_1"
72,0,0,13,"T3_1"
73,0,0,12,"T3_1"
75,0,0,10,"T3_1"
77,0,0,9,"T3_1"
78,0,0,4,"T3_1"
79,0,0,11,"T3_1"
80,0,0,12,"T3_1"
81,0,0,12,"T3_1"
82,0,0,15,"T3_1"
87,0,0,1,"T3_1"
88,0,0,10,"T3_1"
92,0,0,7,"T3_1"
99,0,0,10,"T3_1"
101,0,0,6,"T3_1"
103,0,0,25,"T3_1"
104,0,0,24,"T3_1"
106,0,0,23,"T3_1"
107,0,0,26,"T3_1"
108,0,0,22,"T3_1"
111,0,0,26,"T3_1"
112,0,0,21,"T3_1"
119,0,0,27,"T3_1"
120,0,0,22,"T3_1"
58,1,0,12,"T3_1"
59,1,0,14,"T3_1"
60,1,0,15,"T3_1"
61,1,0,14,"T3_1"
68,1,0,14,"T3_1"
69,1,0,12,"T3_1"
70,1,0,14,"T3_1"
74,1,0,12,"T3_1"
83,1,0,15,"T3_1"
84,1,0,15,"T3_1"
85,1,0,13,"T3_1"
86,1,0,14,"T3_1"
89,1,0,13,"T3_1"
91,1,0,11,"T3_1"
93,1,0,15,"T3_1"
94,1,0,15,"T3_1"
95,1,0,15,"T3_1"
97,1,0,15,"T3_1"
98,1,0,12,"T3_1"
100,1,0,14,"T3_1"
102,1,0,11,"T3_1"
105,1,0,32,"T3_1"
109,1,0,27,"T3_1"
113,1,0,28,"T3_1"
114,1,0,27,"T3_1"
2,0,1,7,"T3_1"
3,0,1,2,"T3_1"
5,0,1,9,"T3_1"
6,0,1,9,"T3_1"
9,0,1,7,"T3_1"
11,0,1,7,"T3_1"
12,0,1,10,"T3_1"
15,0,1,7,"T3_1"
17,0,1,12,"T3_1"
22,0,1,5,"T3_1"
24,0,1,7,"T3_1"
26,0,1,14,"T3_1"
27,0,1,11,"T3_1"
29,0,1,11,"T3_1"
30,0,1,11,"T3_1"
33,0,1,4,"T3_1"
39,0,1,11,"T3_1"
46,0,1,21,"T3_1"
51,0,1,20,"T3_1"
55,0,1,12,"T3_1"
56,0,1,16,"T3_1"
122,0,1,8,"T3_1"
8,1,1,15,"T3_1"
10,1,1,14,"T3_1"
18,1,1,12,"T3_1"
20,1,1,9,"T3_1"
23,1,1,15,"T3_1"
25,1,1,13,"T3_1"
37,1,1,15,"T3_1"
41,1,1,14,"T3_1"
42,1,1,10,"T3_1"
45,1,1,15,"T3_1"
47,1,1,30,"T3_1"
48,1,1,30,"T3_1"
49,1,1,24,"T3_1"
52,1,1,30,"T3_1"
54,1,1,30,"T3_1"
123,1,1,15,"T3_1"
134,1,1,14,"T3_1"
62,0,0,9,"T3_2"
65,0,0,10,"T3_2"
71,0,0,3,"T3_2"
72,0,0,13,"T3_2"
73,0,0,12,"T3_2"
75,0,0,10,"T3_2"
77,0,0,9,"T3_2"
78,0,0,4,"T3_2"
79,0,0,11,"T3_2"
80,0,0,12,"T3_2"
81,0,0,12,"T3_2"
82,0,0,15,"T3_2"
87,0,0,1,"T3_2"
88,0,0,10,"T3_2"
92,0,0,7,"T3_2"
99,0,0,10,"T3_2"
101,0,0,6,"T3_2"
103,0,0,25,"T3_2"
104,0,0,24,"T3_2"
106,0,0,23,"T3_2"
107,0,0,26,"T3_2"
108,0,0,22,"T3_2"
111,0,0,26,"T3_2"
112,0,0,21,"T3_2"
119,0,0,27,"T3_2"
120,0,0,22,"T3_2"
58,1,0,12,"T3_2"
59,1,0,14,"T3_2"
