"village","rank","max_contrast_residual","aliases"
2,34,4.43012017790539e-16,""
3,34,2.22044604925031e-16,""
5,34,3.33066907387547e-16,""
6,34,2.98036347046641e-16,""
8,34,1.41702600670088e-16,""
9,34,2.22044604925031e-16,""
10,34,2.22044604925031e-16,""
11,34,2.22044604925031e-16,""
12,34,2.22044604925031e-16,""
15,34,2.22044604925031e-16,""
17,34,2.22044604925031e-16,""
18,34,2.22044604925031e-16,""
20,34,2.22044604925031e-16,""
22,34,2.22044604925031e-16,""
23,34,2.22044604925031e-16,""
24,34,2.22044604925031e-16,""
25,34,2.22044604925031e-16,""
26,34,2.22044604925031e-16,""
27,34,2.22044604925031e-16,""
29,34,2.22044604925031e-16,""
30,34,2.22044604925031e-16,""
33,33,2.22044604925031e-16,"dist13"
37,34,2.22044604925031e-16,""
39,34,2.22044604925031e-16,""
41,34,2.22044604925031e-16,""
42,34,2.22044604925031e-16,""
45,34,2.22044604925031e-16,""
46,34,2.22044604925031e-16,""
47,34,2.22044604925031e-16,""
48,34,2.22044604925031e-16,""
49,34,2.22044604925031e-16,""
51,34,2.22044604925031e-16,""
52,34,2.22044604925031e-16,""
54,34,2.22044604925031e-16,""
55,34,2.22044604925031e-16,""
56,34,2.22044604925031e-16,""
58,34,2.22044604925031e-16,""
59,34,2.22044604925031e-16,""
60,34,2.22044604925031e-16,""
61,34,2.22044604925031e-16,""
62,34,2.22044604925031e-16,""
65,33,2.22044604925031e-16,"dist25"
68,34,2.22044604925031e-16,""
69,34,2.22044604925031e-16,""
70,34,2.22044604925031e-16,""
71,34,2.22044604925031e-16,""
72,34,2.22044604925031e-16,""
73,34,2.22044604925031e-16,""
74,34,2.22044604925031e-16,""
75,34,2.22044604925031e-16,""
77,34,2.22044604925031e-16,""
78,34,2.22044604925031e-16,""
79,34,2.22044604925031e-16,""
80,34,2.22044604925031e-16,""
81,34,2.22044604925031e-16,""
82,34,2.22044604925031e-16,""
83,34,2.22044604925031e-16,""
84,34,2.22044604925031e-16,""
85,34,2.22044604925031e-16,""
86,34,2.22044604925031e-16,""
87,34,2.22044604925031e-16,""
88,34,2.22044604925031e-16,""
89,34,2.22044604925031e-16,""
91,34,2.22044604925031e-16,""
92,34,2.22044604925031e-16,""
93,34,2.22044604925031e-16,""
94,34,2.22044604925031e-16,""
95,34,2.22044604925031e-16,""
97,34,2.22044604925031e-16,""
98,34,2.22044604925031e-16,""
99,34,2.22044604925031e-16,""
100,34,2.22044604925031e-16,""
101,34,2.22044604925031e-16,""
102,34,2.22044604925031e-16,""
103,34,2.22044604925031e-16,""
104,34,2.22044604925031e-16,""
105,34,2.22044604925031e-16,""
106,34,2.22044604925031e-16,""
107,34,2.22044604925031e-16,""
108,34,2.22044604925031e-16,""
109,34,2.22044604925031e-16,""
111,34,2.22044604925031e-16,""
112,34,2.22044604925031e-16,""
113,34,2.22044604925031e-16,""
114,34,2.22044604925031e-16,""
119,34,2.22044604925031e-16,""
120,34,2.22044604925031e-16,""
122,34,2.22044604925031e-16,""
123,34,2.22044604925031e-16,""
134,34,2.22044604925031e-16,""
