"specification","flipped_village","original_domlow","households_reclassified","n","villages","estimate","standard_error","lower","upper","p_value"
"baseline",NA,NA,0,1295,90,566.533721950646,209.033476168458,151.188657320167,981.878786581125,0.00806590483246135
"baseline",2,0,7,1295,90,566.119137477909,209.870888781518,149.110151822582,983.128123133237,0.00835748780044898
"baseline",3,0,2,1295,90,564.709350028439,209.213683267461,149.006217730741,980.412482326137,0.00831737684464762
"baseline",5,0,9,1295,90,558.580740076258,210.266310636234,140.78605961829,976.375420534225,0.00935606332949102
"baseline",6,0,9,1295,90,571.734076796779,210.557056449762,153.361690600361,990.106462993197,0.00795253108746516
"baseline",8,1,15,1295,90,538.239067390041,209.840031556257,121.291394384032,955.18674039605,0.0119920750680534
"baseline",9,0,7,1295,90,568.853551132609,210.304645079025,150.982700953358,986.72440131186,0.00818675508174808
"baseline",10,1,14,1295,90,566.923601099153,207.985462107165,153.660918085246,980.18628411306,0.00772428598786237
"baseline",11,0,7,1295,90,559.094217745862,210.283234015187,141.26591089439,976.922524597333,0.00929902810355755
"baseline",12,0,10,1295,90,558.955280080444,210.584424546002,140.528514059751,977.382046101137,0.00941358133518057
"baseline",15,0,7,1295,90,557.228469850254,210.644751536646,138.681835384145,975.775104316363,0.0096474043100006
"baseline",17,0,12,1295,90,562.812952098498,211.290671708603,142.98288800913,982.643016187866,0.00917412133210327
"baseline",18,1,12,1295,90,566.280808509414,208.174364546801,152.642780371664,979.918836647164,0.00784506334130125
"baseline",20,1,9,1295,90,577.608241901559,208.022216257368,164.272529174081,990.943954629038,0.006695432488044
"baseline",22,0,5,1295,90,563.250883861674,209.600374342197,146.779404635185,979.722363088162,0.00859693831303526
"baseline",23,1,15,1295,90,540.177312729695,210.092516865973,122.727956791344,957.626668668047,0.0117961527354115
"baseline",24,0,7,1295,90,560.559163281815,210.246110483192,142.804620097668,978.313706465963,0.00911092071446336
"baseline",25,1,13,1295,90,523.799992852876,211.655210851821,103.245597250796,944.354388454955,0.0152270837593616
"baseline",26,0,14,1295,90,555.29502494005,211.315235632862,135.416152856402,975.173897023697,0.0101206304088738
"baseline",27,0,11,1295,90,562.961708258227,211.502620022761,142.71050738323,983.212909133224,0.00922381802769583
"baseline",29,0,11,1295,90,597.160016650409,209.906392227321,180.080486404512,1014.23954689631,0.00551229922095131
"baseline",30,0,11,1295,90,554.922072179876,210.699169677494,136.267310027035,973.576834332717,0.00995881703226393
"baseline",33,0,4,1295,90,567.324575931036,209.748470055631,150.558833676467,984.090318185606,0.0081894195883426
"baseline",37,1,15,1295,90,593.69186415184,207.892778291253,180.613341905939,1006.77038639774,0.00534253120001754
"baseline",39,0,11,1295,90,612.572928229239,206.903940160373,201.459206286656,1023.68665017182,0.00393448366278215
"baseline",41,1,14,1295,90,568.824281060617,207.569581073896,156.387944801344,981.26061731989,0.00741484886841916
"baseline",42,1,10,1295,90,573.311405284267,208.211821269036,159.598951437283,987.023859131252,0.00714724195513774
"baseline",45,1,15,1295,90,554.461829117531,208.882714771668,139.416324171181,969.507334063881,0.00941068934424667
"baseline",46,0,21,1295,90,562.840732861761,213.360006614577,138.898944392077,986.782521331444,0.00984346945715429
"baseline",47,1,30,1295,90,553.745928519497,208.115531100873,140.224801185625,967.267055853369,0.00924823392829352
"baseline",48,1,30,1295,90,544.395432911136,210.491452974899,126.153399421883,962.637466400388,0.0113247539560463
"baseline",49,1,24,1295,90,555.003269094498,207.708990605687,142.289929065048,967.716609123948,0.00896616714891012
"baseline",51,0,20,1295,90,571.454767553692,212.358475738211,149.502999602246,993.406535505138,0.00850868084706665
"baseline",52,1,30,1295,90,604.151495434566,208.030865825149,190.798596200147,1017.50439466899,0.00464375234266925
"baseline",54,1,30,1295,90,570.620818978206,206.668737989177,159.974438739867,981.267199216544,0.00699721605225164
"baseline",55,0,12,1295,90,563.302589537972,210.916754537659,144.215490902649,982.389688173295,0.00899805624522919
"baseline",56,0,16,1295,90,582.225879164371,211.135204277097,162.704725549872,1001.74703277887,0.00706537075649435
"baseline",58,1,12,1295,90,550.315956091192,214.151676948776,124.801135530423,975.830776651961,0.0118402823288319
"baseline",59,1,14,1295,90,516.31263936922,214.898657847073,89.3135836745968,943.311695063843,0.0183567546934116
"baseline",60,1,15,1295,90,502.577817077122,214.242736279051,76.8820635667063,928.273570587538,0.0212063949836757
"baseline",61,1,14,1295,90,535.685139752622,216.457769388124,105.588162635778,965.782116869467,0.015227107099956
"baseline",62,0,9,1295,90,565.931420383957,206.023196041967,156.567718244362,975.295122523551,0.00728035718926922
"baseline",65,0,10,1295,90,539.838095293802,205.217833780991,132.074630812152,947.601559775451,0.0100448860580179
"baseline",68,1,14,1295,90,453.600765565714,214.022168367102,28.3432757981349,878.858255333293,0.0368404715017884
"baseline",69,1,12,1295,90,484.671240245142,218.395743168129,50.7235505072255,918.618929983058,0.0290132715549644
"baseline",70,1,14,1295,90,244.618389435767,274.669091306738,-301.143244403467,790.380023275002,0.375548735799663
"baseline",71,0,3,1295,90,585.378141473303,207.769016895928,172.545530483734,998.210752462871,0.00596300562771635
"baseline",72,0,13,1295,90,634.833262528822,202.472803747095,232.524114254029,1037.14241080361,0.00232562779627237
"baseline",73,0,12,1295,90,562.31704851197,203.945763679376,157.081160226508,967.552936797432,0.00707348989058141
"baseline",74,1,12,1295,90,580.27913757213,214.881800241825,153.313577580059,1007.2446975642,0.00828839457927172
"baseline",75,0,10,1295,90,576.480395608278,204.799001316158,169.549142312913,983.411648903643,0.00600719936318981
"baseline",77,0,9,1295,90,546.237259856376,205.420300936385,138.071497449609,954.403022263143,0.00929002856404503
"baseline",78,0,4,1295,90,554.550234167318,207.133968060642,142.979451686607,966.121016648029,0.00883782839263485
"baseline",79,0,11,1295,90,566.544866393041,204.314697408529,160.575914646222,972.51381813986,0.00676700208412678
"baseline",80,0,12,1295,90,546.507819236003,204.47468221291,140.220981090635,952.79465738137,0.00894846449953977
"baseline",81,0,12,1295,90,530.199696470831,204.947443646754,122.973491426467,937.425901515196,0.0113035159198594
"baseline",82,0,15,1295,90,533.134156668195,201.942620728598,131.878470757995,934.389842578394,0.00978872519723452
"baseline",83,1,15,1295,90,569.655541216606,217.029892128411,138.421768401307,1000.88931403191,0.0102043187467376
"baseline",84,1,15,1295,90,359.935888006202,244.600844127491,-126.080779156378,845.952555168781,0.14467677838065
"baseline",85,1,13,1295,90,594.020093121156,214.470101005182,167.872570742898,1020.16761549941,0.0068282713574558
"baseline",86,1,14,1295,90,537.75330283594,215.811979564371,108.939496343251,966.567109328629,0.014563915628076
"baseline",87,0,1,1295,90,563.650306089995,208.673379665272,149.020745541112,978.279866638879,0.0082733390396148
"baseline",88,0,10,1295,90,542.899864546607,205.666071434601,134.245761394916,951.553967698297,0.00979709049031263
"baseline",89,1,13,1295,90,607.128920889569,215.466414033063,179.001745746872,1035.25609603227,0.00595796917263645
"baseline",91,1,11,1295,90,483.177040216129,221.801650233942,42.4618856859432,923.892194746314,0.0320180128341884
"baseline",92,0,7,1295,90,564.777447022276,206.129714893127,155.20209419433,974.352799850223,0.00742503704329191
"baseline",93,1,15,1295,90,611.928433906844,214.786944017746,185.151351211534,1038.70551660215,0.00544747656128108
"baseline",94,1,15,1295,90,619.515021302281,216.265001688305,189.80106949893,1049.22897310563,0.00520789430409888
"baseline",95,1,15,1295,90,585.187779186883,216.414883168167,155.176016075595,1015.19954229817,0.00820709420262552
"baseline",97,1,15,1295,90,633.081845878426,218.288197172202,199.347847743633,1066.81584401322,0.00469723882056636
"baseline",98,1,12,1295,90,575.800447566796,215.406976454482,147.791373626688,1003.8095215069,0.00894006310213003
"baseline",99,0,10,1295,90,558.100910665059,204.69478371768,151.376735517982,964.825085812135,0.007708814621907
"baseline",100,1,14,1295,90,601.891298724431,213.670133440963,177.333294856574,1026.44930259229,0.00597200849481226
"baseline",101,0,6,1295,90,545.399635353191,206.607106199845,134.875716167466,955.923554538916,0.00979505594381684
"baseline",102,1,11,1295,90,564.190873704699,214.495630319001,137.992625123671,990.389122285727,0.0100516571469074
"baseline",103,0,25,1295,90,511.395993647429,200.38924406426,113.22683408158,909.565153213278,0.0124158526930227
"baseline",104,0,24,1295,90,535.385024850253,201.015052690545,135.972396874008,934.797652826499,0.00918125652391643
"baseline",105,1,32,1295,90,656.134758406768,218.741466993187,221.50012279255,1090.76939402099,0.00350569333634849
"baseline",106,0,23,1295,90,548.061755535146,201.646528382445,147.39439880984,948.729112260453,0.00789530720277823
"baseline",107,0,26,1295,90,479.044199268111,196.305011323792,88.9903231613974,869.098075374824,0.0166565442791843
"baseline",108,0,22,1295,90,529.704597009021,202.138053148374,128.060591043533,931.34860297451,0.0103235269617377
"baseline",109,1,27,1295,90,620.0302071685,217.864177134591,187.138727816605,1052.9216865204,0.00549551457769797
"baseline",111,0,26,1295,90,492.583551564409,202.199304856074,90.8178397604124,894.349263368405,0.0168376282841428
"baseline",112,0,21,1295,90,495.132672390248,200.45146027369,96.839890541496,893.425454239,0.0154149485915876
"baseline",113,1,28,1295,90,460.657807303777,232.558077038898,-1.430138170654,922.745752778208,0.0506980175835362
