"specification","flipped_village","original_domlow","households_reclassified","n","villages","estimate","standard_error","lower","upper","p_value"
"baseline",114,1,27,1295,90,640.756821688414,220.537049433632,202.554402011824,1078.959241365,0.00462626316787792
"baseline",119,0,27,1295,90,534.791940988609,198.42490324041,140.525884798319,929.0579971789,0.00841042332790188
"baseline",120,0,22,1295,90,559.361012225786,199.867789955188,162.227970867431,956.494053584141,0.0062908735048588
"baseline",122,0,8,1295,90,560.482099741672,209.893982318927,143.427227719417,977.536971763927,0.00900856030872261
"baseline",123,1,15,1295,90,528.157909385739,209.81276802211,111.264408441355,945.051410330124,0.0136164963342234
"baseline",134,1,14,1295,90,549.336593467593,208.41763837587,135.215185413336,963.458001521849,0.00990376665461748
"district_adjusted",NA,NA,0,1295,90,393.354818252536,191.563233791661,12.7227530999646,773.986883405108,0.0429693661108957
"district_adjusted",2,0,7,1295,90,384.317429224494,190.443010933669,5.911223029452,762.723635419536,0.0466006266044474
"district_adjusted",3,0,2,1295,90,387.014932728974,190.836616467142,7.82664072291266,766.203224735034,0.0455512594461553
"district_adjusted",5,0,9,1295,90,367.863096922527,190.474380098582,-10.6054391350182,746.331632980073,0.056628380585248
"district_adjusted",6,0,9,1295,90,403.320229469502,196.790077004011,12.3025381883322,794.337920750672,0.0433573231182961
"district_adjusted",8,1,15,1295,90,369.377682598444,194.05138753961,-16.1982910523988,754.953656249286,0.0602065179532042
"district_adjusted",9,0,7,1295,90,398.380549971175,195.098591872225,10.7238036173948,786.037296324955,0.0441170458558698
"district_adjusted",10,1,14,1295,90,416.777527209865,192.134565080045,35.0102389569114,798.544815462819,0.0327334728169984
"district_adjusted",11,0,7,1295,90,381.414211162961,186.305004304785,11.2301359979276,751.598286327994,0.0435813247631109
"district_adjusted",12,0,10,1295,90,382.757701573071,185.3112410278,14.5482128717574,750.967190274385,0.041785274034513
"district_adjusted",15,0,7,1295,90,380.32366649377,185.42812979371,11.8819223043817,748.765410683159,0.0432015300027087
"district_adjusted",17,0,12,1295,90,417.466398316526,201.197298495612,17.6916518075369,817.241144825515,0.0408818913674932
"district_adjusted",18,1,12,1295,90,389.074330727419,192.906524977297,5.77317460175396,772.375486853085,0.046718906380144
"district_adjusted",20,1,9,1295,90,405.515795315887,192.005507110358,24.0049424997052,787.02664813207,0.0374883654408184
"district_adjusted",22,0,5,1295,90,381.296509356673,195.574134066987,-7.3051292088154,769.898147922161,0.0543689223671403
"district_adjusted",23,1,15,1295,90,382.678187773408,187.070355743309,10.9733756023895,754.382999944426,0.0437440176164085
"district_adjusted",24,0,7,1295,90,378.010110168492,196.324422062508,-12.0823346625928,768.102554999577,0.0573678632104132
"district_adjusted",25,1,13,1295,90,342.889095041761,190.069720649606,-34.7753913101158,720.553581393638,0.0746116153657419
"district_adjusted",26,0,14,1295,90,346.662326797329,183.859827680488,-18.6632344986953,711.987888093354,0.0626285511835913
"district_adjusted",27,0,11,1295,90,370.561578890948,183.863228135011,5.22926096421617,735.89389681768,0.0468773964392576
"district_adjusted",29,0,11,1295,90,427.828610264629,184.844938950611,60.5456538582249,795.111566671032,0.0229405301421501
"district_adjusted",30,0,11,1295,90,350.498358070193,184.136289525531,-15.3765270231588,716.373243163545,0.060210743952592
"district_adjusted",33,0,4,1295,90,393.354818252534,191.563233791662,12.722753099961,773.986883405108,0.0429693661108976
"district_adjusted",37,1,15,1295,90,477.876352409658,192.699199527847,94.9871475359156,860.7655572834,0.0150240761253479
"district_adjusted",39,0,11,1295,90,477.876352409657,192.699199527846,94.9871475359172,860.765557283397,0.0150240761253475
"district_adjusted",41,1,14,1295,90,375.651148135034,181.349603299372,15.3133492152673,735.988947054801,0.0412145050259642
"district_adjusted",42,1,10,1295,90,390.135043332638,183.632843393682,25.2604949796199,755.009591685656,0.0363977381019626
"district_adjusted",45,1,15,1295,90,357.600506849648,182.181138986303,-4.38953576792881,719.590549467224,0.052782486442469
"district_adjusted",46,0,21,1295,90,415.133026921256,211.108183008765,-4.33443600863365,834.600489851145,0.0523629621778247
"district_adjusted",47,1,30,1295,90,378.999743620134,187.625157462556,6.19255225052245,751.806934989745,0.0463921826220571
"district_adjusted",48,1,30,1295,90,377.520480862188,190.313604233913,-0.628596976865367,755.669558701242,0.0503738805737735
"district_adjusted",49,1,24,1295,90,412.46717027288,205.032067512363,5.07281941008097,819.861521135678,0.0472738875314874
"district_adjusted",51,0,20,1295,90,412.467170272876,205.032067512362,5.07281941007938,819.861521135673,0.0472738875314883
"district_adjusted",52,1,30,1295,90,398.644610318077,176.608706028379,47.7268732923209,749.562347343832,0.0264415433213423
"district_adjusted",54,1,30,1295,90,324.087708797098,180.272863513486,-34.1106311032009,682.286048697397,0.0756058350572236
"district_adjusted",55,0,12,1295,90,362.434677363396,184.853345883842,-4.8649834402658,729.734338167058,0.0530457982917766
"district_adjusted",56,0,16,1295,90,393.465763552876,183.72369829066,28.4106884548161,758.520838650936,0.0349564233077885
"district_adjusted",58,1,12,1295,90,402.128091070399,187.092830673554,30.3786216917126,773.877560449086,0.0343202051707861
"district_adjusted",59,1,14,1295,90,350.823115337569,184.441703591921,-15.6586210002288,717.304851675367,0.0603947440541906
"district_adjusted",60,1,15,1295,90,329.539080303596,184.786253543335,-37.6272694485789,696.70543005577,0.0779378757375528
"district_adjusted",61,1,14,1295,90,391.203208438931,184.33453972163,24.9344044287566,757.472012449105,0.0365950935693962
"district_adjusted",62,0,9,1295,90,370.560852738409,198.20399461556,-23.2662627197663,764.387968196583,0.0648283218044516
"district_adjusted",65,0,10,1295,90,393.354818252537,191.563233791661,12.7227530999641,773.98688340511,0.042969366110896
"district_adjusted",68,1,14,1295,90,451.672954585679,217.075306863779,20.348943658561,882.996965512797,0.0403334707874285
"district_adjusted",69,1,12,1295,90,472.286382318865,208.54339012718,57.9151082133294,886.657656424401,0.0259599421540822
"district_adjusted",70,1,14,1295,90,91.7904283105903,248.433495299898,-401.841635094201,585.422491715382,0.712649962261537
"district_adjusted",71,0,3,1295,90,373.213255007706,189.669234567976,-3.65547403052375,750.081984045935,0.0522153890258659
"district_adjusted",72,0,13,1295,90,278.845475598437,167.562451235781,-54.09754584412,611.788497040993,0.0996039236363965
"district_adjusted",73,0,12,1295,90,395.151364372591,190.567259979902,16.4982779692507,773.804450775931,0.0410109414279729
"district_adjusted",74,1,12,1295,90,431.084994537104,200.419439627531,32.8558370302151,829.314152043993,0.0341928170988453
"district_adjusted",75,0,10,1295,90,421.797269305711,189.082001212779,46.0953604358987,797.499178175523,0.0282104533215211
"district_adjusted",77,0,9,1295,90,364.701670697836,188.013661247843,-8.87746941781762,738.28081081349,0.0555754461928523
"district_adjusted",78,0,4,1295,90,376.156324322271,187.918955291376,2.76536292483411,749.547285719708,0.0483628638062326
"district_adjusted",79,0,11,1295,90,412.416760058696,182.644311669413,49.5064031855862,775.327116931806,0.026388771864742
"district_adjusted",80,0,12,1295,90,379.420406308449,182.844037074918,16.1131993088514,742.727613308047,0.0408635202311785
"district_adjusted",81,0,12,1295,90,353.048843589412,183.027525897387,-10.6229517920303,716.720638970855,0.0569251723285802
"district_adjusted",82,0,15,1295,90,352.889404626661,181.505843900195,-7.75884103893861,713.53765029226,0.0550259518090259
"district_adjusted",83,1,15,1295,90,468.844738022578,200.12305834916,71.2044838027451,866.48499224241,0.021370158639981
"district_adjusted",84,1,15,1295,90,119.385188842307,275.211641130524,-427.454479940211,666.224857624825,0.6654876746238
"district_adjusted",85,1,13,1295,90,494.38235871778,202.247848628138,92.5201914726995,896.244525962861,0.016479083117638
"district_adjusted",86,1,14,1295,90,395.75344838772,191.179489672393,15.8838746261944,775.623022149246,0.0413444762587291
"district_adjusted",87,0,1,1295,90,385.266882020886,192.655396181584,2.46471346313604,768.069050578636,0.0485740921633145
"district_adjusted",88,0,10,1295,90,357.08839338263,187.700331986325,-15.8681681644551,730.044954929716,0.0603474156134438
"district_adjusted",89,1,13,1295,90,483.996905981936,204.579786833227,77.5012271947795,890.492584769093,0.0201615073126068
"district_adjusted",91,1,11,1295,90,258.933827273264,201.161504763827,-140.769797853091,658.637452399619,0.201364306476429
"district_adjusted",92,0,7,1295,90,392.759322437592,188.561070589314,18.0924916205242,767.42615325466,0.0401266217426603
"district_adjusted",93,1,15,1295,90,360.392453065602,181.482000885533,-0.208417037732318,720.993323168936,0.0501297268743579
"district_adjusted",94,1,15,1295,90,380.572965603337,179.714760350899,23.4835647992255,737.662366407449,0.0369935017199115
"district_adjusted",95,1,15,1295,90,322.70638820712,184.928150617392,-44.7419080087274,690.154684422968,0.0844301502373764
"district_adjusted",97,1,15,1295,90,411.382208184353,181.369614767497,51.004646903677,771.759769465028,0.0257365746124523
"district_adjusted",98,1,12,1295,90,383.008690532675,189.897077430128,5.68724258051469,760.330138484835,0.0467165891177906
"district_adjusted",99,0,10,1295,90,416.387354492792,197.773082104487,23.4164530154707,809.358255970114,0.038075693027831
"district_adjusted",100,1,14,1295,90,411.619247687661,187.888929657348,38.287946585476,784.950548789846,0.0310822332322647
"district_adjusted",101,0,6,1295,90,377.790362531729,194.052365171259,-7.78755365237646,763.368278715835,0.0547065335310292
"district_adjusted",102,1,11,1295,90,358.597516151509,190.619470932509,-20.1593123025428,737.35434460556,0.0632109790463413
"district_adjusted",103,0,25,1295,90,362.875236570246,176.897866506818,11.3829438330933,714.367529307398,0.0431747302406916
"district_adjusted",104,0,24,1295,90,407.285138454083,174.15915634198,61.2346044785851,753.335672429582,0.0215975075286631
"district_adjusted",105,1,32,1295,90,509.634335304752,204.023066332922,104.244848293279,915.023822316225,0.0143300137730984
"district_adjusted",106,0,23,1295,90,424.446170360673,178.220015307538,70.3267961189129,778.565544602434,0.0193689099863916
"district_adjusted",107,0,26,1295,90,307.37972826665,180.07420660004,-50.4238845781222,665.183341111422,0.0913159843430609
"district_adjusted",108,0,22,1295,90,392.9543949792,176.212725583809,42.8234626622254,743.085327296175,0.0282630163210998
"district_adjusted",109,1,27,1295,90,413.914952925138,211.712872514043,-6.75401517155444,834.58392102183,0.0537118898479552
"district_adjusted",111,0,26,1295,90,355.466109275901,185.477247154882,-13.0732300639102,724.005448615713,0.0585112315960489
"district_adjusted",112,0,21,1295,90,325.824996293355,182.175875733279,-36.1545883525736,687.804580939283,0.077095016109118
"district_adjusted",113,1,28,1295,90,139.374498357411,211.750379713097,-281.36899574488,560.117992459702,0.512107438133353
"district_adjusted",114,1,27,1295,90,467.605857261765,210.162288133559,50.0178673008824,885.193847222648,0.0286110482102394
"district_adjusted",119,0,27,1295,90,347.617752249931,180.7480635582,-11.5248000172211,706.760304517082,0.057649829303708
"district_adjusted",120,0,22,1295,90,386.226981549359,179.328105841083,29.9058550203186,742.548108078399,0.0339632177477665
"district_adjusted",122,0,8,1295,90,371.880380222594,189.619285852483,-4.88910178188115,748.64986222707,0.0529824309625239
"district_adjusted",123,1,15,1295,90,355.751314750158,200.120695083542,-41.8842437112319,753.386873211548,0.0788715488052773
"district_adjusted",134,1,14,1295,90,382.133005351408,187.944638591844,8.69101178300662,755.574998919808,0.0450090753841022
"buyer_interaction",NA,NA,0,1295,90,850.935932179705,274.974652923363,304.567153916849,1397.30471044256,0.00263413729702566
"buyer_interaction",2,0,7,1295,90,853.788788075697,274.554148960552,308.255542230005,1399.32203392139,0.00251554602104603
"buyer_interaction",3,0,2,1295,90,843.084219301257,274.75355058702,297.154766671127,1389.01367193139,0.00285088312494336
"buyer_interaction",5,0,9,1295,90,846.694672301653,275.318637576515,299.642403860028,1393.74694074328,0.00279271026768057
"buyer_interaction",6,0,9,1295,90,847.401009572434,272.557417118028,305.835227366463,1388.9667917784,0.00252057414465934
"buyer_interaction",8,1,15,1295,90,808.677243961901,278.846984249925,254.614225835737,1362.74026208807,0.00469909591744551
"buyer_interaction",9,0,7,1295,90,845.457685921119,272.931754064395,303.148104176279,1387.76726766596,0.00260949387125314
"buyer_interaction",10,1,14,1295,90,834.305039636754,276.626912047525,284.653257688125,1383.95682158538,0.00333830096961816
"buyer_interaction",11,0,7,1295,90,838.476803199699,274.519887507941,293.01163413056,1383.94197226884,0.00297545993460515
"buyer_interaction",12,0,10,1295,90,846.417327237711,272.94534247561,304.080745609227,1388.75390886619,0.00258293824767272
"buyer_interaction",15,0,7,1295,90,839.586985599547,273.683711223326,295.783280996971,1383.39069020212,0.00285764170722949
"buyer_interaction",17,0,12,1295,90,838.59537351421,271.600744342311,298.930479735987,1378.26026729243,0.00269069650686767
"buyer_interaction",18,1,12,1295,90,811.123713072203,275.366055413639,263.977226398237,1358.27019974617,0.00411279732497002
"buyer_interaction",20,1,9,1295,90,863.574193125356,273.325491242656,320.482263994108,1406.66612225661,0.00215951478188161
"buyer_interaction",22,0,5,1295,90,847.393683534039,274.909782342449,301.153801733685,1393.63356533439,0.00273314813541102
"buyer_interaction",23,1,15,1295,90,779.76398783501,281.523407738716,220.382973245759,1339.14500242426,0.00682651610682085
"buyer_interaction",24,0,7,1295,90,845.905068814634,273.975336292393,301.521911411578,1390.28822621769,0.00269135540858276
"buyer_interaction",25,1,13,1295,90,760.108603671306,281.499530564066,200.775032519489,1319.44217482312,0.00829402220321406
"buyer_interaction",26,0,14,1295,90,812.891850578529,275.688261468919,265.105147335868,1360.67855382119,0.00407700266065203
"buyer_interaction",27,0,11,1295,90,831.897376437517,275.788941329274,283.910624456862,1379.88412841817,0.00333397584867358
"buyer_interaction",29,0,11,1295,90,918.052989676262,271.740956264148,378.109497795932,1457.99648155659,0.00108337409611338
"buyer_interaction",30,0,11,1295,90,830.210171037461,275.557704928787,282.682880859124,1377.7374612158,0.00336993806530685
"buyer_interaction",33,0,4,1295,90,850.814465546873,275.149654481445,304.097962915729,1397.53096817802,0.0026534971171074
"buyer_interaction",37,1,15,1295,90,900.913936944266,272.410419169771,359.640236530354,1442.18763735818,0.00136044373004386
"buyer_interaction",39,0,11,1295,90,749.738974544587,276.551107522085,200.237814573334,1299.24013451584,0.00804845437215901
"buyer_interaction",41,1,14,1295,90,858.518276287706,274.514763565686,313.063288382686,1403.97326419273,0.00238330892142336
"buyer_interaction",42,1,10,1295,90,847.589011504792,274.581452260137,302.001514584399,1393.17650842519,0.0026969372305079
"buyer_interaction",45,1,15,1295,90,857.131758054296,273.396021919441,313.899685970614,1400.36383013798,0.00232756314963446
"buyer_interaction",46,0,21,1295,90,828.554399129097,271.709489180784,288.673431673148,1368.43536658505,0.00301993376954787
"buyer_interaction",47,1,30,1295,90,778.38611366089,281.836498923628,218.382993556215,1338.38923376556,0.00698156799460171
"buyer_interaction",48,1,30,1295,90,819.988528165105,276.706028453973,270.179543602082,1369.79751272813,0.00390291262189151
"buyer_interaction",49,1,24,1295,90,790.679073118947,277.905798543457,238.486170943814,1342.87197529408,0.00550840125495375
"buyer_interaction",51,0,20,1295,90,843.148445171508,274.47714749734,297.768199593049,1388.52869074997,0.00282237276556087
"buyer_interaction",52,1,30,1295,90,887.74473257652,274.537273915952,342.245017085002,1433.24444806804,0.00171564182173535
"buyer_interaction",54,1,30,1295,90,873.056009529892,276.763503431908,323.132823409957,1422.97919564983,0.00219295122124204
"buyer_interaction",55,0,12,1295,90,834.279974630812,275.744928117085,286.380675965274,1382.17927329635,0.00324422982846162
"buyer_interaction",56,0,16,1295,90,891.287959716168,273.888524306568,347.077295879808,1435.49862355253,0.00160834677528665
"buyer_interaction",58,1,12,1295,90,872.924169599217,276.346135742876,323.83028418725,1422.01805501118,0.00216418594848726
"buyer_interaction",59,1,14,1295,90,888.859733022013,274.60992973149,343.215651972625,1434.5038140714,0.0016985180640541
"buyer_interaction",60,1,15,1295,90,844.35526385047,275.952050131307,296.044418154475,1392.66610954647,0.00292695885680014
"buyer_interaction",61,1,14,1295,90,879.978948607534,274.989960618256,333.579754280987,1426.37814293408,0.00190493936349037
"buyer_interaction",62,0,9,1295,90,875.211031742169,272.586847839248,333.586771320023,1416.83529216431,0.00184245548663846
"buyer_interaction",65,0,10,1295,90,854.675822305785,274.824927409569,308.604545449612,1400.74709916196,0.00251429060661154
"buyer_interaction",68,1,14,1295,90,664.324833022733,295.65426923982,76.8660976251165,1251.78356842035,0.0271152723584691
"buyer_interaction",69,1,12,1295,90,927.520516744697,271.948032716777,387.165568363825,1467.87546512557,0.000976240344291787
"buyer_interaction",70,1,14,1295,90,533.514009267228,308.02923991432,-78.5335292676361,1145.56154780209,0.0867337891380489
"buyer_interaction",71,0,3,1295,90,832.049051375566,276.571417343189,282.507536222388,1381.59056652875,0.00341442334663229
"buyer_interaction",72,0,13,1295,90,619.541997293018,250.292251624755,122.216624663164,1116.86736992287,0.0152073919396419
"buyer_interaction",73,0,12,1295,90,882.77924433217,273.449509775833,339.440893017155,1426.11759564718,0.00174429180371316
"buyer_interaction",74,1,12,1295,90,913.437877289019,272.468194155318,372.049379209462,1454.82637536858,0.00117755530699391
"buyer_interaction",75,0,10,1295,90,895.041538558004,272.666879141934,353.258257642129,1436.82481947388,0.00147091844550798
"buyer_interaction",77,0,9,1295,90,830.122821531872,274.843983711354,284.013680209962,1376.23196285378,0.00329518688906485
"buyer_interaction",78,0,4,1295,90,842.566845118462,274.692512304217,296.758674256116,1388.37501598081,0.00286125513799844
"buyer_interaction",79,0,11,1295,90,899.063408361544,268.46385803268,365.631440863332,1432.49537585976,0.00119097752905538
"buyer_interaction",80,0,12,1295,90,807.461577866884,272.314619017919,266.37823031411,1348.54492541966,0.00388237022400158
"buyer_interaction",81,0,12,1295,90,831.97153779229,274.471469906167,286.602573466556,1377.34050211802,0.00318999022857744
"buyer_interaction",82,0,15,1295,90,793.196556223714,272.675324135694,251.396495285118,1334.99661716231,0.00457925430129372
"buyer_interaction",83,1,15,1295,90,888.033748202883,272.448984905486,346.683418493574,1429.38407791219,0.0015820197250824
"buyer_interaction",84,1,15,1295,90,511.985158059814,347.295340480431,-178.083285912583,1202.05360203221,0.143954425885034
"buyer_interaction",85,1,13,1295,90,879.666548482584,270.034627845069,343.113494825326,1416.21960213984,0.00159121654409165
"buyer_interaction",86,1,14,1295,90,856.657175062932,273.743795569841,312.734084143656,1400.58026598221,0.00236869279057177
"buyer_interaction",87,0,1,1295,90,858.331458041913,274.102122303178,313.696379536033,1402.96653654779,0.00235410266442385
"buyer_interaction",88,0,10,1295,90,807.048304530698,276.738114352653,257.175565970444,1356.92104309095,0.0044820803089663
"buyer_interaction",89,1,13,1295,90,918.811405402363,276.229100798257,369.950065932453,1467.67274487227,0.00128035086825186
"buyer_interaction",91,1,11,1295,90,694.118144190599,293.167102367905,111.601356389594,1276.6349319916,0.0200674177240297
"buyer_interaction",92,0,7,1295,90,863.36442107914,274.240208446032,318.454968348711,1408.27387380957,0.00223597103490305
