"model","n","villages_low","villages_high","outcome_sd","outcome_mean"
"T3_1",1295,42,48,2065.26497713588,910.348592529885
"T3_2",1295,42,48,2065.26497713588,910.348592529885
"T3_3",1295,42,48,2065.26497713588,910.348592529885
"T3_4",1127,39,41,2169.44429050083,979.749880302452
"T3_5",1295,42,48,2065.26497713588,910.348592529885
"T3_6",1122,34,44,1626.98425973319,739.703326441175
"T4_1",1295,42,48,2065.26497713588,910.348592529885
"T4_2",1295,42,48,2065.26497713588,910.348592529885
"T4_3",1295,42,48,2065.26497713588,910.348592529885
"T4_4",1127,39,41,2169.44429050083,979.749880302452
"T4_5",1295,42,48,2065.26497713588,910.348592529885
"T4_6",1295,42,48,2065.26497713588,910.348592529885
"T4_7",1295,42,48,2065.26497713588,910.348592529885
"T5_1",1127,39,41,0.499439797378521,0.527950310559006
