"contrast","estimate","se","p","lower","upper"
"buyer_village_difference",762.955317864504,310.261526976377,0.0158642044700499,146.472272486149,1379.43836324286
"owner_village_difference",300.541239560774,457.67084090989,0.513083988840628,-608.840972712306,1209.92345183385
"buyer_minus_owner_interactions",462.41407830373,614.227208093639,0.453533522097587,-758.042300835542,1682.870457443
