"omitted_village","buyer_gap","buyer_minus_owner","reason"
"9_1_5",-8763.73094582396,-5673.32863658763,""
"9_2_1",-8766.05953422437,-5346.5382573879,""
"9_3_2",-8683.97937574622,-5566.96185481902,""
"9_3_7",-8696.2521874289,-5583.69033134714,""
"9_5_2",-8776.46784020614,-5768.93400539433,""
"9_5_3",-8728.37295975593,-5492.54661437299,""
"9_5_6",-8772.19519344108,-5682.53399761146,""
"9_5_7",-8743.21472395812,-5868.8389867478,""
"9_5_8",-8726.61784262287,-5289.64511802018,""
"9_6_1",-8701.32114375068,-5180.16094151828,""
"9_13_1",-8709.15943611125,-6850.79582559042,""
"9_14_1",-7867.07955498664,-5423.65202557418,""
"9_14_5",-7856.00333776899,-5197.09395841494,""
"9_23_5",-8672.34069373731,-6586.77392157636,""
"9_24_3",-10808.0951831133,-10244.7208071535,""
"9_24_8",-9829.6849871281,-2295.14673188192,""
"9_29_1",-8704.0436645256,-5609.22082234935,""
"9_29_3",-9246.57463070717,-4423.63620030698,""
"9_29_5",-8864.93048846775,-5567.90309701652,""
"9_30_1",-8847.01389190967,-6196.09259159717,""
"9_34_10",-8784.17827543887,-5488.00826460295,""
"9_40_2",-8029.77181925199,-5585.01358995993,""
"9_40_5",-9159.59252167803,-5957.63042725353,""
"9_42_3",-9176.17557258619,-5898.69650535104,""
"9_42_7",-9643.00758406663,-6163.9171309682,""
"9_42_8",-11786.525016613,-7568.88915374859,""
"9_44_1",-10469.064170162,-6409.71192568468,""
"9_44_2",-10835.1746910265,-5146.06711329098,""
"9_45_2",-8816.04433479718,-5681.59486809002,""
"9_45_3",-8946.03716143962,-5900.57533326683,""
"9_45_4",-8763.87277681251,-5673.625681024,""
"9_45_5",-9087.85865645835,-6106.95262474375,""
"9_47_1",-9372.71095668811,-4940.5230665707,""
"9_47_2",-8141.08786292396,-5445.23528525981,""
"9_47_4",-9504.0554061499,-5834.34944773586,""
"9_48_1",-8810.17043003081,-5621.45824937857,""
"9_49_3",-6004.25804957919,-4977.39234644689,""
"9_49_4",-8699.05515162294,-5407.77171885016,""
"9_49_7",-6056.03369215982,-4790.31543419443,""
"9_54_3",-8787.90140324018,-5634.32113172079,""
"9_59_1",-8799.97554672138,-5828.99836544374,""
"9_59_2",-8733.34858238266,-5375.14587099719,""
"9_59_3",-8763.36213233241,-5653.46545460532,""
"9_59_5",-9011.07830421668,-6343.01193418313,""
"9_60_1",-8892.71336017483,-5993.39662083884,""
"9_65_2",-8790.99080314496,-5781.81487354735,""
"9_65_3",-9038.26989910375,-5936.49207480858,""
"9_65_4",-8981.70315004304,-5655.79681533721,""
"9_66_1",-8741.95851438852,-5520.18488123843,""
"9_66_2",-8934.18109670775,-6232.77109236581,""
"9_66_3",-8970.65511593573,-6165.12845704249,""
"9_67_1",-11114.2363531083,-7559.47503264524,""
"9_67_2",-11014.0893164827,-7079.74529445076,""
"9_68_2",-5515.74492371507,-3767.83517426837,""
"9_68_3",-5503.97927115299,-4040.32564598092,""
"10_2_5",-8670.74914900272,-5615.33089284882,""
"10_2_7",-8620.62240577773,-4583.69660535149,""
"10_5_3",-8470.34204610138,-5563.83338657645,""
"10_5_5",-5438.97062602963,-3447.52583251511,""
"10_5_6",-8943.88171992939,-5587.7344840905,""
"10_5_7",-8629.93325269646,-5522.81617068853,""
"10_6_4",-8715.13401312895,-5561.88843977287,""
"10_6_5",-9603.01954029259,-5940.30994308776,""
"10_12_1",-8815.47848110803,-5711.65683357592,""
"10_12_2",-8681.20336652304,-5251.42324550031,""
"10_12_3",-8759.56628331462,-5551.2677953209,""
"10_12_4",-8763.30225468695,-5598.93417422367,""
"10_14_1",-8086.11247727176,-5606.95914414111,""
"10_14_3",-8851.74279492449,-5649.2490845242,""
"10_14_4",-7488.0911768295,-4672.96981432226,""
"10_14_6",-5650.27737106571,-3835.58658007743,""
"10_14_7",-9801.00141994796,-5942.72105537443,""
"10_16_1",-7771.95385701209,-5321.69187142631,""
"10_16_3",-11361.2019010228,-7915.96086308914,""
"10_16_4",-9199.34829668347,-5970.8667666819,""
"10_16_8",-8105.41583587005,-5320.15259011639,""
"10_16_9",-10870.5117571939,-6605.76152520587,""
"10_22_2",-8782.98256387165,-6573.7022590899,""
"10_22_3",-8667.83867353786,-5073.45797565376,""
"10_22_4",-8644.14171567686,-4688.2431983511,""
"10_23_4",-8695.81647526775,-5508.39019933018,""
"10_27_1",-8488.25998650604,-5675.98354118499,""
"10_27_5",-7653.21455053693,-4543.08208280539,""
"10_27_7",-6643.84992040847,-5126.52533157042,""
"10_27_13",-9062.69006109816,-4841.13063594109,""
"10_32_5",-8667.82643273997,-5486.71441842591,""
"10_32_13",-8667.82643274001,-5486.71441842613,""
