"statistic","estimate","lower","upper","B","seed"
"IV_percentile",3519.50928364835,-395.009483621207,8981.77301223747,1999,113778
"IV_studentized",3519.50928364835,1529.05111712006,10446.5897382004,1999,113778
"IV_minus_OLS_percentile",2605.12785964857,-1203.55535802513,7833.11663292478,1999,113778
