"coding","definition","before","after","villages"
"base","broad","unresolved","unresolved",11554
"base","narrow","unresolved","unresolved",10595
"curated","broad","unresolved","unresolved",10905
"curated","narrow","unresolved","unresolved",9993
"base","broad","upper","upper",7818
"base","narrow","upper","upper",7437
"curated","broad","upper","upper",7946
"curated","narrow","upper","upper",7561
"base","broad","muslim","muslim",586
"base","narrow","muslim","muslim",586
"curated","broad","muslim","muslim",614
"curated","narrow","muslim","muslim",622
"base","broad","obc","obc",7804
"base","narrow","obc","obc",7323
"curated","broad","obc","obc",8048
"curated","narrow","obc","obc",7539
"base","broad","st","st",64
"base","narrow","st","st",68
"curated","broad","st","st",205
"curated","narrow","st","st",199
"base","broad","none","none",436
"curated","broad","none","none",543
"base","narrow","none","none",397
"curated","narrow","none","none",490
"base","narrow","sc","sc",188
"curated","narrow","sc","sc",188
"base","broad","sc","sc",153
"curated","broad","sc","sc",153
"base","broad",NA,"unresolved",2
"base","narrow",NA,"unresolved",2
"curated","broad",NA,"unresolved",1
"curated","narrow",NA,"unresolved",2
"base","broad","obc","unresolved",6
"base","narrow","obc","unresolved",5
"curated","broad","obc","unresolved",6
"curated","narrow","obc","unresolved",5
"base","broad","muslim","unresolved",2
"base","narrow","muslim","unresolved",2
"curated","broad","muslim","unresolved",1
"curated","narrow","muslim","unresolved",1
"curated","broad","upper","unresolved",5
"curated","narrow","upper","none",3
"base","broad","upper","none",1
"base","narrow","upper","none",1
"curated","broad","upper","none",1
"base","broad","upper","obc",4
"base","narrow","upper","obc",2
"curated","broad","upper","obc",4
"curated","narrow","upper","obc",2
"base","broad","muslim","none",1
"curated","broad","muslim","none",2
"curated","narrow","muslim","none",2
"base","broad",NA,"obc",2
"base","narrow",NA,"obc",2
"curated","broad",NA,"obc",3
"curated","narrow",NA,"obc",2
"curated","narrow","unresolved","obc",2
"base","narrow",NA,"upper",2
"curated","narrow",NA,"upper",2
"base","broad","unresolved","obc",1
"curated","broad","unresolved","obc",1
"base","narrow","upper","unresolved",6
"curated","narrow","upper","unresolved",5
"base","broad","unresolved","upper",2
"base","narrow","unresolved","upper",2
"curated","broad","unresolved","upper",2
"curated","narrow","unresolved","upper",2
"base","broad","upper","unresolved",4
"base","narrow","muslim","none",1
"base","narrow","obc","upper",3
"curated","narrow","obc","upper",3
"base","narrow","unresolved","obc",1
"base","broad","obc","muslim",1
"base","narrow","obc","muslim",1
"curated","broad","obc","muslim",1
"curated","narrow","obc","muslim",1
"base","broad","obc","upper",2
"curated","broad","obc","upper",2
"base","broad","obc","none",1
"base","narrow","obc","none",1
"curated","broad","obc","none",1
"curated","narrow","obc","none",1
"base","broad","unresolved","none",1
"base","narrow","unresolved","none",1
"curated","broad","unresolved","none",1
"curated","narrow","unresolved","none",1
"base","broad","none","upper",1
"curated","broad","none","upper",1
"base","broad",NA,"upper",1
"curated","broad",NA,"upper",1
