"specification","original_estimate","original_p","alternatives","smallest_estimate","largest_estimate","sign_reversals","intervals_including_zero"
"baseline",566.533721950646,0.00806590483246135,90,244.618389435767,656.134758406768,0,3
"buyer_interaction",850.935932179705,0.00263413729702566,90,511.985158059814,927.520516744697,0,3
"buyer_village_gap",762.955317864504,0.0158642044700499,90,301.589852090556,899.710925862144,0,5
"district_adjusted",393.354818252536,0.0429693661108957,90,91.7904283105903,509.634335304752,0,36
