"raw_positive","buyer","Freq"
"FALSE","0",353
"TRUE","0",0
NA,"0",0
"FALSE","1",0
"TRUE","1",1246
NA,"1",0
"FALSE",NA,0
"TRUE",NA,0
NA,NA,901
