"estimator","term","estimate","se","n","villages"
"OLS","domlow",64.0142311956825,236.755072942424,1127,80
"OLS","buywater",-338.264526399848,248.82402931597,1127,80
"OLS","dlbuywater",914.381423999783,337.705397839543,1127,80
"IV","domlow",-1522.84798924712,814.138471327906,1127,80
"IV","buywater",202.086554644332,931.560094910587,1127,80
"IV","dlbuywater",3519.50928364835,1413.7152669006,1127,80
