"term","B","valid","seed","percentile_lower","median","percentile_upper","sd"
"domlow",1999,1999,113778,-5161.63366882713,-973.333268249846,881.269927971484,3306.20294472008
"buywater",1999,1999,113778,-4447.10483734178,75.0356664823951,3537.48231861208,2683.23536042201
"dlbuywater",1999,1999,113778,-395.009483621207,2695.21309238417,8981.77301223747,4653.46728650905
