"additional_depth_mm","litres_per_acre","loads_10000_litres","whole_loads","annual_sales_difference_per_owned_acre","extra_cost_per_whole_load_covered","lower_sales_difference_per_load","upper_sales_difference_per_load"
10,40468.564224,4.0468564224,5,762.955317864504,152.591063572901,29.2944544972298,275.887672648572
25,101171.41056,10.117141056,11,762.955317864504,69.3595743513185,13.3156611351045,125.403487567533
50,202342.82112,20.234282112,21,762.955317864504,36.3312056125954,6.97487011838805,65.6875411068029
100,404685.64224,40.468564224,41,762.955317864504,18.6086662893781,3.57249445088168,33.6448381278746
