"group","threshold","classification","villages","coding","definition"
"upper",0.4,"above",8886,"base","narrow"
"upper",0.4,"at_or_below",8001,"base","narrow"
"upper",0.4,"unresolved",9733,"base","narrow"
"upper",0.5,"above",7446,"base","narrow"
"upper",0.5,"at_or_below",9792,"base","narrow"
"upper",0.5,"unresolved",9382,"base","narrow"
"upper",0.6,"above",6124,"base","narrow"
"upper",0.6,"at_or_below",11723,"base","narrow"
"upper",0.6,"unresolved",8773,"base","narrow"
"obc",0.4,"above",9107,"base","narrow"
"obc",0.4,"at_or_below",7874,"base","narrow"
"obc",0.4,"unresolved",9639,"base","narrow"
"obc",0.5,"above",7333,"base","narrow"
"obc",0.5,"at_or_below",9476,"base","narrow"
"obc",0.5,"unresolved",9811,"base","narrow"
"obc",0.6,"above",5793,"base","narrow"
"obc",0.6,"at_or_below",11221,"base","narrow"
"obc",0.6,"unresolved",9606,"base","narrow"
"sc",0.4,"above",257,"base","narrow"
"sc",0.4,"at_or_below",17661,"base","narrow"
"sc",0.4,"unresolved",8702,"base","narrow"
"sc",0.5,"above",188,"base","narrow"
"sc",0.5,"at_or_below",18920,"base","narrow"
"sc",0.5,"unresolved",7512,"base","narrow"
"sc",0.6,"above",145,"base","narrow"
"sc",0.6,"at_or_below",19981,"base","narrow"
"sc",0.6,"unresolved",6494,"base","narrow"
"st",0.4,"above",83,"base","narrow"
"st",0.4,"at_or_below",18280,"base","narrow"
"st",0.4,"unresolved",8257,"base","narrow"
"st",0.5,"above",68,"base","narrow"
"st",0.5,"at_or_below",19410,"base","narrow"
"st",0.5,"unresolved",7142,"base","narrow"
"st",0.6,"above",50,"base","narrow"
"st",0.6,"at_or_below",20365,"base","narrow"
"st",0.6,"unresolved",6205,"base","narrow"
"muslim",0.4,"above",811,"base","narrow"
"muslim",0.4,"at_or_below",17215,"base","narrow"
"muslim",0.4,"unresolved",8594,"base","narrow"
"muslim",0.5,"above",589,"base","narrow"
"muslim",0.5,"at_or_below",18496,"base","narrow"
"muslim",0.5,"unresolved",7535,"base","narrow"
"muslim",0.6,"above",445,"base","narrow"
"muslim",0.6,"at_or_below",19606,"base","narrow"
"muslim",0.6,"unresolved",6569,"base","narrow"
"upper",0.4,"above",9401,"base","broad"
"upper",0.4,"at_or_below",8524,"base","broad"
"upper",0.4,"unresolved",10517,"base","broad"
"upper",0.5,"above",7827,"base","broad"
"upper",0.5,"at_or_below",10563,"base","broad"
"upper",0.5,"unresolved",10052,"base","broad"
"upper",0.6,"above",6346,"base","broad"
"upper",0.6,"at_or_below",12735,"base","broad"
"upper",0.6,"unresolved",9361,"base","broad"
"obc",0.4,"above",9805,"base","broad"
"obc",0.4,"at_or_below",8243,"base","broad"
"obc",0.4,"unresolved",10394,"base","broad"
"obc",0.5,"above",7814,"base","broad"
"obc",0.5,"at_or_below",10030,"base","broad"
"obc",0.5,"unresolved",10598,"base","broad"
"obc",0.6,"above",6047,"base","broad"
"obc",0.6,"at_or_below",11986,"base","broad"
"obc",0.6,"unresolved",10409,"base","broad"
"sc",0.4,"above",219,"base","broad"
"sc",0.4,"at_or_below",19000,"base","broad"
"sc",0.4,"unresolved",9223,"base","broad"
"sc",0.5,"above",153,"base","broad"
"sc",0.5,"at_or_below",20433,"base","broad"
"sc",0.5,"unresolved",7856,"base","broad"
"sc",0.6,"above",113,"base","broad"
"sc",0.6,"at_or_below",21615,"base","broad"
"sc",0.6,"unresolved",6714,"base","broad"
"st",0.4,"above",85,"base","broad"
"st",0.4,"at_or_below",19676,"base","broad"
