"group","threshold","classification","villages","coding","definition"
"st",0.4,"unresolved",8681,"base","broad"
"st",0.5,"above",64,"base","broad"
"st",0.5,"at_or_below",20950,"base","broad"
"st",0.5,"unresolved",7428,"base","broad"
"st",0.6,"above",48,"base","broad"
"st",0.6,"at_or_below",22009,"base","broad"
"st",0.6,"unresolved",6385,"base","broad"
"muslim",0.4,"above",836,"base","broad"
"muslim",0.4,"at_or_below",18532,"base","broad"
"muslim",0.4,"unresolved",9074,"base","broad"
"muslim",0.5,"above",589,"base","broad"
"muslim",0.5,"at_or_below",19991,"base","broad"
"muslim",0.5,"unresolved",7862,"base","broad"
"muslim",0.6,"above",448,"base","broad"
"muslim",0.6,"at_or_below",21237,"base","broad"
"muslim",0.6,"unresolved",6757,"base","broad"
"upper",0.4,"above",9013,"curated","narrow"
"upper",0.4,"at_or_below",8545,"curated","narrow"
"upper",0.4,"unresolved",9062,"curated","narrow"
"upper",0.5,"above",7571,"curated","narrow"
"upper",0.5,"at_or_below",10347,"curated","narrow"
"upper",0.5,"unresolved",8702,"curated","narrow"
"upper",0.6,"above",6232,"curated","narrow"
"upper",0.6,"at_or_below",12234,"curated","narrow"
"upper",0.6,"unresolved",8154,"curated","narrow"
"obc",0.4,"above",9350,"curated","narrow"
"obc",0.4,"at_or_below",8236,"curated","narrow"
"obc",0.4,"unresolved",9034,"curated","narrow"
"obc",0.5,"above",7549,"curated","narrow"
"obc",0.5,"at_or_below",9905,"curated","narrow"
"obc",0.5,"unresolved",9166,"curated","narrow"
"obc",0.6,"above",5988,"curated","narrow"
"obc",0.6,"at_or_below",11665,"curated","narrow"
"obc",0.6,"unresolved",8967,"curated","narrow"
"sc",0.4,"above",257,"curated","narrow"
"sc",0.4,"at_or_below",18322,"curated","narrow"
"sc",0.4,"unresolved",8041,"curated","narrow"
"sc",0.5,"above",188,"curated","narrow"
"sc",0.5,"at_or_below",19486,"curated","narrow"
"sc",0.5,"unresolved",6946,"curated","narrow"
"sc",0.6,"above",145,"curated","narrow"
"sc",0.6,"at_or_below",20451,"curated","narrow"
"sc",0.6,"unresolved",6024,"curated","narrow"
"st",0.4,"above",247,"curated","narrow"
"st",0.4,"at_or_below",18696,"curated","narrow"
"st",0.4,"unresolved",7677,"curated","narrow"
"st",0.5,"above",199,"curated","narrow"
"st",0.5,"at_or_below",19756,"curated","narrow"
"st",0.5,"unresolved",6665,"curated","narrow"
"st",0.6,"above",153,"curated","narrow"
"st",0.6,"at_or_below",20621,"curated","narrow"
"st",0.6,"unresolved",5846,"curated","narrow"
"muslim",0.4,"above",860,"curated","narrow"
"muslim",0.4,"at_or_below",17738,"curated","narrow"
"muslim",0.4,"unresolved",8022,"curated","narrow"
"muslim",0.5,"above",625,"curated","narrow"
"muslim",0.5,"at_or_below",18973,"curated","narrow"
"muslim",0.5,"unresolved",7022,"curated","narrow"
"muslim",0.6,"above",463,"curated","narrow"
"muslim",0.6,"at_or_below",20000,"curated","narrow"
"muslim",0.6,"unresolved",6157,"curated","narrow"
"upper",0.4,"above",9532,"curated","broad"
"upper",0.4,"at_or_below",9140,"curated","broad"
"upper",0.4,"unresolved",9770,"curated","broad"
"upper",0.5,"above",7956,"curated","broad"
"upper",0.5,"at_or_below",11188,"curated","broad"
"upper",0.5,"unresolved",9298,"curated","broad"
"upper",0.6,"above",6455,"curated","broad"
"upper",0.6,"at_or_below",13294,"curated","broad"
"upper",0.6,"unresolved",8693,"curated","broad"
"obc",0.4,"above",10084,"curated","broad"
"obc",0.4,"at_or_below",8621,"curated","broad"
"obc",0.4,"unresolved",9737,"curated","broad"
"obc",0.5,"above",8058,"curated","broad"
"obc",0.5,"at_or_below",10479,"curated","broad"
"obc",0.5,"unresolved",9905,"curated","broad"
"obc",0.6,"above",6259,"curated","broad"
"obc",0.6,"at_or_below",12462,"curated","broad"
"obc",0.6,"unresolved",9721,"curated","broad"
"sc",0.4,"above",219,"curated","broad"
"sc",0.4,"at_or_below",19735,"curated","broad"
"sc",0.4,"unresolved",8488,"curated","broad"
"sc",0.5,"above",153,"curated","broad"
"sc",0.5,"at_or_below",21048,"curated","broad"
"sc",0.5,"unresolved",7241,"curated","broad"
"sc",0.6,"above",113,"curated","broad"
"sc",0.6,"at_or_below",22096,"curated","broad"
"sc",0.6,"unresolved",6233,"curated","broad"
"st",0.4,"above",255,"curated","broad"
"st",0.4,"at_or_below",20134,"curated","broad"
"st",0.4,"unresolved",8053,"curated","broad"
"st",0.5,"above",205,"curated","broad"
"st",0.5,"at_or_below",21317,"curated","broad"
"st",0.5,"unresolved",6920,"curated","broad"
"st",0.6,"above",156,"curated","broad"
"st",0.6,"at_or_below",22269,"curated","broad"
"st",0.6,"unresolved",6017,"curated","broad"
"muslim",0.4,"above",883,"curated","broad"
"muslim",0.4,"at_or_below",19115,"curated","broad"
"muslim",0.4,"unresolved",8444,"curated","broad"
"muslim",0.5,"above",617,"curated","broad"
"muslim",0.5,"at_or_below",20505,"curated","broad"
"muslim",0.5,"unresolved",7320,"curated","broad"
"muslim",0.6,"above",462,"curated","broad"
"muslim",0.6,"at_or_below",21654,"curated","broad"
"muslim",0.6,"unresolved",6326,"curated","broad"
