"model","term","estimate","se","p","lower","upper","n","clusters","rank"
"T4_2:positive_sales_probability","(Intercept)",0.268816780906464,0.0348083657994532,1.60376722889477e-11,0.199653299498327,0.3379802623146,1295,90,34
"T4_2:positive_sales_probability","literate",0.0313378997199067,0.028603151967024,0.276205427617752,-0.0254959539773113,0.0881717534171246,1295,90,34
"T4_2:positive_sales_probability","totland",0.0249766775542016,0.00719021618013091,0.000794922516852205,0.0106898711594361,0.0392634839489671,1295,90,34
"T4_2:positive_sales_probability","bihar",0.102643765807223,0.0187596993043563,4.06038467507169e-07,0.065368642880324,0.139918888734122,1295,90,34
"T4_2:positive_sales_probability","caste4",-0.117028539516195,0.0327624651834292,0.000574229863278928,-0.182126859978985,-0.0519302190534049,1295,90,34
"T4_2:positive_sales_probability","caste5",-0.222358671971015,0.0356652630507517,1.48213566049181e-08,-0.293224789965147,-0.151492553976883,1295,90,34
"T4_2:positive_sales_probability","domlow",-0.0676492668187154,0.0432907294243189,0.121678423552826,-0.153667024070927,0.0183684904334962,1295,90,34
"T4_2:positive_sales_probability","buywater",0.117064403529387,0.0397745550085908,0.00414218699209285,0.038033209944976,0.196095597113798,1295,90,34
"T4_2:positive_sales_probability","ownpump",0.351692119524006,0.0592386443567709,5.50180075071511e-08,0.233986194999474,0.469398044048537,1295,90,34
"T4_2:positive_sales_probability","dlbuywater",0.136108088370387,0.0486874272864874,0.00634663033413748,0.0393672074183754,0.232848969322398,1295,90,34
"T4_2:positive_sales_probability","dlownpump",-0.0375386389706244,0.0692616649634671,0.589184673273873,-0.175160091945374,0.100082814004125,1295,90,34
"T4_2:positive_sales_probability","dist1",-0.133798404617253,0.0655370008345636,0.04415500744684,-0.264019029305056,-0.0035777799294493,1295,90,34
"T4_2:positive_sales_probability","dist2",-0.0223931828118031,0.0307047652568741,0.467729238888302,-0.0834028973505524,0.0386165317269463,1295,90,34
"T4_2:positive_sales_probability","dist3",-0.344154218247762,0.0465150631884125,7.30500288798819e-11,-0.436578658009326,-0.251729778486197,1295,90,34
"T4_2:positive_sales_probability","dist4",-0.154464807130884,0.0751495573714884,0.0427678002717579,-0.303785376905357,-0.00514423735641134,1295,90,34
"T4_2:positive_sales_probability","dist5",-0.203016847703717,0.0485374225033318,6.73511793127607e-05,-0.299459672346775,-0.10657402306066,1295,90,34
"T4_2:positive_sales_probability","dist6",-0.214488421106573,0.0184604177982465,1.56658654363579e-19,-0.251168878055676,-0.177807964157471,1295,90,34
"T4_2:positive_sales_probability","dist8",-0.169682808429916,0.243025165048099,0.48686564609222,-0.652568634824486,0.313203017964655,1295,90,34
"T4_2:positive_sales_probability","dist9",0.0884052979290978,0.0848416458582636,0.300232291293698,-0.0801732452223273,0.256983841080523,1295,90,34
"T4_2:positive_sales_probability","dist10",-0.0797473109335333,0.0485933965329766,0.104303177551589,-0.17630135478122,0.0168067329141535,1295,90,34
"T4_2:positive_sales_probability","dist11",-0.00519425784969869,0.0809019649981417,0.948951503654441,-0.165944739049209,0.155556223349812,1295,90,34
"T4_2:positive_sales_probability","dist12",-0.115104560188536,0.0491335090975553,0.021375146128623,-0.212731796197377,-0.0174773241796957,1295,90,34
"T4_2:positive_sales_probability","dist13",-0.188177112606997,0.0340853503181601,3.29684339790248e-07,-0.255903977654391,-0.120450247559604,1295,90,34
"T4_2:positive_sales_probability","dist14",0.406540737301404,0.0548959133149442,7.07396120386709e-11,0.297463726854666,0.515617747748141,1295,90,34
"T4_2:positive_sales_probability","dist16",0.30377653042794,0.0455170213175565,2.05765480154155e-09,0.213335178604982,0.394217882250898,1295,90,34
"T4_2:positive_sales_probability","dist17",-0.0179821060502413,0.0285687927818921,0.530678868318632,-0.0747476887784697,0.038783476677987,1295,90,34
"T4_2:positive_sales_probability","dist18",-0.0810933623663299,0.0572129005751671,0.159858451768181,-0.194774177146158,0.0325874524134978,1295,90,34
"T4_2:positive_sales_probability","dist19",0.0903678742903302,0.0876101487279365,0.305111981738691,-0.083711625092657,0.264447373673317,1295,90,34
"T4_2:positive_sales_probability","dist20",-0.0554017258200236,0.106339112426498,0.603666890996289,-0.266695277135878,0.155891825495831,1295,90,34
"T4_2:positive_sales_probability","dist21",-0.196763353754925,0.0832453184434172,0.0202718992117387,-0.362170028335612,-0.0313566791742374,1295,90,34
"T4_2:positive_sales_probability","dist22",0.0290603669315876,0.051797887680156,0.576184317026246,-0.0738609325683012,0.131981666431476,1295,90,34
"T4_2:positive_sales_probability","dist23",0.258835010049136,0.0568713453006392,1.68155210601432e-05,0.1458328583245,0.371837161773773,1295,90,34
"T4_2:positive_sales_probability","dist24",0.0377485384428111,0.0757362666470507,0.619416945660252,-0.112737810165007,0.188234887050629,1295,90,34
"T4_2:positive_sales_probability","dist25",-0.0729083320692707,0.0359432444141246,0.045505599090506,-0.144326793111284,-0.00148987102725699,1295,90,34
