"district","upper_villages","lower_villages"
1,4,1
2,2,2
3,3,0
4,1,2
5,2,3
6,4,0
7,1,0
8,1,1
9,0,3
10,1,2
11,1,1
12,0,2
13,2,0
14,1,4
15,1,0
16,2,3
17,3,1
18,5,0
19,1,4
20,2,2
21,0,4
22,2,3
23,5,1
24,2,3
25,2,0
