"exposure","field","n","missing","missing_farm","missing_nonfarm"
"obc","owned_acres",1009,315,1,314
"obc","crop_acres",1009,318,4,314
"obc","buyer",1009,362,48,314
"obc","pump",1009,351,37,314
"obc","gross_value",1009,358,44,314
"obc","net_income",1009,359,45,314
"obc","education",1009,0,0,0
"obc","survey_weight",1009,0,0,0
"unresolved_or_other","owned_acres",1134,326,3,323
"unresolved_or_other","crop_acres",1134,337,14,323
"unresolved_or_other","buyer",1134,390,67,323
"unresolved_or_other","pump",1134,353,30,323
"unresolved_or_other","gross_value",1134,388,65,323
"unresolved_or_other","net_income",1134,386,63,323
"unresolved_or_other","education",1134,0,0,0
"unresolved_or_other","survey_weight",1134,0,0,0
"upper","owned_acres",357,125,0,125
"upper","crop_acres",357,126,1,125
"upper","buyer",357,149,24,125
"upper","pump",357,131,6,125
"upper","gross_value",357,146,21,125
"upper","net_income",357,146,21,125
"upper","education",357,0,0,0
"upper","survey_weight",357,0,0,0
