"scenario","contrast","estimate","std_error","df","lower","upper","p_value","n","villages","upper_villages","lower_villages","reference_mean","descriptive_ratio","status","reason","p_holm_primary"
"primary","buyer_gap",-8763.73094582399,8131.01877713943,6.83218751168388,-28086.6841347643,10559.2222431163,0.317693320134347,743,87,28,59,36272.8199233703,-0.241606000425062,"estimated","",0.635386640268694
"primary","owner_gap",-3090.40230923646,6801.36657746222,3.52061406234123,-23032.6298009649,16851.825182492,0.67613730655099,743,87,28,59,36272.8199233703,-0.0851988435353308,"estimated","",NA
"primary","both_gap",14784.129200167,14470.4681385206,5.06460185238922,-22271.1339716736,51839.3923720076,0.353232019693035,743,87,28,59,36272.8199233703,0.407581468201256,"estimated","",NA
"primary","neither_gap",223.014564312998,13249.7814057048,17.3012031039537,-27694.5537467506,28140.5828753766,0.986763569961148,743,87,28,59,36272.8199233703,0.00614825549224287,"estimated","",NA
"primary","buyer_minus_owner",-5673.32863658754,7507.24554101309,3.19419546833324,-28763.6729521916,17417.0156790165,0.501670462890756,743,87,28,59,36272.8199233703,-0.156407156889731,"estimated","",0.635386640268694
"state_effects","buyer_gap",-6891.33114783052,7121.57493832646,12.782313543484,-22303.2355191494,8520.57322348835,0.351162959252458,743,87,28,59,36272.8199233703,-0.189986087720478,"estimated","",NA
"state_effects","owner_gap",4508.02497689539,10035.0564268898,2.5219290162777,-31141.654169996,40157.7041237868,0.689002041332543,743,87,28,59,36272.8199233703,0.124281072892017,"estimated","",NA
"state_effects","both_gap",-5349.7369801295,16892.6179608786,4.28903455965616,-51030.5802247959,40331.1062645369,0.766299417451329,743,87,28,59,36272.8199233703,-0.147486106440892,"estimated","",NA
"state_effects","neither_gap",3858.65127175352,13981.6989626582,14.371480896863,-26056.5527381347,33773.8552816417,0.786493303225082,743,87,28,59,36272.8199233703,0.106378585395491,"estimated","",NA
"state_effects","buyer_minus_owner",-11399.3561247259,11129.8029217048,3.14710312026212,-45900.9132480586,23102.2009986068,0.377908575682444,743,87,28,59,36272.8199233703,-0.314267160612495,"estimated","",NA
"equal_households","buyer_gap",-12197.0605165393,8100.16034855196,20.410281119647,-29071.9512334286,4677.83020035009,0.147443966397675,743,87,28,59,38677.9323127606,-0.315349342304816,"estimated","",NA
"equal_households","owner_gap",-2810.35085754255,7681.55046167119,7.07744664313478,-20934.1159608641,15313.414245779,0.725162587000248,743,87,28,59,38677.9323127606,-0.0726603178995522,"estimated","",NA
"equal_households","both_gap",3122.4229284525,14072.1992390152,7.30836491430147,-29870.5277631775,36115.3736200825,0.83047606214014,743,87,28,59,38677.9323127606,0.0807287965448542,"estimated","",NA
"equal_households","neither_gap",1346.53256181676,14569.9430904839,28.9529058862353,-28454.4524621648,31147.5175857984,0.927002052091105,743,87,28,59,38677.9323127606,0.0348139748249291,"estimated","",NA
"equal_households","buyer_minus_owner",-9386.70965899671,8966.30123309656,7.77602527061818,-30167.1601881881,11393.7408701947,0.3265983092067,743,87,28,59,38677.9323127606,-0.242689024405264,"estimated","",NA
"equal_villages","buyer_gap",-4799.90959664831,12555.4445904099,11.6651236977439,-32243.2270493807,22643.407856084,0.709114770272057,743,87,28,59,40865.9039083497,-0.117455118756534,"estimated","",NA
"equal_villages","owner_gap",-455.439330742248,11720.5919425086,1.69845677735698,-60516.0411447006,59605.1624832161,0.973075694446995,743,87,28,59,40865.9039083497,-0.0111447267082031,"estimated","",NA
"equal_villages","both_gap",70645.9326480558,45875.9534220224,2.74793861663279,-83228.2819811095,224520.147277221,0.229296296967481,743,87,28,59,40865.9039083497,1.72872556071424,"estimated","",NA
"equal_villages","neither_gap",11866.8650143425,19457.6205299671,16.4819849782715,-29283.6310778409,53017.361106526,0.550256172122034,743,87,28,59,40865.9039083497,0.290385477364124,"estimated","",NA
"equal_villages","buyer_minus_owner",-4344.47026590607,14285.2867252651,2.10910551644759,-62860.4325486342,54171.4920168221,0.788435954504885,743,87,28,59,40865.9039083497,-0.106310392048331,"estimated","",NA
"cutoff_40","buyer_gap",-4738.38738033959,9655.69687646445,14.5515906840476,-25374.3925222507,15897.6177615715,0.630931618295046,840,99,31,68,41930.3372834972,-0.11300618328688,"estimated","",NA
"cutoff_40","owner_gap",22607.7079943268,28165.4894713323,5.43398894830792,-48088.8610445796,93304.2770332332,0.455822754956675,840,99,31,68,41930.3372834972,0.539173053664529,"estimated","",NA
"cutoff_40","both_gap",5871.77466986662,24266.2537656427,5.6807765518617,-54323.8736838747,66067.423023608,0.817297933502817,840,99,31,68,41930.3372834972,0.140036428282622,"estimated","",NA
"cutoff_40","neither_gap",-4629.95882072258,18226.2648349648,21.328965931944,-42497.9866378955,33238.0689964503,0.801907744854955,840,99,31,68,41930.3372834972,-0.110420261812319,"estimated","",NA
"cutoff_40","buyer_minus_owner",-27346.0953746664,24734.4993198003,5.46292979046161,-89341.2499121391,34649.0591628063,0.31520235178897,840,99,31,68,41930.3372834972,-0.652179236951409,"estimated","",NA
"cutoff_60","buyer_gap",-14752.0868281891,19617.9174511945,4.69977190505549,-66166.0830915719,36661.9094351937,0.487992409726932,476,54,15,39,53103.4747027582,-0.277798899427251,"estimated","",NA
"cutoff_60","owner_gap",-9285.35284098206,17098.1000383324,2.50825502554872,-70261.4808576907,51690.7751757266,0.631556982654899,476,54,15,39,53103.4747027582,-0.174853959989548,"estimated","",NA
"cutoff_60","both_gap",4474.64983931707,15301.6200562849,3.59616536669041,-39958.7557252433,48908.0554038774,0.786041062941612,476,54,15,39,53103.4747027582,0.0842628446511929,"estimated","",NA
"cutoff_60","neither_gap",-21250.3086728827,16314.9290572098,7.06865495564195,-59753.1571770577,17252.5398312923,0.233572044622594,476,54,15,39,53103.4747027582,-0.400167951190188,"estimated","",NA
"cutoff_60","buyer_minus_owner",-5466.73398720705,22385.1197526945,2.51796491330646,-85078.8197852453,74145.3518108312,0.825573813823879,476,54,15,39,53103.4747027582,-0.102944939437703,"estimated","",NA
"not_upper_majority","buyer_gap",-690.292087194824,8249.16163934674,9.70295599647295,-19147.1276179408,17766.5434435511,0.935011833762528,1116,139,28,111,36272.8199233703,-0.0190305603108093,"estimated","",NA
"not_upper_majority","owner_gap",14446.6008004483,18817.3030446235,2.65966374948547,-50015.8831598018,78909.0847606983,0.505002277579915,1116,139,28,111,36272.8199233703,0.398276197741671,"estimated","",NA
"not_upper_majority","both_gap",-5095.10983571096,24764.7019046206,4.16687200845628,-72780.4896769722,62590.2700055502,0.84665670743219,1116,139,28,111,36272.8199233703,-0.140466328409946,"estimated","",NA
"not_upper_majority","neither_gap",17426.0734796588,27530.2991842195,16.446552272194,-40807.0318686183,75659.1788279359,0.535450954751929,1116,139,28,111,36272.8199233703,0.480416838736911,"estimated","",NA
"not_upper_majority","buyer_minus_owner",-15136.8928876431,18451.887509143,2.69128080593214,-77859.9570533456,47586.1712780595,0.478350494559239,1116,139,28,111,36272.8199233703,-0.41730675805248,"estimated","",NA
"broad_lower_majority","buyer_gap",-1690.70453106984,8534.39583385145,9.64559189459892,-20801.6578669128,17420.2488047731,0.84707578737329,976,112,28,84,36272.8199233704,-0.0466107828021535,"estimated","",NA
"broad_lower_majority","owner_gap",19735.5423543583,20716.3186524689,2.85169282705102,-48175.8242627313,87646.9089714478,0.414340708189936,976,112,28,84,36272.8199233704,0.544086244081695,"estimated","",NA
"broad_lower_majority","both_gap",-605.770724185753,26472.8585662186,4.33572143671835,-71915.1929071585,70703.651458787,0.982758745429638,976,112,28,84,36272.8199233704,-0.0167004033727044,"estimated","",NA
"broad_lower_majority","neither_gap",26344.6812090574,29642.0807274625,16.7274720716805,-36272.3489677365,88961.7113858514,0.386734800812476,976,112,28,84,36272.8199233704,0.726292614269113,"estimated","",NA
"broad_lower_majority","buyer_minus_owner",-21426.2468854281,20695.9071518858,2.88387006787482,-88816.0135962695,45963.5198254133,0.379424339680541,976,112,28,84,36272.8199233704,-0.590697026883849,"estimated","",NA
"single_jati_majority","buyer_gap",-15234.9778318562,26336.5796584738,1.81854210549832,-140108.104897004,109638.149233291,0.626450200360023,264,32,10,22,52658.711426105,-0.289315431754063,"estimated","",NA
"single_jati_majority","owner_gap",-2560.6252991198,15321.29684757,2.84898106024168,-52815.1275465403,47693.8769483007,0.878420977971437,264,32,10,22,52658.711426105,-0.04862681272999,"estimated","",NA
"single_jati_majority","both_gap",15875.7366459387,16325.7695412678,2.84043077444742,-37771.0294891458,69522.5027810232,0.406186356199476,264,32,10,22,52658.711426105,0.301483576335073,"estimated","",NA
"single_jati_majority","neither_gap",-34978.1531431564,27458.515448635,4.2545305598719,-109449.721920635,39493.4156343224,0.267857431299015,264,32,10,22,52658.711426105,-0.66424248136494,"estimated","",NA
"single_jati_majority","buyer_minus_owner",-12674.3525327364,22027.4013249575,2.5866148273142,-89559.9424741855,64211.2374087128,0.611210490330024,264,32,10,22,52658.711426105,-0.240688619024073,"estimated","",NA
"sc_majority",NA,NA,NA,NA,NA,NA,NA,191,30,28,2,NA,NA,"not_estimated","Fewer than five villages in one dominance group; descriptive support only",NA
"obc_households","buyer_gap",-5122.76413443113,8998.72276471405,7.44485755734228,-26146.304319797,15900.7760509348,0.585927475963534,598,84,27,57,32776.3071045618,-0.156294731987001,"estimated","",NA
"obc_households","owner_gap",3347.03422359363,6297.68340479265,3.34620368852347,-15571.5051041103,22265.5735512975,0.62837586834976,598,84,27,57,32776.3071045618,0.102117490323606,"estimated","",NA
"obc_households","both_gap",19550.1498421475,25279.6097723247,2.95669376623315,-61571.5958748974,100671.895559192,0.496412220230191,598,84,27,57,32776.3071045618,0.596472011925545,"estimated","",NA
"obc_households","neither_gap",-407.011617871082,15879.5039568683,21.8600598798343,-33351.3146427513,32537.2914070092,0.979784002232978,598,84,27,57,32776.3071045618,-0.0124178607605991,"estimated","",NA
"obc_households","buyer_minus_owner",-8469.79835802475,6770.77943895886,2.91516523419558,-30376.5629810253,13436.9662649758,0.301948513345576,598,84,27,57,32776.3071045618,-0.258412222310607,"estimated","",NA
"sc_households","buyer_gap",1178.92375193404,17257.7633271926,3.16254571572902,-52180.0744045058,54537.9219083738,0.949628655583199,145,50,17,33,43662.4398328646,0.027000867483513,"estimated","",NA
"sc_households","owner_gap",-7613.90826172521,30829.2257688295,3.31903694932695,-100600.90667437,85373.0901509199,0.819432245317331,145,50,17,33,43662.4398328646,-0.174381191039037,"estimated","",NA
"sc_households","both_gap",62860.0976378172,48489.752552849,2.85876826935423,-95859.7555236756,221579.95079931,0.289579668803713,145,50,17,33,43662.4398328646,1.43968357880227,"estimated","",NA
"sc_households","neither_gap",5257.44937020982,14996.811636738,4.473696085959,-34697.9537015102,45212.8524419299,0.741804474325745,145,50,17,33,43662.4398328646,0.12041125943339,"estimated","",NA
"sc_households","buyer_minus_owner",8792.83201365925,29458.3500898912,3.17194041588417,-82146.4239508708,99732.0879781893,0.783828978931671,145,50,17,33,43662.4398328646,0.20138205852255,"estimated","",NA
"sc_majority_obc_households",NA,NA,NA,NA,NA,NA,NA,124,29,27,2,NA,NA,"not_estimated","Fewer than five villages in one dominance group; descriptive support only",NA
"sc_majority_sc_households",NA,NA,NA,NA,NA,NA,NA,67,19,17,2,NA,NA,"not_estimated","Fewer than five villages in one dominance group; descriptive support only",NA
"sc_majority_40",NA,NA,NA,NA,NA,NA,NA,303,44,41,3,NA,NA,"not_estimated","Fewer than five villages in one dominance group; descriptive support only",NA
"sc_majority_60",NA,NA,NA,NA,NA,NA,NA,73,16,15,1,NA,NA,"not_estimated","Fewer than five villages in one dominance group; descriptive support only",NA
"not_upper_obc_households","buyer_gap",-4704.01340070913,6895.81771907134,10.8056460892432,-19914.9787843092,10506.9519828909,0.509499388537712,823,128,27,101,32776.3071045618,-0.143518712639058,"estimated","",NA
"not_upper_obc_households","owner_gap",2259.22355800626,7576.88440359284,2.91826885131278,-22240.389634052,26758.8367500645,0.785534705626369,823,128,27,101,32776.3071045618,0.0689285571678031,"estimated","",NA
"not_upper_obc_households","both_gap",-22489.9986244794,34165.1393631988,2.34389218321938,-150639.424601219,105659.42735226,0.569160202450855,823,128,27,101,32776.3071045618,-0.686166338164109,"estimated","",NA
"not_upper_obc_households","neither_gap",-12464.6283720558,16754.0256145295,21.3245750264502,-47274.2692443081,22345.0125001965,0.465009272772123,823,128,27,101,32776.3071045618,-0.380293860815118,"estimated","",NA
"not_upper_obc_households","buyer_minus_owner",-6963.23695871539,8658.45333696077,2.66763368887632,-36566.0909057545,22639.6169883237,0.486709125876493,823,128,27,101,32776.3071045618,-0.212447269806861,"estimated","",NA
"not_upper_sc_households","buyer_gap",9057.52965034806,21997.0863650815,3.46969447781997,-55879.6536108976,73994.7129115937,0.704656611591253,293,89,17,72,43662.4398328646,0.207444423285079,"estimated","",NA
"not_upper_sc_households","owner_gap",64677.3543624019,93640.8501211013,1.55092678410214,-473534.435219292,602889.143944096,0.578421450195754,293,89,17,72,43662.4398328646,1.48130417379286,"estimated","",NA
"not_upper_sc_households","both_gap",-17712.1879899669,65892.5213862823,2.19557961384059,-278346.745238308,242922.369258374,0.811260347073525,293,89,17,72,43662.4398328646,-0.40566189287102,"estimated","",NA
"not_upper_sc_households","neither_gap",136106.9990441,119866.942808965,4.5150141053689,-182247.095780132,454461.093868331,0.312828969928507,293,89,17,72,43662.4398328646,3.11725591985019,"estimated","",NA
"not_upper_sc_households","buyer_minus_owner",-55619.8247120538,103851.582115268,1.91501029631759,-522009.512680297,410769.863256189,0.647917133251063,293,89,17,72,43662.4398328646,-1.27385975050778,"estimated","",NA
"broad_lower_obc_households","buyer_gap",-5668.4958978627,7534.07364161987,10.760728030128,-22295.9775067131,10958.9857109877,0.467961070431433,752,108,27,81,32776.3071045618,-0.172944922677813,"estimated","",NA
"broad_lower_obc_households","owner_gap",4918.96517702798,8852.43102226374,3.04341160324356,-23027.442461785,32865.3728158409,0.616680479596924,752,108,27,81,32776.3071045618,0.150076857692835,"estimated","",NA
"broad_lower_obc_households","both_gap",-19295.4140147519,33659.0109618718,2.39886982042468,-143322.608336915,104731.780307411,0.615698191907478,752,108,27,81,32776.3071045618,-0.588700061699945,"estimated","",NA
"broad_lower_obc_households","neither_gap",-6644.38389021612,15890.0211152332,20.8802494873963,-39701.0352748482,26412.267494416,0.680107900964013,752,108,27,81,32776.3071045618,-0.202719112590062,"estimated","",NA
"broad_lower_obc_households","buyer_minus_owner",-10587.4610748907,9717.7306932257,2.77145923812515,-43007.6156941033,21832.6935443219,0.361500036658742,752,108,27,81,32776.3071045618,-0.323021780370648,"estimated","",NA
