"model","term","estimate","se","p","lower","upper","n","clusters","rank"
"T3_1","(Intercept)",1062.85284313048,227.129250578644,1.02197794687479e-05,611.551860195893,1514.15382606507,1295,90,7
"T3_1","literate",255.033038138491,141.679102651233,0.0752369138222532,-26.4803209946719,536.546397271654,1295,90,7
"T3_1","totland",58.5209990286937,18.4341715073584,0.00206127236451903,21.8926929005269,95.1493051568604,1295,90,7
"T3_1","bihar",-648.77448614744,216.892246384643,0.00359396808100566,-1079.73475980179,-217.814212493086,1295,90,7
"T3_1","caste4",-532.096038048575,229.650602397734,0.022800221678885,-988.406893341658,-75.7851827554929,1295,90,7
"T3_1","caste5",-826.546829495199,204.766956765472,0.000114592824644092,-1233.41441095091,-419.679248039483,1295,90,7
"T3_1","domlow",566.533721950646,209.033476168458,0.00806590483246135,151.188657320167,981.878786581125,1295,90,7
"T3_2","(Intercept)",662.456414628973,120.644574645507,3.73979040520944e-07,422.738214597355,902.174614660591,1295,90,30
"T3_2","literate",294.86890766321,115.400938474934,0.0123116263617317,65.5697010104815,524.168114315939,1295,90,30
"T3_2","totland",52.6944105279342,18.1072392999203,0.0045634120942843,16.7157117321296,88.6731093237388,1295,90,30
"T3_2","bihar",236.724462746197,74.6401456533418,0.00208079296147021,88.416083204961,385.032842287434,1295,90,30
"T3_2","caste4",-796.389895710306,221.603866339984,0.000534003878319778,-1236.71205785609,-356.067733564521,1295,90,30
"T3_2","caste5",-926.011890544305,181.336824127923,1.85015187056643e-06,-1286.32429752261,-565.699483566005,1295,90,30
"T3_2","domlow",393.354818252536,191.563233791661,0.0429693661108957,12.7227530999646,773.986883405108,1295,90,30
"T3_2","dist1",-157.881967616291,202.470292508533,0.437590077454547,-560.186126113553,244.42219088097,1295,90,30
"T3_2","dist2",-149.398807998423,211.770633882739,0.482357324502609,-570.182546704367,271.384930707522,1295,90,30
"T3_2","dist3",-380.232922306481,73.9815184196534,1.61643009695427e-06,-527.232623563464,-233.233221049498,1295,90,30
