"method","contrast","estimate","std_error","df","lower","upper","p_value","n","villages","relative_se"
"iid","buyer_gap",762.955317864504,172.857384396362,1261,423.835572931973,1102.07506279704,1.10259768052262e-05,1295,90,0.22656291967423
"iid","buyer_interaction",850.935932179705,208.901748882246,1261,441.10265809484,1260.76920626457,4.92263976433141e-05,1295,90,0.245496448066468
"iid","owner_gap",300.541239560774,326.001668880554,1261,-339.024163933089,940.106643054637,0.356756602363222,1295,90,1.0847152602318
"iid","buyer_minus_owner",462.41407830373,355.175569924793,1261,-234.386056094794,1159.21421270225,0.193177749523179,1295,90,0.768089871371739
"HC1","buyer_gap",762.955317864504,177.335578961517,1261,415.050040257179,1110.86059547183,1.82072566398091e-05,1295,90,0.232432456802157
"HC1","buyer_interaction",850.935932179705,176.818581067419,1261,504.044925351666,1197.82693900774,1.67070582080765e-06,1295,90,0.207793059830593
"HC1","owner_gap",300.541239560774,472.356766054664,1261,-626.150475583472,1227.23295470502,0.524723094852456,1295,90,1.57168702286911
"HC1","buyer_minus_owner",462.41407830373,490.312374428224,1261,-499.503793669246,1424.33195027671,0.3458099056118,1295,90,1.06033184851731
"village_CR1","buyer_gap",762.955317864504,310.261526976377,89,146.472272486149,1379.43836324286,0.0158642044700499,1295,90,0.406657532507661
"village_CR1","buyer_interaction",850.935932179705,274.974652923363,89,304.567153916849,1397.30471044256,0.00263413729702566,1295,90,0.323143779131533
"village_CR1","owner_gap",300.541239560774,457.67084090989,89,-608.840972712306,1209.92345183385,0.513083988840628,1295,90,1.52282209782176
"village_CR1","buyer_minus_owner",462.41407830373,614.227208093639,89,-758.042300835542,1682.870457443,0.453533522097587,1295,90,1.32830559646195
"village_CR2","buyer_gap",762.955317864504,348.012278833649,32.9847539110043,54.9065801200946,1471.00405560891,0.0355184030087086,1295,90,0.456137169091013
"village_CR2","buyer_interaction",850.935932179705,291.272456666406,66.1173181594725,269.410968841958,1432.46089551745,0.00476285788023287,1295,90,0.342296576806083
"village_CR2","owner_gap",300.541239560774,470.769115570304,24.2167519970497,-670.618459374541,1271.70093849609,0.529201966323373,1295,90,1.56640438516295
"village_CR2","buyer_minus_owner",462.41407830373,623.419389080875,27.1765146871613,-816.348210766058,1741.17636737352,0.46460823805962,1295,90,1.34818427537449
