"definition","minimum_accounts","minimum_classified_share","villages","upper_majority","obc_majority","sc_majority","unresolved_majority"
"narrow",1,0,26620,7571,7549,188,9998
"narrow",1,0.9,12166,5676,4916,135,533
"narrow",25,0,20644,5968,5869,55,7748
"narrow",25,0.9,9295,4430,3647,36,505
"narrow",50,0,16872,4815,4781,32,6424
"narrow",50,0.9,7538,3574,2940,23,448
"narrow",100,0,11187,3097,3095,10,4424
"narrow",100,0.9,4876,2307,1840,6,342
"broad",1,0,28442,7956,8058,153,10909
"broad",1,0.9,12538,5876,5009,103,622
"broad",25,0,24806,7022,6985,77,9546
"broad",25,0.9,10808,5150,4222,45,607
"broad",50,0,21627,6032,6077,50,8458
"broad",50,0.9,9347,4426,3655,29,562
"broad",100,0,15713,4245,4352,19,6365
"broad",100,0.9,6677,3143,2565,11,462
