"model","term","estimate","se","p","lower","upper","n","clusters","rank"
"T5_IV:raw_instruments","(Intercept)",1402.93186243348,779.028179008948,0.0717226873076914,-123.935311365876,2929.79903623284,1127,80,28
"T5_IV:raw_instruments","totland",47.0798230408989,37.3705843418712,0.207738035260486,-26.1651763503852,120.324822432183,1127,80,28
"T5_IV:raw_instruments","bihar",-1235.0000977248,979.376395972472,0.207306469802937,-3154.54256113949,684.54236568988,1127,80,28
"T5_IV:raw_instruments","caste4",-1298.68024824649,708.626123928519,0.0668511552678052,-2687.5619296506,90.2014331576231,1127,80,28
"T5_IV:raw_instruments","caste5",-1765.75246643494,830.208119509536,0.033430112957606,-3392.93048034636,-138.574452523527,1127,80,28
"T5_IV:raw_instruments","domlow",5442.39139322611,4684.91303133021,0.245363597134359,-3739.86941888347,14624.6522053357,1127,80,28
"T5_IV:raw_instruments","dist1",-1070.76477002583,1450.56645929128,0.460411097581738,-3913.82278741852,1772.29324736686,1127,80,28
"T5_IV:raw_instruments","dist2",-240.020301946487,1027.39338871449,0.815279501990792,-2253.67434178145,1773.63373788847,1127,80,28
"T5_IV:raw_instruments","dist3",-555.076560095161,652.13281970671,0.394674356222455,-1833.23339985686,723.080279666543,1127,80,28
"T5_IV:raw_instruments","dist4",-486.23701384848,963.623728499408,0.613845291796783,-2374.90481635552,1402.43078865856,1127,80,28
"T5_IV:raw_instruments","dist5",-626.978018168934,1391.90464055051,0.652388810061335,-3355.0609835621,2101.10494722423,1127,80,28
"T5_IV:raw_instruments","dist18",-1900.5725290378,1895.18914074852,0.3159377981378,-5615.07498879631,1813.9299307207,1127,80,28
"T5_IV:raw_instruments","dist21",-932.33996125101,793.809743366038,0.24018955846289,-2488.17846882543,623.498546323407,1127,80,28
"T5_IV:raw_instruments","dist7",984.866218278754,702.397837611075,0.16087084553016,-391.808246257765,2361.54068281527,1127,80,28
"T5_IV:raw_instruments","dist8",849.200967206419,966.407953745875,0.379553689782427,-1044.92381650855,2743.32575092138,1127,80,28
"T5_IV:raw_instruments","dist9",-947.0340709995,979.9055119396,0.333816814640468,-2867.6135826534,973.5454406544,1127,80,28
"T5_IV:raw_instruments","dist10",-787.321448396679,1481.58968973656,0.59513942965812,-3691.18388014621,2116.54098335286,1127,80,28
"T5_IV:raw_instruments","dist11",-1334.4028580482,1576.15316044973,0.39720693798378,-4423.60628664865,1754.80057055225,1127,80,28
"T5_IV:raw_instruments","dist13",646.973971410922,468.153023088422,0.166980559783513,-270.589093095933,1564.53703591778,1127,80,28
"T5_IV:raw_instruments","dist14",-1027.16346474816,2111.85211784826,0.626697488860549,-5166.31755640538,3111.99062690906,1127,80,28
"T5_IV:raw_instruments","dist16",3026.13039860904,1641.14013164035,0.0651948632279486,-190.445152989362,6242.70595020744,1127,80,28
"T5_IV:raw_instruments","dist17",-1489.17507955014,1571.71106768881,0.343390912399781,-4569.6721663232,1591.32200722293,1127,80,28
"T5_IV:raw_instruments","dist20",41.1706236470635,1267.07286544635,0.97407913427107,-2442.24655841574,2524.58780570987,1127,80,28
"T5_IV:raw_instruments","dist22",-1490.03419269434,1504.51318129191,0.321990226758234,-4438.82584229226,1458.75745690358,1127,80,28
"T5_IV:raw_instruments","dist24",-1198.10750966695,1562.17917552145,0.443113454998944,-4259.92243108747,1863.70741175357,1127,80,28
"T5_IV:raw_instruments","dist25",-745.302570350201,1104.99343174993,0.500002400394643,-2911.04989973337,1420.44475903297,1127,80,28
"T5_IV:raw_instruments","buywater",2335.60009034451,2557.46985861856,0.361112976016467,-2676.94872409461,7348.14890478363,1127,80,28
"T5_IV:raw_instruments","dlbuywater",-8963.07423598584,8179.31022849183,0.273156350095413,-24994.2277022099,7068.07923023822,1127,80,28
