"model","term","estimate","se","p","lower","upper","n","clusters","rank"
"T3_1:all","domlow",566.533721950646,209.033476168458,0.00806590483246135,151.188657320167,981.878786581125,1295,90,7
"T3_1:landowners","domlow",779.843401157938,282.056435005068,0.00693712433351931,219.315506561955,1340.37129575392,950,89,7
"T3_1:positive_sales","domlow",1199.04462226856,401.58559082293,0.00375217881911741,399.86382746899,1998.22541706813,500,81,7
"T3_1:winsor99","domlow",545.383813855368,190.483648593157,0.00522985234272029,166.896861496525,923.870766214211,1295,90,7
"T3_1:log1p_sales","domlow",0.64766157519033,0.29074617715673,0.0284298794100999,0.069955114217028,1.22536803616363,1295,90,7
"T3_1:UP","domlow",856.463442052614,340.35139466939,0.0151104952524194,172.847546973209,1540.07933713202,769,51,6
"T3_1:Bihar","domlow",122.967664033112,134.066098506302,0.364814032210002,-148.434963361494,394.370291427717,526,39,6
"T3_1:district_cluster","domlow",566.533721950646,223.321115747768,0.0181016718961214,105.621592377662,1027.44585152363,1295,25,7
"T3_2:all","domlow",393.354818252536,191.563233791661,0.0429693661108957,12.7227530999646,773.986883405108,1295,90,30
"T3_2:landowners","domlow",620.275467366776,288.285220790349,0.0341678474422686,47.3691699094995,1193.18176482405,950,89,30
"T3_2:positive_sales","domlow",900.476885408366,359.592125202467,0.0143074006812225,184.865750471788,1616.08802034494,500,81,30
"T3_2:winsor99","domlow",388.942533825581,179.733884412501,0.0331433210374024,31.815133918417,746.069933732746,1295,90,30
"T3_2:log1p_sales","domlow",0.208426268561725,0.314740113617383,0.509543283750102,-0.416955633076201,0.833808170199651,1295,90,30
"T3_2:UP","domlow",545.649251708008,311.993710045549,0.0864432895645239,-81.0085575221016,1172.30706093812,769,51,17
"T3_2:Bihar","domlow",213.117854928911,170.919237738293,0.220068087248303,-132.890052448771,559.125762306594,526,39,18
"T3_2:district_cluster","domlow",393.354818252536,184.517612817991,0.0434610003117572,12.5291825624471,774.180453942625,1295,25,30
"T4_2:all","dlbuywater",850.935932179705,274.974652923363,0.00263413729702566,304.567153916849,1397.30471044256,1295,90,34
"T4_2:landowners","dlbuywater",1019.54622431285,384.276360506444,0.00946050290646884,255.877707784189,1783.21474084152,950,89,34
"T4_2:positive_sales","dlbuywater",944.058406219601,580.450590754963,0.107792551546263,-211.075082287384,2099.19189472659,500,81,34
"T4_2:winsor99","dlbuywater",764.089246535316,249.657029074607,0.00292020269348141,268.026047582051,1260.15244548858,1295,90,34
"T4_2:log1p_sales","dlbuywater",1.21945918433175,0.38440077291807,0.00207552396844365,0.455663036469795,1.98325533219371,1295,90,34
"T4_2:UP","dlbuywater",1022.18991293981,389.775306675709,0.0115382590776672,239.303169044443,1805.07665683517,769,51,21
"T4_2:Bihar","dlbuywater",492.235546490986,227.280614105543,0.0366714471526899,32.1299977253952,952.341095256576,526,39,22
"T4_2:district_cluster","dlbuywater",850.935932179705,334.396352453771,0.0177866714094015,160.775781336708,1541.0960830227,1295,25,34
"T3_1:sample_of_T3_4","domlow",585.230470255834,221.115593592531,0.00980652072542003,145.110890504422,1025.35005000725,1127,80,7
"T3_1:sample_of_T3_6","domlow",287.050742803971,155.389420200397,0.0685449447812023,-22.3691231669219,596.470608774865,1122,78,7
"T4_2:sample_of_T4_4","dlbuywater",1010.90490751862,312.210482766264,0.0017614638206485,389.465486460461,1632.34432857678,1127,80,33
"T4_2:caste3","dlbuywater",1271.60055490653,488.434158667391,0.0110446980958127,299.202841816055,2243.99826799701,513,79,31
"T4_2:caste4","dlbuywater",513.650935962792,466.0139919414,0.273754513194575,-414.111653918979,1441.41352584456,303,79,32
"T4_2:caste5","dlbuywater",360.70111849969,229.571343212893,0.119988461771959,-95.9894147404877,817.391651739867,479,83,32
