"definition","before","after","villages"
"broad","unresolved","unresolved",10909
"narrow","unresolved","unresolved",9998
"broad","upper","upper",7827
"narrow","upper","upper",7446
"broad","muslim","muslim",589
"narrow","muslim","muslim",589
"broad","obc","obc",7814
"narrow","obc","obc",7333
"broad","unresolved","obc",244
"narrow","unresolved","obc",216
"broad","st","st",64
"narrow","st","st",68
"broad","none","none",437
"narrow","none","none",397
"narrow","sc","sc",188
"narrow","unresolved","none",93
"broad","sc","sc",153
"broad","unresolved","none",107
"narrow","unresolved","muslim",36
"broad","unresolved","muslim",28
"broad","unresolved","st",141
"narrow","unresolved","st",131
"broad","unresolved","upper",129
"narrow","unresolved","upper",125
