"district_key","upper_villages","obc_villages","households","both_groups"
"10_12",0,4,32,FALSE
"10_14",1,4,27,TRUE
"10_16",2,3,31,TRUE
"10_2",0,2,21,FALSE
"10_22",0,3,19,FALSE
"10_23",0,1,5,FALSE
"10_27",1,3,24,TRUE
"10_32",2,0,2,FALSE
"10_5",1,3,44,TRUE
"10_6",0,2,15,FALSE
"9_1",0,1,1,FALSE
"9_13",0,1,3,FALSE
"9_14",1,1,23,TRUE
"9_2",0,1,3,FALSE
"9_23",0,1,14,FALSE
"9_24",1,1,28,TRUE
"9_29",1,2,38,TRUE
"9_3",2,0,3,FALSE
"9_30",0,1,18,FALSE
"9_34",1,0,3,FALSE
"9_40",1,1,17,TRUE
"9_42",1,2,23,TRUE
"9_44",1,1,13,TRUE
"9_45",4,0,27,FALSE
"9_47",1,2,31,TRUE
"9_48",0,1,10,FALSE
"9_49",2,1,32,TRUE
"9_5",1,4,26,TRUE
"9_54",0,1,20,FALSE
"9_59",0,4,39,FALSE
"9_6",0,1,7,FALSE
"9_60",0,1,18,FALSE
"9_65",2,1,36,TRUE
"9_66",0,3,50,FALSE
"9_67",1,1,18,TRUE
"9_68",1,1,22,TRUE
