"scenario","dominance","water_status","n","villages","weight_sum","effective_households"
"primary",0,"buyer",100,23,98.0633303062725,67.3501800048275
"primary",1,"buyer",368,56,408.641970612391,156.987030809881
"primary",0,"owner",17,7,14.6649817746597,11.3803468720216
"primary",1,"owner",109,36,86.3015847742359,31.6529996195407
"primary",0,"both",10,8,9.87646890542116,7.49905387015988
"primary",1,"both",75,37,76.8448640506834,23.4602966343791
"primary",0,"neither",34,15,26.1224326322683,26.3207793703932
"primary",1,"neither",30,20,22.4843669440688,27.4597101256039
