"model","term","published_estimate","published_se","estimate","se","p","lower","upper","n","clusters","rank","estimate_error","se_error","within_0.1"
"T3_1","domlow",566.5,209,566.533721950646,209.033476168458,0.00806590483246135,151.188657320167,981.878786581125,1295,90,7,0.0337219506460542,0.0334761684580087,TRUE
"T3_1","literate",255,141.7,255.033038138491,141.679102651233,0.0752369138222532,-26.4803209946719,536.546397271654,1295,90,7,0.0330381384910083,-0.0208973487669937,TRUE
"T3_1","totland",58.5,18.4,58.5209990286937,18.4341715073584,0.00206127236451903,21.8926929005269,95.1493051568604,1295,90,7,0.0209990286937014,0.0341715073584012,TRUE
"T3_2","domlow",393.3,191.6,393.354818252536,191.563233791661,0.0429693661108957,12.7227530999646,773.986883405108,1295,90,30,0.0548182525359948,-0.036766208339003,TRUE
"T3_2","literate",294.9,115.4,294.86890766321,115.400938474934,0.0123116263617317,65.5697010104815,524.168114315939,1295,90,30,-0.0310923367899818,0.000938474933988687,TRUE
"T3_2","totland",52.7,18.1,52.6944105279342,18.1072392999203,0.0045634120942843,16.7157117321296,88.6731093237388,1295,90,30,-0.00558947206580029,0.00723929992029682,TRUE
"T3_3","domlow",387.2,161.8,387.218920714418,161.773341885813,0.0187844756639537,65.77873623936,708.659105189475,1295,90,14,0.0189207144180159,-0.0266581141870006,TRUE
"T3_3","literate",163.7,127.7,163.738653639212,127.705433528249,0.203116662451159,-90.009322592634,417.486629871058,1295,90,14,0.0386536392120149,0.00543352824900012,TRUE
"T3_3","totland",47.8,17.9,47.836540114308,17.8777793342606,0.00887445877918417,12.3137733826587,83.3593068459574,1295,90,14,0.0365401143080035,-0.0222206657393968,TRUE
"T3_4","domlow",505.6,198.6,505.565938163248,198.638006277319,0.012869765758076,110.186876808864,900.944999517631,1127,80,10,-0.0340618367520165,0.0380062773189991,TRUE
"T3_4","literate",297.4,158.3,297.449170539461,158.305152321013,0.0639380933932645,-17.6493531784106,612.547694257333,1127,80,10,0.0491705394610449,0.00515232101298579,TRUE
"T3_4","totland",55.9,19.6,55.8854530119784,19.5991815769962,0.00555146140524115,16.874257921708,94.8966481022489,1127,80,10,-0.0145469880215998,-0.000818423003799751,TRUE
