"model","term","published_estimate","published_se","estimate","se","p","lower","upper","n","clusters","rank","estimate_error","se_error","within_0.1"
"T3_5","domlow",668.5,254.9,668.475362750534,254.925439854155,0.0102750886223077,161.943943798059,1175.00678170301,1295,90,16,-0.0246372494659681,0.0254398541549961,TRUE
"T3_5","literate",288.6,145.6,288.597692183595,145.654675828097,0.05063481351824,-0.815046170325786,578.010430537516,1295,90,16,-0.00230781640505029,0.0546758280970039,TRUE
"T3_5","totland",65.6,20.5,65.589593931349,20.5520454820768,0.00195679554076586,24.7531173271781,106.42607053552,1295,90,16,-0.0104060686509939,0.0520454820767995,TRUE
"T3_6","domlow",371.3,167.6,371.265894078102,167.650717369907,0.0297505824764713,37.4306662252586,705.101121930945,1122,78,19,-0.0341059218980035,0.0507173699070051,TRUE
"T3_6","literate",224.4,104.4,224.390666984279,104.445494831411,0.0348256426644014,16.413116322718,432.368217645841,1122,78,19,-0.00933301572101186,0.0454948314109913,TRUE
"T3_6","totland",50.9,15.6,50.9080415522438,15.6071270048471,0.00165085940519168,19.8302813044573,81.9858018000304,1122,78,19,0.0080415522438031,0.00712700484710105,TRUE
"T4_1","buywater",318.1,127.9,318.148347922422,127.949113497739,0.0147658545584678,63.9161847817024,572.380511063141,1295,90,32,0.0483479224219536,0.0491134977390004,TRUE
"T4_1","domlow",346.2,196.2,346.222876725308,196.16533738866,0.0810017937240715,-43.5534702474212,735.999223698038,1295,90,32,0.0228767253080377,-0.0346626113399964,TRUE
"T4_1","ownpump",1119.6,260,1119.62759363969,259.973421849251,4.25386889043392e-05,603.065941987467,1636.18924529191,1295,90,32,0.027593639690167,-0.0265781507490033,TRUE
"T4_2","buywater",-143,174.9,-143.014693225893,174.860584752707,0.415610919547671,-490.458950512734,204.429564060949,1295,90,34,-0.0146932258930121,-0.0394152472929932,TRUE
"T4_2","dlbuywater",850.9,275,850.935932179705,274.974652923363,0.00263413729702566,304.567153916849,1397.30471044256,1295,90,34,0.0359321797050143,-0.0253470766369901,TRUE
"T4_2","dlownpump",388.5,500.4,388.521853875975,500.402643048842,0.439560497505059,-605.767539038718,1382.81124679067,1295,90,34,0.0218538759750118,0.00264304884200328,TRUE
"T4_2","domlow",-88,165.9,-87.9806143152006,165.929632061617,0.597273972566853,-417.679258838548,241.718030208146,1295,90,34,0.0193856847994027,0.0296320616170078,TRUE
"T4_2","ownpump",865.7,474.4,865.734185004117,474.415234520664,0.0713793601817067,-76.91878070972,1808.38715071795,1295,90,34,0.0341850041169209,0.0152345206640234,TRUE
"T4_3","buywater",43.4,193,43.4261030339485,192.993873660729,0.822485107613251,-340.048613065127,426.900819133024,1295,90,18,0.0261030339485018,-0.00612633927099182,TRUE
"T4_3","dlbuywater",602.1,254.4,602.135870878335,254.38037532413,0.0200972168399628,96.6874835368764,1107.58425821979,1295,90,18,0.0358708783350039,-0.0196246758700056,TRUE
"T4_3","dlownpump",365.3,593.9,365.341686058715,593.921020497792,0.540035172440537,-814.766730859431,1545.45010297686,1295,90,18,0.0416860587150154,0.0210204977920512,TRUE
"T4_3","domlow",19,137.1,19.0176191179892,137.123977303106,0.890009058289374,-253.444802974864,291.480041210843,1295,90,18,0.0176191179891987,0.023977303105994,TRUE
"T4_3","ownpump",755.8,497,755.760272657225,496.962945351113,0.131865572148125,-231.69451419934,1743.21505951379,1295,90,18,-0.0397273427749951,-0.0370546488870218,TRUE
"T4_4","buywater",-233.9,171.7,-233.915985452999,171.667778300089,0.176877807816397,-575.612150860151,107.780179954152,1127,80,14,-0.01598545299899,-0.0322216999109912,TRUE
"T4_4","dlbuywater",980.7,333.9,980.676781321433,333.930871648229,0.00434356160240431,316.004007646885,1645.34955499598,1127,80,14,-0.023218678566991,0.0308716482290379,TRUE
"T4_4","dlownpump",773.2,682,773.227763313328,682.007341804417,0.260327042391091,-584.273893559764,2130.72942018642,1127,80,14,0.0277633133279096,0.00734180441702392,TRUE
"T4_4","domlow",-162.1,186.3,-162.08987256639,186.2952347906,0.386898274102724,-532.90126182021,208.72151668743,1127,80,14,0.0101274336099948,-0.00476520940000569,TRUE
"T4_4","ownpump",841,532.7,841.024673569785,532.750991296897,0.118413546660674,-219.389649057434,1901.438996197,1127,80,14,0.0246735697850227,0.0509912968969957,TRUE
"T4_5","buywater",-225.7,172.6,-225.706997581598,172.632673062387,0.194430589715743,-568.724441795392,117.310446632196,1295,90,20,-0.00699758159800012,0.0326730623870048,TRUE
"T4_5","dlbuywater",901.8,273.7,901.780819519873,273.744507049831,0.0014174828974642,357.856314905012,1445.70532413473,1295,90,20,-0.01918048012692,0.0445070498309974,TRUE
"T4_5","dlownpump",654.8,600.1,654.817594145676,600.063923779773,0.278109921591023,-537.496640746894,1847.13182903825,1295,90,20,0.0175941456760711,-0.0360762202270735,TRUE
"T4_5","domlow",48.1,175,48.0866184734665,175.025001236105,0.784151656994937,-299.684330863734,395.857567810667,1295,90,20,-0.0133815265335002,0.0250012361049983,TRUE
"T4_5","ownpump",703.3,524.1,703.337078093156,524.09462633849,0.18300839154302,-338.027780967126,1744.70193715344,1295,90,20,0.037078093156083,-0.00537366151002061,TRUE
"T4_6","dllandlord",189.6,323.2,189.558967181426,323.193773068077,0.559012184798202,-452.62017571791,831.738110080763,1295,90,11,-0.0410328185739957,-0.00622693192298129,TRUE
"T4_6","dltenant",-420.7,289,-420.673889228728,288.99506391288,0.149009539113637,-994.900925486077,153.55314702862,1295,90,11,0.0261107712719877,-0.0049360871199724,TRUE
"T4_6","domlow",654.4,245.9,654.408271630015,245.909808413371,0.00923783117389186,165.790720312976,1143.02582294705,1295,90,11,0.00827163001497411,0.00980841337099037,TRUE
"T4_6","landlord",-324.2,173,-324.24883935054,173.034014520779,0.0642250016361681,-668.063740493388,19.5660617923091,1295,90,11,-0.0488393505399927,0.0340145207790101,TRUE
"T4_6","tenant",79.3,106.1,79.3103981940935,106.146675106286,0.456925956755005,-131.60078426551,290.221580653697,1295,90,11,0.0103981940934972,0.0466751062860027,TRUE
"T4_7","bfhcast",-28.6,161,-28.5830185841504,160.97280622865,0.859468692422824,-348.43255576023,291.266518591929,1295,90,11,0.0169814158496031,-0.0271937713499995,TRUE
"T4_7","bfrelsc",-234.8,125,-234.824085000582,124.961352987246,0.063493362072347,-483.119631647726,13.4714616465625,1295,90,11,-0.0240850005819766,-0.038647012753998,TRUE
"T4_7","dlbfhcast",-542.5,318.7,-542.51196532981,318.740013954847,0.0922364361714542,-1175.84158373843,90.8176530788061,1295,90,11,-0.011965329809982,0.0400139548469838,TRUE
"T4_7","dlbfrelsc",-482.7,292.2,-482.738078548258,292.185467388215,0.102025220394313,-1063.30437855393,97.8282214574118,1295,90,11,-0.0380785482579995,-0.0145326117850004,TRUE
"T4_7","domlow",740.7,259.7,740.738722468834,259.689958359317,0.00539452866316396,224.740306733199,1256.73713820447,1295,90,11,0.0387224688339529,-0.0100416406829709,TRUE
"T5_IV","buywater",202.1,931.6,202.086554644332,931.560094910587,0.828260201098169,-1623.73768081513,2027.9107901038,1127,80,28,-0.013445355667983,-0.0399050894129687,TRUE
"T5_IV","dlbuywater",3519.5,1413.7,3519.50928364835,1413.7152669006,0.0127906341065318,748.678276128748,6290.34029116796,1127,80,28,0.00928364834999229,0.0152669005999542,TRUE
"T5_IV","domlow",-1522.8,814.1,-1522.84798924712,814.138471327906,0.0614140798242027,-3118.53007147831,72.8340929840751,1127,80,28,-0.0479892471200856,0.0384713279059952,TRUE
