"model","term","estimate","se","p","lower","upper","n","clusters","rank"
"T5_IV","(Intercept)",588.012317932749,517.540833733112,0.255887081752504,-426.349076712982,1602.37371257848,1127,80,28
"T5_IV","totland",40.2237445949362,21.0779301810264,0.0563479767969833,-1.08823942852533,81.5357286183978,1127,80,28
"T5_IV","bihar",-584.144651428225,592.436569060047,0.324131295289903,-1745.29898991039,577.009687053944,1127,80,28
"T5_IV","caste4",-518.904808931162,279.366637657489,0.0632495766514401,-1066.45335722189,28.6437393595677,1127,80,28
"T5_IV","caste5",-664.976708809209,305.482473827982,0.0294948920209122,-1263.71135542025,-66.2420621981652,1127,80,28
"T5_IV","domlow",-1522.84798924712,814.138471327906,0.0614140798242027,-3118.53007147831,72.8340929840751,1127,80,28
"T5_IV","dist1",1254.50714910259,812.23691410648,0.122465094963763,-337.447949460061,2846.46224766525,1127,80,28
"T5_IV","dist2",939.497696612068,618.600703341699,0.128826299404582,-272.937402748808,2151.93279597294,1127,80,28
"T5_IV","dist3",333.084760803954,435.767661012277,0.444650836565047,-521.004160407367,1187.17368201528,1127,80,28
"T5_IV","dist4",421.309533660019,632.229303595361,0.505163623388698,-817.837131357728,1660.45619867777,1127,80,28
"T5_IV","dist5",1130.06804700316,683.623134064226,0.098319251660843,-209.808674761116,2469.94476876744,1127,80,28
"T5_IV","dist18",3.18646064869264,516.711916588184,0.995079634204005,-1009.55028624681,1015.9232075442,1127,80,28
"T5_IV","dist21",-1412.98261775372,584.997059106122,0.0157193602152062,-2559.55578466357,-266.409450843872,1127,80,28
"T5_IV","dist7",672.067140028757,519.616027208117,0.195875563931869,-346.361559088937,1690.49583914645,1127,80,28
"T5_IV","dist8",234.407807205895,1105.09732045026,0.832017254768951,-1931.54314028833,2400.35875470012,1127,80,28
"T5_IV","dist9",436.17156862481,600.145412694248,0.467362895414912,-740.091825742843,1612.43496299246,1127,80,28
"T5_IV","dist10",1011.19023643157,695.615555483777,0.14603990413048,-352.191199402451,2374.5716722656,1127,80,28
"T5_IV","dist11",1034.49334939588,582.666603589352,0.0758242011039733,-107.512208633526,2176.49890742529,1127,80,28
"T5_IV","dist13",673.806652827938,520.083614125428,0.195122394521531,-345.538499807328,1693.1518054632,1127,80,28
"T5_IV","dist14",1811.13997903289,593.761125318854,0.00228625169715826,647.389557987961,2974.89040007781,1127,80,28
"T5_IV","dist16",3151.97503487126,1061.75534359054,0.00299115626859691,1070.97280104085,5232.97726870167,1127,80,28
"T5_IV","dist17",112.438885045688,433.534245818004,0.795362039569188,-737.272622822334,962.15039291371,1127,80,28
"T5_IV","dist20",-134.049528179571,870.178978745642,0.877571710349806,-1839.56898662487,1571.46993026573,1127,80,28
"T5_IV","dist22",156.850067218005,466.716659727844,0.736817112146664,-757.897776833404,1071.59791126941,1127,80,28
"T5_IV","dist24",223.922535530575,731.492214979102,0.759515217960636,-1209.7758607999,1657.62093186104,1127,80,28
"T5_IV","dist25",482.62514549699,298.671681363315,0.1061147948995,-102.76059317713,1068.01088417111,1127,80,28
"T5_IV","buywater",202.086554644332,931.560094910587,0.828260201098169,-1623.73768081513,2027.9107901038,1127,80,28
"T5_IV","dlbuywater",3519.50928364835,1413.7152669006,0.0127906341065318,748.678276128748,6290.34029116796,1127,80,28
