"variable","different_observed","different_missingness"
"hhcode",0,0
"village",0,0
"borrow",0,0
"bfhcast",0,0
"literate",0,0
"cropinc",0,0
"totinc",0,0
"landirr",0,524
"ownpump",0,474
"tubewell",0,0
"totland",0,0
"buywater",0,474
"pricland",0,0
"cropincacre",0,0
"domlow",0,0
"tenant",0,0
"landlord",0,0
"bfrelsc",0,0
