"state","classifiable","households","villages","household_weight","weight_effective_n","mean_reported_land","sc_share","mean_roster_participants","upper_participant_present","obc_sc_participant_present"
9,FALSE,598,67,5743768.76710558,379.689022329671,72.5712535928268,0.403674883259267,11.4418695846596,0.628941006748343,0.942455731660135
10,FALSE,134,25,1813555.31874386,100.41057618991,80.8575992691828,0.214588158558225,8.60301662198797,0.485729957528952,0.984468871887487
9,TRUE,573,55,6554289.57514018,233.991787348744,88.625083223399,0.216757989109215,11.5767814904442,0.447831864936195,0.965964527008695
10,TRUE,241,32,3433084.47764758,121.311463855374,93.3060349244129,0.153460209768314,8.87072866495375,0.276440744934411,1
