"model","dominance","villages","households","minimum","p25","median","p75","maximum","largest_share","top10_share","size_effective_villages"
"T3_1",-1,90,1295,1,10,13,15,32,0.0247104247104247,0.221621621621622,72.6708410971963
"T3_1",0,48,591,1,7,11,15.25,27,0.0456852791878173,0.401015228426396,36.6853271715156
"T3_1",1,42,704,9,13,14.5,15,32,0.0454545454545455,0.387784090909091,36.5606373561523
"T3_2",-1,90,1295,1,10,13,15,32,0.0247104247104247,0.221621621621622,72.6708410971963
"T3_2",0,48,591,1,7,11,15.25,27,0.0456852791878173,0.401015228426396,36.6853271715156
"T3_2",1,42,704,9,13,14.5,15,32,0.0454545454545455,0.387784090909091,36.5606373561523
"T4_2",-1,90,1295,1,10,13,15,32,0.0247104247104247,0.221621621621622,72.6708410971963
"T4_2",0,48,591,1,7,11,15.25,27,0.0456852791878173,0.401015228426396,36.6853271715156
"T4_2",1,42,704,9,13,14.5,15,32,0.0454545454545455,0.387784090909091,36.5606373561523
