"quantity","value"
"raw_rows",29275117
"missing_account_rows",0
"parse_problems",0
"unique_accounts",7859522
"accounts_multiple_locations",0
"accounts_single_location_incomplete_geography",0
"verified_accounts",7859522
"verified_villages",29988
"verified_accounts_absent_from_stored",0
"stored_village_disagreements",0
