"file","variable","missing","n"
"village","illand",2,122
"village","niland",2,122
"village","hhlless",2,122
"village","village",0,122
"village","hhelec",63,122
"village","numhh",2,122
"village","domhigh",32,122
"village","handpump",1,122
"village","well",1,122
"village","pavedroad",1,122
"village","noflood",1,122
"village","noalkal",1,122
"village","nowaterlog",1,122
"village","nosoiler",1,122
"village","mpaddy",1,122
"village","mwheat",1,122
"village","ppaddy",22,122
"village","pwheat",5,122
"village","bus3",4,122
"village","tele3",4,122
"village","ps3",2,122
"village","pds3",8,122
"village","bank3",2,122
"village","pps3",13,122
"village","ms3",8,122
"village","ss3",5,122
"village","phc3",4,122
"village","hosp3",3,122
"village","area",10,122
"village","naturalwater",2,122
"table2","hhcode",0,1670
"table2","landirr",524,1670
"table2","ownpump",474,1670
"table2","buywater",474,1670
"table2","cropvariety",474,1670
"table2","tyields",474,1670
"table2","village",0,1670
"table2","borrow",0,1670
"table2","bfhcast",0,1670
"table2","literate",0,1670
"table2","cropinc",0,1670
"table2","domhigh",373,1670
"table2","totinc",0,1670
"table2","tubewell",0,1670
"table2","totland",0,1670
"table2","pricland",0,1670
"table2","cropincacre",0,1670
"table2","domlow",373,1670
"table2","tenant",0,1670
"table2","landlord",0,1670
"table2","bfrelsc",0,1670
"household","hhcode",0,1666
"household","village",0,1666
"household","caste",0,1666
"household","borrow",0,1666
"household","bfhcast",0,1666
"household","bihar",0,1666
"household","literate",0,1666
"household","cropinc",0,1666
"household","totinc",0,1666
"household","caste4",0,1666
"household","caste5",0,1666
"household","electric",5,1666
"household","hhelec",0,1666
"household","bus3",15,1666
"household","tele3",51,1666
"household","ps3",0,1666
"household","pds3",82,1666
"household","bank3",0,1666
"household","pps3",125,1666
"household","ms3",104,1666
"household","ss3",57,1666
"household","phc3",33,1666
"household","hosp3",14,1666
"household","paddy",0,1666
"household","wheat",0,1666
"household","cereal",0,1666
"household","pulse",0,1666
"household","bulb",0,1666
"household","seed",0,1666
"household","cash",0,1666
"household","landirr",0,1666
"household","ownpump",0,1666
"household","tubewell",0,1666
"household","totland",0,1666
"household","canal",0,1666
"household","river",0,1666
"household","buywater",0,1666
"household","pricland",0,1666
"household","noflood",0,1666
"household","noalkal",0,1666
"household","nolog",0,1666
"household","nosoil",0,1666
"household","cropincacre",0,1666
"household","domlow",371,1666
"household","dlownpump",371,1666
"household","dlbuywater",371,1666
"household","dist1",0,1666
"household","dist2",0,1666
"household","dist3",0,1666
"household","dist4",0,1666
"household","dist5",0,1666
"household","dist6",0,1666
"household","dist7",0,1666
"household","dist8",0,1666
"household","dist9",0,1666
"household","dist10",0,1666
"household","dist11",0,1666
"household","dist12",0,1666
"household","dist13",0,1666
"household","dist14",0,1666
"household","dist15",0,1666
"household","dist16",0,1666
"household","dist17",0,1666
"household","dist18",0,1666
"household","dist19",0,1666
"household","dist20",0,1666
"household","dist21",0,1666
"household","dist22",0,1666
"household","dist23",0,1666
"household","dist24",0,1666
"household","dist25",0,1666
"household","tenant",0,1666
"household","landlord",0,1666
"household","dltenant",371,1666
"household","dllandlord",371,1666
"household","area",207,1666
"household","tolaparea",207,1666
"household","pmixdominant",371,1666
"household","gwdevelopment",0,1666
"household","rainfall",0,1666
"household","gwavailability",0,1666
"household","dlbfhcast",371,1666
"household","bfrelsc",0,1666
"household","dlbfrelsc",371,1666
"household","naturalwater",0,1666
"table6","village",0,120
"table6","ownpump",4,120
"table6","sellwater",4,120
"table6","buywater",4,120
"table6","domhigh",30,120
"table6","popall",2,120
"table6","popallland",2,120
"table6","popallcrop",2,120
"table6","aownland",2,120
"table6","aowncrop",2,120
"table6","asellland",2,120
"table6","abuyland",2,120
"table6","asellcrop",2,120
"table6","abuycrop",2,120
"table6","pumppop",0,120
"table6","sellpop",2,120
"table6","buypop",2,120
"table6","poplow",2,120
"table6","poplowland",2,120
"table6","poplowcrop",2,120
"table6","lownland",6,120
"table6","lowncrop",4,120
"table6","lsellland",6,120
"table6","lsellcrop",4,120
"table6","lbuyland",6,120
"table6","lbuycrop",4,120
