"model","published_n","reproduced_n","r_squared","adjusted_r_squared"
"T3_1",1295,1295,0.126494407499811,0.122425282068909
"T3_2",1295,1295,0.279162085606586,0.26263694764816
"T3_3",1295,1295,0.202415161670845,0.194321014209269
"T3_4",1295,1127,0.141574185612143,0.134657594448767
"T3_5",1295,1295,0.172752264267185,0.163050375263282
"T3_6",1295,1122,0.120611689261008,0.106260837408513
"T4_1",1295,1295,0.303580966673392,0.286487546219611
"T4_2",1295,1295,0.312725279441996,0.294739501663714
"T4_3",1295,1295,0.223411669926921,0.213073375791258
"T4_4",1295,1127,0.190477227519705,0.181021885163691
"T4_5",1295,1295,0.209505803270018,0.19772588975012
"T4_6",1295,1295,0.129862100105605,0.123085325184309
"T4_7",1295,1295,0.139584090503325,0.132883032018149
