"draw","buyer_gap","buyer_minus_owner","reference_mean","buyer_ratio","difference_ratio","reason"
1,-14760.3639547105,-18888.9291251622,36643.4765757191,-0.40281014068657,-0.51547863058601,""
2,-7776.48451193034,-9221.35399191168,30973.4666018076,-0.251069233286161,-0.297717853492496,""
3,-21475.4841705419,-18987.7911253901,33877.1076139306,-0.633923191297211,-0.560490327030817,""
4,-16756.6130932353,-4920.16166241554,43877.6380579527,-0.381894145512197,-0.112133694523782,""
5,-5090.73230713024,-10128.6940046057,38335.1347514395,-0.132795471833814,-0.264214383757327,""
6,-1369.25001448594,-5257.62321241813,33058.8255137903,-0.0414185922580573,-0.159038415028536,""
7,-5365.73533128781,-3725.20395702932,35092.6163216471,-0.1529021171322,-0.106153497444743,""
8,-10124.058860235,-8394.80616793492,33725.9387124787,-0.30018612518231,-0.248912453986901,""
9,-3258.26353747201,1336.85743165523,32301.243354376,-0.100871149191556,0.0413871818180063,""
10,-9557.26583600124,-2953.55897797654,39695.8766643209,-0.240762180838581,-0.0744046794318876,""
11,-8805.40478217444,-9619.07821147156,37200.8086548929,-0.236699284251077,-0.258571750434419,""
12,4464.24259758145,392.88778431173,46108.6193868792,0.0968201316140863,0.00852091842124277,""
13,-13855.2797032243,-28410.1449563432,47469.0211283026,-0.291880459590167,-0.598498647771865,""
14,-4549.16950125793,-5103.56475552054,31220.5258263069,-0.145710854665514,-0.163468251108705,""
15,-7418.19757139291,-11817.0112278648,29910.2461852027,-0.248015262912241,-0.395082379285495,""
16,-6689.27251728269,-15179.4423138731,45187.1533694322,-0.148034828894705,-0.335923845208216,""
17,-2777.81909913951,5146.03174120516,29944.1259454567,-0.0927667451105206,0.171854464898346,""
18,-2165.97352415014,4159.92754335905,31311.9351838827,-0.0691740549228347,0.132854373865091,""
19,-14247.4905613152,NA,31013.2172684042,-0.459400598074369,NA,""
20,-24221.3135099551,-12588.6394654876,46770.296850673,-0.517878122246867,-0.269158853228585,""
21,-2566.97834576262,-5950.12402510928,32709.5257498193,-0.0784780056243037,-0.181907988230069,""
22,4071.15380724435,8567.11356968433,31808.9449093765,0.127987703422514,0.26933032812286,""
23,3219.7274773728,3310.72811671516,40868.0170048032,0.0787835503982095,0.0810102461376104,""
24,-3044.19444675244,5396.96748447004,37023.1031835524,-0.0822241839550832,0.145772963916965,""
25,-8066.90814361223,-5639.85734339567,34391.9904368118,-0.234557757232269,-0.163987523599652,""
26,-10436.1646201218,-7804.07289159123,35660.9689423864,-0.292649496904651,-0.218840741657901,""
27,-12234.5987968368,-3340.06462079234,38012.6371730126,-0.321856090677203,-0.0878672165151344,""
28,-6254.53367310711,-2511.48767365466,33983.302285009,-0.184047260052951,-0.0739035792517006,""
29,20270.1140281131,-1985.57461247572,35589.5806552561,0.569551920953005,-0.0557908965466407,""
30,10988.4949365555,7901.03529720744,32103.0984113456,0.342287675655384,0.24611441537416,""
