"method","contrast","estimate","std_error","df","lower","upper","p_value"
"HC1","buyer_gap",-8763.73094582399,7412.17057501593,697,-23316.5891000275,5789.12720837954,0.237472655962024
"HC1","buyer_minus_owner",-5673.32863658754,6901.31319930787,697,-19223.1830349456,7876.52576177055,0.411320975246686
"CR1","buyer_gap",-8763.73094582399,6715.23353248345,86,-22113.1733879311,4585.71149628314,0.195356142957476
"CR1","buyer_minus_owner",-5673.32863658754,7021.98291342113,86,-19632.5686658033,8285.91139262825,0.421355320636296
"CR2","buyer_gap",-8763.73094582399,8131.01877713943,6.83218751168388,-28086.6841347643,10559.2222431163,0.317693320134347
"CR2","buyer_minus_owner",-5673.32863658754,7507.24554101309,3.19419546833324,-28763.6729521916,17417.0156790165,0.501670462890756
