"buyer","pump","status","Freq"
"0","0","buyer",0
"1","0","buyer",1090
NA,"0","buyer",0
"0","1","buyer",0
"1","1","buyer",0
NA,"1","buyer",0
"0",NA,"buyer",0
"1",NA,"buyer",0
NA,NA,"buyer",0
"0","0","owner",0
"1","0","owner",0
NA,"0","owner",0
"0","1","owner",245
"1","1","owner",0
NA,"1","owner",0
"0",NA,"owner",0
"1",NA,"owner",0
NA,NA,"owner",0
"0","0","both",0
"1","0","both",0
NA,"0","both",0
"0","1","both",0
"1","1","both",153
NA,"1","both",0
"0",NA,"both",0
"1",NA,"both",0
NA,NA,"both",0
"0","0","neither",106
"1","0","neither",0
NA,"0","neither",0
"0","1","neither",0
"1","1","neither",0
NA,"1","neither",0
"0",NA,"neither",0
"1",NA,"neither",0
NA,NA,"neither",0
"0","0",NA,0
"1","0",NA,0
NA,"0",NA,59
"0","1",NA,0
"1","1",NA,0
NA,"1",NA,12
"0",NA,NA,2
"1",NA,NA,3
NA,NA,NA,830
