"metric","value"
"target_households",2500
"target_complete_owned_seasons",1734
"target_owned_season_disagreements",13
"primary_districts",36
"districts_with_both_groups",16
"overlap_districts_one_upper_village",13
"primary_effective_households",311.938099517424
"largest_village_weight_share",0.0848785356933537
"roster_villages",195
"roster_missing",0
"roster_min",2
"roster_median",11
"roster_max",14
"roster_no_upper_hindu",93
"roster_no_obc_sc_hindu",15
