"exposure","villages","participants_median","no_upper_hindu","no_obc_hindu","no_sc_hindu","no_panchayat","no_cultivator"
"obc",60,10,38,0,24,32,0
"other_or_unresolved",103,11,50,17,37,64,1
"upper",32,11,5,7,16,22,1
