"response","iid_F","cluster_F","partial_R2","numerator_df","cluster_denominator_df"
"buywater",23.9234932472807,21.3281810843797,0.0417204623267224,2,79
"dlbuywater",23.4674443392267,19.6650568451128,0.0409577273038444,2,79
