"model","term","estimate","se","p","lower","upper","n","clusters","rank","omitted_village"
"T3_1","domlow",569.003437199143,210.593686071446,0.00827132374609227,150.492739271921,987.514135126365,1288,89,7,2
"T3_1","domlow",566.130281279373,209.463820771351,0.00825167686910309,149.864953211654,982.395609347092,1293,89,7,3
"T3_1","domlow",564.141047940187,211.12107488307,0.00898057360299455,144.582275572799,983.699820307575,1286,89,7,5
"T3_1","domlow",573.590466870762,211.293480789689,0.00798332671199055,153.689073992513,993.491859749012,1286,89,7,6
"T3_1","domlow",565.083376121537,210.776851485893,0.0087646125109665,146.208675422597,983.958076820478,1280,89,7,8
"T3_1","domlow",570.701448317484,210.826135291714,0.00815567042473635,151.728806410736,989.674090224231,1288,89,7,9
"T3_1","domlow",572.42826193641,210.636971172057,0.00791820580999923,153.831543967447,991.024979905374,1281,89,7,10
"T3_1","domlow",565.210528536935,210.799785563499,0.00875708445749771,146.290251178011,984.13080589586,1288,89,7,11
"T3_1","domlow",566.23192931861,211.356279680683,0.00881103360251184,146.205736840766,986.258121796453,1285,89,7,12
"T3_1","domlow",564.214282480837,210.961553679938,0.0089222262871778,144.97252498366,983.456039978013,1288,89,7,15
"T3_1","domlow",569.459332719054,212.099039883962,0.00867033169460087,147.957060417235,990.961605020873,1283,89,7,17
"T3_1","domlow",570.12442453212,210.559400948609,0.00814008908251824,151.681861082027,988.566987982214,1283,89,7,18
"T3_1","domlow",574.497231899248,209.904906659778,0.00750233693379125,157.355338315938,991.639125482558,1286,89,7,20
"T3_1","domlow",566.334358883855,210.137980948323,0.00842961022663548,148.729279129167,983.939438638543,1290,89,7,22
"T3_1","domlow",563.237189842737,210.924856345906,0.00902514777111385,144.068360585547,982.406019099926,1280,89,7,23
"T3_1","domlow",565.990923357589,210.783080675758,0.00866297780920378,147.103843452764,984.878003262414,1288,89,7,24
"T3_1","domlow",562.610503350778,210.318103467165,0.00890855330380702,144.647467939968,980.573538761589,1282,89,7,25
"T3_1","domlow",564.712831693911,212.412751520353,0.00932138871240919,142.587123436613,986.83853995121,1281,89,7,26
"T3_1","domlow",569.623311129519,211.998273887268,0.00862139122512539,148.32129007165,990.925332187389,1284,89,7,27
"T3_1","domlow",589.848257337468,210.843512503017,0.00632423633379441,170.841081874817,1008.85543280012,1284,89,7,29
"T3_1","domlow",563.497243852885,211.560896578108,0.00919538700940128,143.064418288617,983.930069417153,1284,89,7,30
"T3_1","domlow",568.70903904453,210.075079493215,0.00815128669161794,151.228962714063,986.189115374998,1291,89,7,33
"T3_1","domlow",581.146699737375,210.21331182563,0.00694282588711891,163.391915693706,998.901483781043,1280,89,7,37
"T3_1","domlow",603.737178783552,207.781147476971,0.00463507629393835,190.815810299578,1016.65854726753,1284,89,7,39
"T3_1","domlow",573.473945599925,210.337549568208,0.00772552614802653,155.472265149603,991.475626050248,1281,89,7,41
"T3_1","domlow",571.914360468132,210.064260171097,0.00780950382116013,154.455785266852,989.372935669412,1285,89,7,42
"T3_1","domlow",565.918299393915,211.027083351209,0.00874583565973086,146.546315445176,985.290283342655,1280,89,7,45
"T3_1","domlow",573.461532206838,214.563029709524,0.00896639615708976,147.062597897632,999.860466516043,1274,89,7,46
"T3_1","domlow",569.12035751106,212.647206468859,0.00887636847553021,146.528719310837,991.711995711284,1265,89,7,47
"T3_1","domlow",573.273399677936,212.603829573034,0.00839746120428759,150.767963943152,995.77883541272,1265,89,7,48
"T3_1","domlow",567.982815826673,211.893572348241,0.00877539333088795,146.888867076144,989.076764577203,1271,89,7,49
"T3_1","domlow",575.910798359289,213.989503325222,0.00851765636358832,150.651627220819,1001.16996949776,1275,89,7,51
"T3_1","domlow",591.957096034312,211.86304034704,0.00638751014753614,170.923823220323,1012.9903688483,1265,89,7,52
"T3_1","domlow",581.190702482119,211.94922173321,0.00739431560381111,159.986162272856,1002.39524269138,1265,89,7,54
"T3_1","domlow",568.535390665259,211.824056965591,0.00869133541727528,147.579589130119,989.491192200399,1283,89,7,55
"T3_1","domlow",582.168315698294,212.3270443162,0.00740001555048388,160.21293249915,1004.12369889744,1279,89,7,56
"T3_1","domlow",561.393009961679,213.273067012155,0.0100159431864679,137.557605446964,985.228414476394,1283,89,7,58
"T3_1","domlow",542.713542225661,212.388485152396,0.0123276014081611,120.63605827546,964.791026175862,1281,89,7,59
"T3_1","domlow",533.170682828422,210.628293679342,0.0131391759222218,114.591209552783,951.750156104061,1280,89,7,60
"T3_1","domlow",557.824398390821,213.566633995041,0.0105847555374158,133.405591186368,982.243205595275,1281,89,7,61
"T3_1","domlow",569.140825571271,209.130282860535,0.00783355005350662,153.538334013255,984.743317129287,1286,89,7,62
"T3_1","domlow",556.075381380018,208.658396787745,0.00915805880668194,141.410664231813,970.740098528224,1285,89,7,65
"T3_1","domlow",508.719710888547,204.834706853718,0.0149027507036906,101.653773992488,915.785647784605,1281,89,7,68
"T3_1","domlow",535.938101528508,210.379160090371,0.0125868003271309,117.85372890922,954.022474147797,1283,89,7,69
"T3_1","domlow",454.593715207005,175.435012051031,0.0111941065824724,105.953493821457,803.233936592552,1281,89,7,70
"T3_1","domlow",576.327173550898,208.631305794251,0.00698473361157554,161.71629405949,990.938053042306,1292,89,7,71
"T3_1","domlow",602.836182253468,204.680612719259,0.00412798715010885,196.076475069051,1009.59588943789,1282,89,7,72
"T3_1","domlow",572.31347355928,208.311590528901,0.00728593477290312,158.337960974335,986.288986144226,1283,89,7,73
"T3_1","domlow",578.981612774371,213.366657207825,0.00800800991777233,154.960217412353,1003.00300813639,1283,89,7,74
"T3_1","domlow",575.664454249104,208.543679600477,0.00702449032988034,161.227713404478,990.101195093731,1285,89,7,75
"T3_1","domlow",559.270662504035,208.526732900074,0.00873916904321376,144.867599665362,973.673725342707,1286,89,7,77
"T3_1","domlow",561.477885949424,208.747884288135,0.0085545287925822,146.635331198665,976.320440700184,1291,89,7,78
"T3_1","domlow",572.297632997209,208.337658644715,0.00729451632984895,158.270315509911,986.324950484507,1284,89,7,79
"T3_1","domlow",560.797707535476,208.823527410569,0.00865512972542081,145.804827974159,975.790587096793,1283,89,7,80
"T3_1","domlow",553.695952921214,208.552006925483,0.00941409434501248,139.242663268001,968.149242574427,1283,89,7,81
"T3_1","domlow",552.07455416152,206.740175312622,0.0090237298185568,141.221899109326,962.927209213714,1280,89,7,82
"T3_1","domlow",574.471083849464,214.846712738924,0.00893756406265049,147.508389131107,1001.43377856782,1280,89,7,83
"T3_1","domlow",498.051709937181,199.186925312622,0.0142574139784645,102.209552056524,893.893867817838,1280,89,7,84
"T3_1","domlow",585.691727439562,213.750822423549,0.00743697576618707,160.906884437915,1010.47657044121,1282,89,7,85
"T3_1","domlow",556.68722638402,214.152582132003,0.0109475991035064,131.103970385667,982.270482382373,1281,89,7,86
"T3_1","domlow",565.836116751335,209.078769297735,0.00817032995610073,150.335997574572,981.336235928099,1294,89,7,87
"T3_1","domlow",560.361882385406,209.036416148883,0.0087710291416966,144.945931192101,975.777833578712,1285,89,7,88
"T3_1","domlow",589.124103774092,213.357703608281,0.00700866838785816,165.120501809703,1013.12770573848,1282,89,7,89
"T3_1","domlow",543.3035156674,210.58394435507,0.0115383152843176,124.812177354398,961.794853980402,1284,89,7,91
"T3_1","domlow",569.421324964025,208.800451174165,0.00771127364329025,154.474304573431,984.36834535462,1288,89,7,92
