"village_key","upper_min","upper_max","obc_min","obc_max","sc_min","sc_max","lower_min","lower_max","single_upper","single_obc","reported_land","upper_population","participants","upper_hindu_participants","obc_sc_hindu_participants","obc_hindu_participants","sc_hindu_participants","cultivator_participants","panchayat_participants","caste_unknown","religion_unknown","position_unknown"
"10_2_6",25,55,37,67,8,38,45,75,25,15,70,22,4,1,3,3,0,1,0,0,0,0
"10_2_7",0,0,75,75,25,25,100,100,0,75,100,0,6,0,6,6,0,5,0,0,0,0
"10_2_8",10,25,35,50,25,40,60,75,10,15,85,10,2,0,1,0,1,1,0,0,0,0
"10_5_1",45,65,35,55,0,20,35,55,35,10,80,60,8,4,4,4,0,1,2,0,0,0
"10_5_2",0,2,21,23,14,16,35,37,0,21,98,47,7,0,0,0,0,2,1,0,0,0
"10_5_3",0,0,91,91,0,0,91,91,0,75,100,3.90000009537,8,0,8,8,0,4,0,0,0,0
"10_5_4",40,59,38,57,1,20,39,58,40,20,81,20,13,1,10,7,3,3,0,0,0,0
"10_5_5",80,80,12,12,0,0,12,12,50,5,100,18,9,3,6,4,2,3,2,0,0,0
"10_5_6",0,16,58,74,26,42,84,100,0,40,84,2,12,1,11,9,2,9,4,0,0,0
"10_5_7",5,7,93,95,0,2,93,95,5,40,98,0.10000000149,8,0,8,8,0,7,0,0,0,0
"10_6_4",0,10,80,90,0,10,80,90,0,40,90,20,12,0,11,9,2,9,1,0,0,0
"10_6_5",0,22,62,84,16,38,78,100,0,30,78,0.5,13,0,13,6,7,5,1,0,0,0
"10_12_1",0,0,90,90,10,10,100,100,0,55,100,0,12,0,12,12,0,8,1,0,0,0
"10_12_2",0,1,98,99,1,2,99,100,0,55,99,0,10,0,10,10,0,8,1,0,0,0
"10_12_3",0,0,83,83,17,17,100,100,0,70,100,0,8,0,8,6,2,5,1,0,0,0
"10_12_4",20,40,53,73,2,22,55,75,15,35,80,17,12,1,11,10,1,9,1,0,0,0
"10_14_1",0,0,75,75,10,10,85,85,0,60,100,6,5,1,4,1,3,4,0,0,0,0
"10_14_2",0,33,50,83,0,33,50,83,0,20,67,5,14,0,14,5,9,3,2,0,0,0
"10_14_3",23,23,51,51,0,0,51,51,23,30,100,10,7,4,2,1,1,4,1,0,0,0
"10_14_4",70,71,27,28,2,3,29,30,70,15,99,73,8,3,4,2,2,1,2,0,0,0
"10_14_5",0,0,37,37,2,2,39,39,0,30,100,40,6,0,2,2,0,4,3,0,0,0
"10_14_6",15,16,54,55,30,31,84,85,15,40,99,21,12,2,10,9,1,5,2,0,0,0
"10_14_7",6,31,57,82,12,37,69,94,6,40,75,8,4,0,4,4,0,4,0,0,0,0
"10_16_1",20,30,70,80,0,10,70,80,20,40,90,15,4,1,3,3,0,3,2,0,0,0
"10_16_2",50,50,0,0,40,40,40,40,50,0,100,80,7,3,3,0,3,6,2,0,0,0
"10_16_3",15,15,70,70,8,8,78,78,15,70,100,5,3,0,2,2,0,3,0,0,0,0
"10_16_4",80,80,10,10,3,3,15,15,50,10,100,20,10,5,3,1,2,1,0,0,0,0
"10_16_5",20,40,50,70,0,20,50,70,20,40,80,25,4,0,4,4,0,4,1,0,0,0
"10_16_7",35,35,30,30,30,30,65,65,35,30,100,30,10,1,9,6,3,4,0,0,0,0
"10_16_8",0,6,80,86,5,11,87,93,0,80,94,10,5,0,4,3,1,4,1,0,0,0
"10_16_9",60,60,27,27,0,0,27,27,28,18,100,45,5,3,2,2,0,4,1,0,0,0
"10_16_10",20,30,50,60,20,30,70,80,20,40,90,36,4,0,4,0,4,3,0,0,0,0
"10_16_11",50,60,35,45,0,10,40,50,50,20,90,15,8,1,5,5,0,8,0,0,0,0
"10_22_1",0,6,37,43,0,6,37,43,0,35,94,20,13,0,7,6,1,3,4,0,0,0
"10_22_2",0,0,100,100,0,0,100,100,0,45,100,0,9,0,9,9,0,6,2,0,0,0
"10_22_3",0,16,79,95,0,16,79,95,0,55,84,6,7,2,4,4,0,4,2,0,0,0
"10_22_4",0,5,95,100,0,5,95,100,0,70,95,0.5,7,0,7,6,1,4,2,0,0,0
"10_23_4",18,28,70,80,2,12,72,82,18,60,90,15,7,0,6,6,0,5,1,0,0,0
"10_27_1",0,15,78,93,7,22,85,100,0,40,85,1,6,0,6,2,4,1,0,0,0,0
"10_27_2",0,20,0,20,0,20,0,20,0,0,80,0,7,0,1,1,0,2,0,0,0,0
"10_27_3",20,55,45,80,0,35,45,80,20,35,65,25,4,3,1,1,0,2,0,0,0,0
"10_27_4",5,35,50,80,15,45,65,95,5,40,70,4,5,0,5,5,0,2,0,0,0,0
"10_27_5",35,37,51,53,12,14,63,65,35,50,98,10,12,2,10,7,3,8,0,0,0,0
"10_27_7",75,80,20,25,0,5,20,25,75,20,95,50,3,2,1,1,0,1,0,0,0,0
"10_27_8",0,20,30,50,0,20,30,50,0,15,80,30,7,0,2,1,1,3,0,0,0,0
"10_27_12",45,85,15,55,0,40,15,55,25,10,60,30,7,1,6,5,1,4,0,0,0,0
"10_27_13",8,28,57,77,15,35,72,92,8,30,80,1,8,0,8,8,0,7,0,0,0,0
"10_31_1",50,50,30,30,20,20,50,50,30,20,100,45,11,4,7,5,2,6,5,0,0,0
"10_31_2",20,66,27,73,2,48,29,75,20,17,54,5,11,5,4,3,1,8,1,0,0,0
"10_31_3",40,40,25,25,15,15,40,40,40,15,100,40,12,0,10,5,5,2,5,0,0,0
"10_32_1",0,2,42,44,56,58,98,100,0,37,98,10,10,0,10,3,7,4,6,0,0,0
"10_32_2",40,74,23,57,3,37,26,60,40,10,66,28,14,0,14,9,5,4,7,0,0,0
"10_32_5",93,95,3,5,2,4,5,7,93,1,98,62,11,2,8,5,3,2,4,0,0,0
"10_32_6",35,49,43,57,5,19,48,62,35,30,86,32,7,3,4,4,0,3,0,0,0,0
"10_32_13",80,84,12,16,2,6,14,18,80,7,96,30,11,5,6,3,3,5,5,0,0,0
