"village_key","upper_min","upper_max","obc_min","obc_max","sc_min","sc_max","lower_min","lower_max","single_upper","single_obc","reported_land","upper_population","participants","upper_hindu_participants","obc_sc_hindu_participants","obc_hindu_participants","sc_hindu_participants","cultivator_participants","panchayat_participants","caste_unknown","religion_unknown","position_unknown"
"9_1_1",0,56,28,84,16,72,44,100,0,10,44,5,8,3,2,2,0,6,0,0,0,0
"9_1_2",5,42,25,62,13,50,38,75,5,15,63,10,9,0,0,0,0,6,0,0,0,0
"9_1_3",40,69,10,39,11,40,21,50,20,10,71,40,10,1,0,0,0,7,1,0,0,0
"9_1_4",20,47,45,72,8,35,53,80,20,20,73,25,10,1,9,7,2,5,0,0,0,0
"9_1_5",10,30,57,77,13,33,70,90,10,30,80,5,10,0,10,8,2,7,1,0,0,0
"9_1_7",20,60,32,72,8,48,40,80,20,20,60,15,12,0,12,11,1,8,1,0,0,0
"9_2_1",10,10,65,65,20,20,85,85,10,50,100,1,10,0,10,7,3,7,0,0,0,0
"9_2_2",35,82,11,58,5,52,16,63,20,8,53,43,10,9,1,1,0,7,0,0,0,0
"9_2_3",10,64,21,75,5,59,26,80,10,8,46,45,11,2,7,7,0,7,0,0,0,0
"9_2_4",0,25,50,75,10,35,60,85,0,20,75,12,14,2,11,1,10,1,1,0,0,0
"9_2_6",65,85,5,25,10,30,15,35,20,5,80,55,11,10,1,1,0,9,0,0,0,0
"9_2_7",25,63,33,71,4,42,37,75,25,15,62,50,11,7,4,1,3,7,1,0,0,0
"9_2_8",10,47,43,80,10,47,53,90,10,20,63,25,10,0,10,9,1,6,1,0,0,0
"9_3_1",0,4,46,50,0,4,46,50,0,40,96,0,14,0,1,1,0,11,2,0,0,0
"9_3_2",55,65,5,15,20,30,25,35,30,5,90,15.00000019372,14,0,12,12,0,12,0,0,0,0
"9_3_3",30,60,0,30,20,50,20,50,30,0,70,40,14,4,10,9,1,10,0,0,0,0
"9_3_4",20,72,10,62,13,65,23,75,20,5,48,25,9,0,9,0,9,5,0,0,0,0
"9_3_6",0,5,0,5,2,7,2,7,0,0,95,50,11,0,0,0,0,5,0,0,0,0
"9_3_7",68,71,25,28,0,3,25,28,60,15,97,70,7,7,0,0,0,3,0,0,0,0
"9_4_1",20,30,50,60,20,30,70,80,20,40,90,6,14,2,12,7,5,5,0,0,0,0
"9_4_2",0,0,0,0,2,2,2,2,0,0,100,90,10,0,0,0,0,5,0,0,0,0
"9_4_3",0,0,25,25,0,0,25,25,0,20,100,40,9,0,0,0,0,4,1,0,0,0
"9_4_5",0,100,0,100,0,100,0,100,0,0,0,90,10,0,0,0,0,5,0,0,0,0
"9_5_1",0,70,1,71,0,70,1,71,0,1,30,0.20000000298,12,2,3,3,0,5,0,0,0,0
"9_5_2",0,0,80,80,0,0,80,80,0,80,100,0,12,0,9,8,1,9,2,0,0,0
"9_5_3",0,7,56,63,25,32,81,88,0,55,93,1,12,0,12,9,3,8,0,0,0,0
"9_5_4",0,13,20,33,0,13,20,33,0,20,87,20,11,0,0,0,0,4,1,0,0,0
"9_5_5",49,49,0,0,0,0,0,0,49,0,100,70,10,0,1,0,1,3,1,0,0,0
"9_5_6",0,11,78,89,0,11,78,89,0,66,89,15,11,0,9,9,0,8,1,0,0,0
"9_5_7",80,83,3,6,12,15,15,18,80,3,97,60.10000000149,14,14,0,0,0,5,0,0,0,0
"9_5_8",0,6,68,74,24,30,92,98,0,65,94,1,10,0,10,6,4,6,0,0,0,0
"9_6_1",0,2,93,95,5,7,98,100,0,60,98,15,8,1,7,6,1,2,2,0,0,0
"9_6_2",0,35,15,50,20,55,35,70,0,10,65,35,6,0,3,0,3,4,0,0,0,0
"9_13_1",15,22,71,78,4,11,75,82,15,70,93,5,12,0,7,3,4,6,0,0,0,0
"9_14_1",60,72,9,21,18,30,27,39,35,8,88,55,11,4,7,7,0,7,0,0,0,0
"9_14_2",80,84,3,7,13,17,16,20,70,2,96,80,9,8,1,0,1,5,0,0,0,0
"9_14_3",20,43,50,73,7,30,57,80,20,50,77,30,9,0,9,0,9,1,0,0,0,0
"9_14_4",15,33,64,82,3,21,67,85,15,45,82,12,10,3,7,5,2,4,0,0,0,0
"9_14_5",0,6,84,90,10,16,94,100,0,60,94,10,10,1,9,8,1,6,0,0,0,0
"9_14_6",10,11,17,18,70,71,87,88,10,10,99,0.10000000149,10,0,10,10,0,4,0,0,0,0
"9_23_1",5,47,45,87,3,45,48,90,5,30,58,11,13,1,12,12,0,10,1,0,0,0
"9_23_3",0,49,8,57,5,54,13,62,0,8,51,40,13,0,3,1,2,3,1,0,0,0
"9_23_4",31,89,11,69,0,58,11,69,20,5,42,40,12,2,10,7,3,10,0,0,0,0
"9_23_5",0,0,51,51,49,49,100,100,0,50,100,0,12,0,12,12,0,5,0,0,0,0
"9_23_6",0,62,15,77,5,67,20,82,0,10,38,40,12,0,2,1,1,9,0,0,0,0
"9_23_7",8,40,10,42,10,42,20,52,8,5,68,25,14,6,8,3,5,1,0,0,0,0
"9_24_3",65,78,12,25,10,23,22,35,60,10,87,22.39999914171,11,11,0,0,0,5,3,0,0,0
"9_24_4",0,20,28,48,22,42,50,70,0,28,80,35,14,1,1,1,0,3,0,0,0,0
"9_24_5",0,14,33,47,35,49,68,82,0,30,86,14.80000019074,11,1,10,9,1,9,0,0,0,0
"9_24_7",0,79,6,85,5,84,11,90,0,5,21,15,12,0,1,1,0,0,0,0,0,0
"9_24_8",0,11,85,96,4,15,89,100,0,60,89,25,9,1,8,8,0,5,1,0,0,0
"9_29_1",0,36,59,95,5,41,64,100,0,30,64,15.00000019372,10,1,8,3,5,8,2,0,0,0
"9_29_2",30,56,27,53,15,41,42,68,30,22,74,36,6,0,6,6,0,5,0,0,0,0
"9_29_3",62,82,13,33,5,25,18,38,30,8,80,25,10,6,4,3,1,10,0,0,0,0
"9_29_4",0,13,47,60,22,35,69,82,0,20,87,10,14,0,13,13,0,6,0,0,0,0
"9_29_5",0,21,60,81,14,35,74,95,0,38,79,0,14,0,10,6,4,4,0,0,0,0
"9_30_1",0,5,90,95,5,10,95,100,0,80,95,1,10,0,10,10,0,1,1,0,0,0
"9_30_2",39,51,35,47,9,21,44,56,20,25,88,30,6,4,2,1,1,6,0,0,0,0
"9_33_1",15,56,33,74,11,52,44,85,15,15,59,24.69999980927,12,3,8,7,1,7,0,0,0,0
"9_33_2",9,34,25,50,11,36,36,61,9,15,75,11,13,0,13,7,6,8,12,0,0,1
"9_33_3",19,37,34,52,29,47,63,81,10,26,82,3.5,11,0,11,9,2,8,0,0,0,0
"9_33_4",2,46,47,91,7,51,54,98,2,25,56,5.50000019372,14,3,11,7,4,10,0,0,0,0
"9_33_5",0,25,35,60,20,45,55,80,0,30,75,6,12,0,8,3,5,2,1,0,0,0
"9_34_1",15,30,40,55,20,35,60,75,8,25,85,40,9,2,7,2,5,7,1,0,0,0
"9_34_2",0,80,9,89,9,89,18,98,0,5,20,25,14,10,4,1,3,11,0,0,0,0
"9_34_3",18,45,38,65,17,44,55,82,18,20,73,35,14,2,12,11,1,8,0,0,0,0
"9_34_10",55,87,8,40,5,37,13,45,30,8,68,60,14,13,1,1,0,8,0,0,0,0
"9_40_2",22,35,65,78,0,13,65,78,20,50,87,5,10,1,9,9,0,9,0,0,0,0
"9_40_3",39,59,16,36,20,40,36,56,30,11,80,55,12,1,11,10,1,6,1,0,0,0
"9_40_5",57,77,20,40,3,23,23,43,40,20,80,30,12,6,6,5,1,12,0,0,0,0
"9_41_2",45,55,35,45,10,20,45,55,40,25,90,30,13,13,0,0,0,13,0,0,0,0
"9_42_3",0,14,77,91,9,23,86,100,0,40,86,10,12,5,7,7,0,9,0,0,0,0
"9_42_4",35,61,12,38,27,53,39,65,20,8,74,27,13,12,1,1,0,12,1,0,0,0
"9_42_5",18,40,35,57,25,47,60,82,18,20,78,4,9,2,7,6,1,9,0,0,0,0
"9_42_6",40,75,5,40,20,55,25,60,40,5,65,52,11,3,7,2,5,4,0,0,0,0
"9_42_7",0,42,52,94,6,48,58,100,0,40,58,5,13,1,12,6,6,5,1,0,0,0
"9_42_8",60,90,10,40,0,30,10,40,30,5,70,45,10,5,5,4,1,7,1,0,0,0
"9_44_1",51,70,30,49,0,19,30,49,15,20,81,30,13,4,9,9,0,8,0,0,0,0
"9_44_2",18,41,59,82,0,23,59,82,15,50,77,30,10,0,10,3,7,4,4,0,0,0
"9_45_1",11,28,50,67,22,39,72,89,6,30,83,11.00000019372,14,1,13,8,5,6,1,0,0,0
"9_45_2",80,84,8,12,8,12,16,20,30,8,96,75,11,4,7,7,0,6,0,0,0,0
"9_45_3",55,75,15,35,0,20,25,45,20,10,80,20,11,0,11,7,4,7,0,0,0,0
"9_45_4",80,80,15,15,5,5,20,20,50,10,100,70,12,11,1,1,0,10,1,0,0,0
"9_45_5",56,78,21,43,1,23,22,44,50,10,78,11,9,0,9,9,0,7,1,0,0,0
"9_45_6",15,25,50,60,5,15,55,65,10,40,90,10.5,11,0,11,8,3,9,0,0,0,0
"9_47_1",10,25,60,75,5,20,65,80,10,30,85,15,10,0,8,7,1,9,3,0,0,0
"9_47_2",18,24,55,61,0,6,55,61,10,30,94,0.30000000447,11,1,10,8,2,4,0,0,0,0
"9_47_3",50,72,20,42,8,30,28,50,30,20,78,45,11,3,8,3,5,3,1,0,0,0
"9_47_4",63,63,15,15,22,22,37,37,63,10,100,16.00000019372,12,3,9,9,0,0,0,0,0,0
"9_48_1",0,20,65,85,15,35,80,100,0,40,80,8,9,2,7,6,1,7,0,0,0,0
"9_48_2",25,55,30,60,10,40,40,70,20,15,70,22,11,0,11,5,6,4,1,0,0,0
"9_48_3",20,50,30,60,0,30,30,60,10,20,70,30,10,1,6,5,1,1,0,0,0,0
"9_49_3",36,42,53,59,5,11,58,64,35,45,94,15,8,5,3,3,0,3,0,0,0,0
"9_49_4",60,70,25,35,5,15,30,40,40,10,90,50,5,5,0,0,0,4,0,0,0,0
"9_49_5",40,80,15,55,5,45,20,60,20,10,60,30,5,1,4,1,3,3,0,0,0,0
"9_49_6",45,55,45,55,0,10,45,55,45,15,90,25,9,0,9,9,0,6,1,0,0,0
"9_49_7",75,76,20,21,4,5,24,25,50,10,99,30,9,3,6,5,1,5,0,0,0,0
"9_49_8",15,21,50,56,9,15,59,65,15,30,94,5.10000000149,7,2,0,0,0,1,1,0,0,0
"9_50_1",40,70,15,45,5,35,20,50,30,15,70,50,11,3,1,1,0,6,0,0,0,0
"9_50_2",26,82,10,66,8,64,18,74,10,10,44,35,10,4,6,3,3,4,0,0,0,0
"9_50_3",0,32,48,80,15,47,63,95,0,20,68,4,11,0,11,6,5,7,0,0,0,0
"9_50_4",5,64,15,74,11,70,26,85,5,10,41,5,13,1,6,4,2,8,0,0,0,0
"9_51_2",26,67,25,66,8,49,33,74,18,20,59,46,11,2,9,8,1,4,1,0,0,0
"9_51_3",0,65,20,85,10,75,30,95,0,10,35,25,10,0,10,8,2,7,1,0,0,0
"9_51_4",43,53,26,36,19,29,45,55,43,22,90,50,14,7,7,6,1,13,0,0,0,0
"9_54_1",0,7,0,7,0,7,0,7,0,0,93,60.10000000149,14,0,12,6,6,7,0,0,0,0
"9_54_2",25,30,35,40,5,10,40,45,25,20,95,15.5,12,0,12,10,2,8,0,0,0,0
"9_54_3",5,10,82,87,8,13,90,95,5,35,95,11.10000000149,14,2,12,10,2,14,0,0,0,0
"9_54_4",50,54,31,35,15,19,46,50,50,10,96,50,14,8,6,4,2,13,0,0,0,0
"9_54_5",40,50,30,40,20,30,50,60,40,20,90,20,14,0,14,8,6,6,0,0,0,0
"9_54_6",6,23,13,30,4,21,17,34,6,7,83,60,13,0,6,5,1,6,2,0,0,0
"9_54_7",0,8,19,27,3,11,22,30,0,12,92,65.10000000149,14,1,2,2,0,13,0,0,0,0
"9_59_1",5,10,85,90,5,10,90,95,5,50,95,2,14,0,13,7,6,9,0,0,0,0
"9_59_2",0,4,58,62,38,42,96,100,0,50,96,10,8,1,5,3,2,6,1,0,0,0
"9_59_3",0,20,57,77,23,43,80,100,0,25,80,10,14,5,8,7,1,12,0,0,0,0
"9_59_4",0,50,22,72,22,72,50,100,0,10,50,12,10,0,8,6,2,4,2,0,0,0
"9_59_5",0,8,75,83,5,13,80,88,0,50,92,3,14,0,13,12,1,10,0,0,0,0
"9_59_6",43,47,43,47,5,9,50,54,38,43,96,10,14,2,11,6,5,10,2,0,0,0
"9_60_1",0,5,73,78,0,5,73,78,0,30,95,5,14,0,13,13,0,9,0,0,0,0
"9_65_1",35,40,45,50,15,20,60,65,30,20,95,30,7,3,4,4,0,4,0,0,0,0
"9_65_2",60,65,30,35,5,10,35,40,40,20,95,25,11,0,10,2,8,7,3,0,0,0
"9_65_3",60,62,30,32,8,10,38,40,60,15,98,10,12,3,9,8,1,11,0,0,0,0
"9_65_4",0,0,75,75,20,20,95,95,0,50,100,0,14,0,8,4,4,2,0,0,0,0
"9_65_5",40,44,45,49,6,10,51,55,40,30,96,4,10,0,9,4,5,5,0,0,0,0
"9_65_6",40,40,45,45,15,15,60,60,30,25,100,10,10,0,10,5,5,9,0,0,0,0
"9_65_7",40,42,48,50,10,12,58,60,40,30,98,4,14,0,14,6,8,7,0,0,0,0
"9_66_1",13,18,77,82,4,9,81,86,13,60,95,15,8,0,8,7,1,8,1,0,0,0
"9_66_2",40,43,53,56,4,7,57,60,40,40,97,7,9,0,9,9,0,5,0,0,0,0
"9_66_3",5,25,70,90,5,25,75,95,5,40,80,9,11,0,11,5,6,3,0,0,0,0
"9_67_1",2,10,90,98,0,8,90,98,2,75,92,1,14,0,14,14,0,10,0,0,0,0
"9_67_2",80,89,4,13,5,14,9,18,50,2,91,10,14,0,14,0,14,5,0,0,0,0
"9_68_1",50,52,38,40,10,12,48,50,50,20,98,25,14,2,12,10,2,13,0,0,0,0
"9_68_2",60,64,32,36,2,6,34,38,60,20,96,15.10000000149,14,3,5,4,1,12,0,0,0,0
"9_68_3",10,19,81,90,0,9,81,90,10,40,91,10,14,0,14,14,0,5,0,0,0,0
"9_68_4",91,94,3,6,3,6,6,9,90,2,97,76,9,9,0,0,0,2,0,0,0,0
"10_2_1",45,60,40,55,0,15,40,55,45,20,85,20,8,2,6,6,0,4,1,0,0,0
"10_2_2",30,45,45,60,0,15,45,60,30,20,85,20,4,0,4,4,0,1,0,0,0,0
"10_2_3",25,57,23,55,0,32,23,55,25,15,68,45,14,0,8,1,7,4,0,0,0,0
"10_2_4",52,72,28,48,0,20,28,48,30,20,80,55,3,1,2,1,1,1,0,0,0,0
"10_2_5",0,28,66,94,6,34,72,100,0,35,72,6,7,0,7,7,0,1,4,0,0,0
