"dominance","water_status","households","villages","districts"
0,"both",11,7,7
1,"both",50,23,12
0,"buyer",267,44,20
1,"buyer",342,42,18
0,"neither",271,46,22
1,"neither",239,38,18
0,"owner",42,18,11
1,"owner",73,29,15
