"scenario","definition","threshold","outcome","subgroup","weighting","geography","min_area","winsorize","common_outcomes"
"primary","obc",50,"gross_owned","all","survey","district",0,FALSE,FALSE
"state_effects","obc",50,"gross_owned","all","survey","state",0,FALSE,FALSE
"equal_households","obc",50,"gross_owned","all","household","district",0,FALSE,FALSE
"equal_villages","obc",50,"gross_owned","all","village","district",0,FALSE,FALSE
"cutoff_40","obc",40,"gross_owned","all","survey","district",0,FALSE,FALSE
"cutoff_60","obc",60,"gross_owned","all","survey","district",0,FALSE,FALSE
"not_upper_majority","not_upper",50,"gross_owned","all","survey","district",0,FALSE,FALSE
"broad_lower_majority","broad_lower",50,"gross_owned","all","survey","district",0,FALSE,FALSE
"single_jati_majority","single_jati",50,"gross_owned","all","survey","district",0,FALSE,FALSE
"sc_majority","sc",50,"gross_owned","all","survey","district",0,FALSE,FALSE
"obc_households","obc",50,"gross_owned","obc","survey","district",0,FALSE,FALSE
"sc_households","obc",50,"gross_owned","sc","survey","district",0,FALSE,FALSE
"sc_majority_obc_households","sc",50,"gross_owned","obc","survey","district",0,FALSE,FALSE
"sc_majority_sc_households","sc",50,"gross_owned","sc","survey","district",0,FALSE,FALSE
"sc_majority_40","sc",40,"gross_owned","all","survey","district",0,FALSE,FALSE
"sc_majority_60","sc",60,"gross_owned","all","survey","district",0,FALSE,FALSE
"not_upper_obc_households","not_upper",50,"gross_owned","obc","survey","district",0,FALSE,FALSE
"not_upper_sc_households","not_upper",50,"gross_owned","sc","survey","district",0,FALSE,FALSE
"broad_lower_obc_households","broad_lower",50,"gross_owned","obc","survey","district",0,FALSE,FALSE
"broad_lower_sc_households","broad_lower",50,"gross_owned","sc","survey","district",0,FALSE,FALSE
"single_jati_obc_households","single_jati",50,"gross_owned","obc","survey","district",0,FALSE,FALSE
"single_jati_sc_households","single_jati",50,"gross_owned","sc","survey","district",0,FALSE,FALSE
"up_only","obc",50,"gross_owned","up","survey","district",0,FALSE,FALSE
"bihar_only","obc",50,"gross_owned","bihar","survey","district",0,FALSE,FALSE
"minimum_tenth_acre","obc",50,"gross_owned","all","survey","district",0.1,FALSE,FALSE
"winsorized_99","obc",50,"gross_owned","all","survey","district",0,TRUE,FALSE
"net_income","obc",50,"net_owned","all","survey","district",0,FALSE,FALSE
"crop_season_acres","obc",50,"gross_cultivated","all","survey","district",0,FALSE,FALSE
"log_gross_value","obc",50,"log_gross_owned","all","survey","district",0,FALSE,FALSE
"common_sample_gross","obc",50,"gross_owned","all","survey","district",0,FALSE,TRUE
"common_sample_net","obc",50,"net_owned","all","survey","district",0,FALSE,TRUE
"common_sample_cultivated","obc",50,"gross_cultivated","all","survey","district",0,FALSE,TRUE
