"scenario","dominance","water_status","n","villages","weight_sum","effective_households"
"obc_households",0,"owner",12,5,11.4134572690697,8.45707817833475
"obc_households",1,"owner",98,34,76.9697613436347,27.3787948652522
"obc_households",0,"both",6,6,5.6029793805054,3.80689320571499
"obc_households",1,"both",67,34,70.6976315137992,21.2534637281634
"obc_households",0,"neither",27,12,17.8576031185279,25.3385429867492
"obc_households",1,"neither",26,18,18.7976793430624,23.9393852369688
"sc_households",0,"buyer",35,16,35.8108676518426,21.6116044095127
"sc_households",1,"buyer",71,31,76.132427158577,24.3807481567518
"sc_households",0,"owner",5,4,3.31782156475028,3.29889323807161
"sc_households",1,"owner",11,7,8.0537559731889,8.23874795971352
"sc_households",0,"both",4,2,4.67272686420527,3.95349081938016
"sc_households",1,"both",8,8,4.64129033639812,6.41053961731123
"sc_households",0,"neither",7,5,8.80375656908592,4.76068194904528
"sc_households",1,"neither",4,4,3.56735388195201,3.54722677674492
"sc_majority_obc_households",0,"buyer",65,23,74.4828812853288,45.7386044626596
"sc_majority_obc_households",1,"buyer",8,2,6.14509068402321,7.4656827601734
"sc_majority_obc_households",0,"owner",12,5,13.1438448798444,8.45707817833474
"sc_majority_obc_households",1,"owner",4,2,1.51914243825858,2.66330284596613
"sc_majority_obc_households",0,"both",6,6,6.45244382190012,3.80689320571499
"sc_majority_obc_households",1,"both",1,1,0.845806480690552,1
"sc_majority_obc_households",0,"neither",27,12,20.5649839292638,25.3385429867492
"sc_majority_obc_households",1,"neither",1,1,0.845806480690552,1
"sc_majority_sc_households",0,"buyer",35,16,38.7384591866718,21.6116044095127
"sc_majority_sc_households",1,"buyer",10,2,7.24803969034945,8.42835365242478
"sc_majority_sc_households",0,"owner",5,4,3.58905839769915,3.29889323807161
"sc_majority_sc_households",1,"owner",5,2,1.91653458687484,3.31565793003386
"sc_majority_sc_households",0,"both",4,2,5.0547292145871,3.95349081938016
"sc_majority_sc_households",0,"neither",7,5,9.5234767237867,4.76068194904528
"sc_majority_sc_households",1,"neither",1,1,0.92970220003093,1
"sc_majority_40",0,"buyer",177,36,195.573258687401,119.878617324217
"sc_majority_40",1,"buyer",21,3,14.5165342975633,18.3723146383389
"sc_majority_40",0,"owner",29,12,28.9507551829174,19.8291112674089
"sc_majority_40",1,"owner",19,3,8.08998106771847,15.8563462104168
"sc_majority_40",0,"both",15,11,14.2643962585003,10.5340567716283
"sc_majority_40",1,"both",1,1,0.869489058337988,1
"sc_majority_40",0,"neither",38,18,38.5230178867617,27.4026425352663
"sc_majority_40",1,"neither",3,2,2.21256756079965,2.81946016772352
"sc_majority_60",0,"buyer",33,10,41.0923859140746,25.6875362475999
"sc_majority_60",1,"buyer",4,1,0.962419987635433,4
"sc_majority_60",0,"owner",10,3,9.0415888325292,7.66656060123637
"sc_majority_60",1,"owner",7,1,1.68423497836201,7
"sc_majority_60",0,"both",8,6,10.3945068380154,6.15021760132199
"sc_majority_60",0,"neither",11,6,9.82486344938337,9.8619666644747
"not_upper_obc_households",0,"buyer",65,23,68.3239029941145,45.7386044626595
"not_upper_obc_households",1,"buyer",447,94,484.926062300309,207.87776203254
"not_upper_obc_households",0,"owner",12,5,12.0569823165134,8.45707817833474
"not_upper_obc_households",1,"owner",139,50,107.632992807822,43.6658186384365
"not_upper_obc_households",0,"both",6,6,5.91889220925338,3.80689320571499
"not_upper_obc_households",1,"both",95,54,99.7035207809875,32.5386274030462
"not_upper_obc_households",0,"neither",27,12,18.8644684900946,25.3385429867492
"not_upper_obc_households",1,"neither",32,23,25.5731781009049,25.6749970648154
"not_upper_sc_households",0,"buyer",35,16,38.0007970787444,21.6116044095127
"not_upper_sc_households",1,"buyer",183,68,195.225693368798,85.432983933072
"not_upper_sc_households",0,"owner",5,4,3.52071514299293,3.29889323807161
"not_upper_sc_households",1,"owner",37,20,25.1429589929899,27.9394354699092
"not_upper_sc_households",0,"both",4,2,4.95847649091869,3.95349081938016
"not_upper_sc_households",1,"both",13,12,8.84772757599752,10.7966214062832
"not_upper_sc_households",0,"neither",7,5,9.34212960615835,4.76068194904528
"not_upper_sc_households",1,"neither",9,7,7.9615017434,7.48666509509615
"broad_lower_obc_households",0,"buyer",65,23,68.1886932796053,45.7386044626595
"broad_lower_obc_households",1,"buyer",395,75,430.926828006614,178.88756326924
"broad_lower_obc_households",0,"owner",12,5,12.0331221290034,8.45707817833475
"broad_lower_obc_households",1,"owner",128,45,98.099037514765,38.1033453301699
"broad_lower_obc_households",0,"both",6,6,5.9071790065417,3.80689320571499
"broad_lower_obc_households",1,"both",88,47,93.809450497692,29.4984574757297
"broad_lower_obc_households",0,"neither",27,12,18.8271366151996,25.3385429867492
"broad_lower_obc_households",1,"neither",31,22,24.2085529505797,24.7861591437751
"broad_lower_sc_households",0,"buyer",35,16,36.4737667347806,21.6116044095127
"broad_lower_sc_households",1,"buyer",132,47,141.811422646949,56.6350711442822
"broad_lower_sc_households",0,"owner",5,4,3.37923814069051,3.29889323807161
"broad_lower_sc_households",1,"owner",25,13,16.2291836412732,17.8811088803084
"broad_lower_sc_households",0,"both",4,2,4.75922424771511,3.95349081938016
"broad_lower_sc_households",1,"both",10,10,6.28624020515668,7.9450743331548
"broad_lower_sc_households",0,"neither",7,5,8.9667239177912,4.76068194904528
"broad_lower_sc_households",1,"neither",6,6,6.09420046564404,5.30442313752534
"single_jati_obc_households",0,"buyer",17,6,13.510193831672,13.4771132125833
"single_jati_obc_households",1,"buyer",118,20,122.358199604166,36.4973212393249
"single_jati_obc_households",0,"owner",4,1,3.97601110996123,4
"single_jati_obc_households",1,"owner",31,13,28.6453106369141,5.48863453812708
"single_jati_obc_households",0,"both",4,4,4.27804947579021,2.74652086675134
"single_jati_obc_households",1,"both",24,14,28.3425363204323,5.36209040893517
"single_jati_obc_households",0,"neither",5,3,3.58439697284174,4.71704203721894
"single_jati_obc_households",1,"neither",7,5,5.30530204822251,6.86158686639989
"single_jati_sc_households",0,"buyer",10,4,8.50268067568647,8.80914629777389
"single_jati_sc_households",1,"buyer",28,13,30.3949980970377,6.40797759739643
"single_jati_sc_households",0,"owner",3,2,2.56922592262604,2.24362720547146
"single_jati_sc_households",1,"owner",1,1,0.962246243801143,1
"single_jati_sc_households",0,"both",4,2,4.54731019593359,3.95349081938016
"single_jati_sc_households",1,"both",4,4,2.84092405456583,3.27574545726105
"single_jati_sc_households",0,"neither",2,2,2.13127708272229,1.96492386303163
"single_jati_sc_households",1,"neither",2,2,2.05133772762695,1.99215211885197
"up_only",0,"buyer",85,18,88.1153195290309,55.0370887989027
"up_only",1,"buyer",230,33,251.970048577958,100.411354259428
"up_only",0,"owner",17,7,15.555261941289,11.3803468720216
"up_only",1,"owner",85,26,68.8182995830249,19.8060286753372
"up_only",0,"both",8,6,6.37751502169391,6.798938317095
"up_only",1,"both",49,23,54.4348241752846,12.1958714320356
"up_only",0,"neither",30,12,24.2093622244913,22.5798533515696
"up_only",1,"neither",19,13,13.5193689472275,16.9862920906424
"bihar_only",0,"buyer",15,5,13.1957437901727,12.9199339101549
"bihar_only",1,"buyer",138,23,150.602184133102,58.3444637372526
"bihar_only",1,"owner",24,10,18.8563994830273,20.1528311147872
"bihar_only",0,"both",2,2,3.40119608943443,1.94136891353721
"bihar_only",1,"both",26,14,22.4684817511768,18.2204007843537
"bihar_only",0,"neither",4,3,2.90359299358576,3.8109273347396
"bihar_only",1,"neither",11,7,8.57240175950178,10.7205662045842
"minimum_tenth_acre",0,"buyer",92,23,91.5629758507248,61.6403148908415
"minimum_tenth_acre",1,"buyer",350,56,388.787003097481,147.851834423756
"minimum_tenth_acre",0,"owner",17,7,14.5462009648,11.3803468720216
"minimum_tenth_acre",1,"owner",109,36,85.6025745545729,31.6529996195407
"minimum_tenth_acre",0,"both",10,8,9.79647324002133,7.49905387015988
"minimum_tenth_acre",1,"both",74,37,75.9441000191236,23.2965530869614
"minimum_tenth_acre",0,"neither",34,15,25.9108508007158,26.3207793703932
"minimum_tenth_acre",1,"neither",25,16,18.8498214725612,23.1084739753889
"winsorized_99",0,"buyer",100,23,98.0633303062725,67.3501800048275
"winsorized_99",1,"buyer",368,56,408.641970612391,156.987030809881
"winsorized_99",0,"owner",17,7,14.6649817746597,11.3803468720216
"winsorized_99",1,"owner",109,36,86.3015847742359,31.6529996195407
"winsorized_99",0,"both",10,8,9.87646890542116,7.49905387015988
"winsorized_99",1,"both",75,37,76.8448640506834,23.4602966343791
"winsorized_99",0,"neither",34,15,26.1224326322683,26.3207793703932
"winsorized_99",1,"neither",30,20,22.4843669440688,27.4597101256039
"net_income",0,"buyer",100,23,98.0386914552938,67.3501800048272
"net_income",1,"buyer",368,56,408.53929748691,156.98703080988
"net_income",0,"owner",17,7,14.6612971323024,11.3803468720216
"net_income",1,"owner",109,36,86.2799011145048,31.6529996195407
"net_income",0,"both",10,8,9.87398739837062,7.49905387015988
"net_income",1,"both",75,37,76.825556434392,23.460296634379
"net_income",0,"neither",34,15,26.1158692540635,26.3207793703932
"net_income",1,"neither",29,19,21.6653997241619,26.4597534316423
"crop_season_acres",0,"buyer",100,23,98.1603330382258,67.3501800048273
"crop_season_acres",1,"buyer",367,56,408.278569955833,156.484888853974
"crop_season_acres",0,"owner",16,7,12.442257446885,11.1135329568616
"crop_season_acres",1,"owner",108,36,85.6568425277761,31.1907432788037
"crop_season_acres",0,"both",10,8,9.88623855594074,7.49905387015988
"crop_season_acres",1,"both",75,37,76.9208778034921,23.4602966343791
"crop_season_acres",0,"neither",34,15,26.1482725392212,26.3207793703932
"crop_season_acres",1,"neither",30,20,22.5066081326252,27.4597101256039
"log_gross_value",0,"buyer",99,23,97.2109216730326,66.6062828947449
"log_gross_value",1,"buyer",366,56,405.935654661774,155.688020046002
"log_gross_value",0,"owner",17,7,14.645112259752,11.3803468720216
"log_gross_value",1,"owner",108,36,85.4562544670437,31.1907432788037
"log_gross_value",0,"both",10,8,9.8630873241027,7.49905387015988
"log_gross_value",1,"both",75,37,76.7407473054127,23.460296634379
"log_gross_value",0,"neither",33,14,25.5067394135049,25.4948572385855
"log_gross_value",1,"neither",29,19,21.6414828953764,26.4597534316423
"common_sample_gross",0,"buyer",100,23,98.1356765553089,67.3501800048273
"common_sample_gross",1,"buyer",367,56,408.176016171898,156.484888853975
"common_sample_gross",0,"owner",16,7,12.4391321283506,11.1135329568616
"common_sample_gross",1,"owner",108,36,85.6353267442704,31.1907432788036
"common_sample_gross",0,"both",10,8,9.88375527308582,7.49905387015988
"common_sample_gross",1,"both",75,37,76.9015563703754,23.4602966343791
"common_sample_gross",0,"neither",34,15,26.1417044641626,26.3207793703932
"common_sample_gross",1,"neither",29,19,21.6868322925482,26.4597534316423
"common_sample_net",0,"buyer",100,23,98.1356765553089,67.3501800048273
"common_sample_net",1,"buyer",367,56,408.176016171898,156.484888853975
"common_sample_net",0,"owner",16,7,12.4391321283506,11.1135329568616
"common_sample_net",1,"owner",108,36,85.6353267442704,31.1907432788036
"common_sample_net",0,"both",10,8,9.88375527308582,7.49905387015988
"common_sample_net",1,"both",75,37,76.9015563703754,23.4602966343791
"common_sample_net",0,"neither",34,15,26.1417044641626,26.3207793703932
"common_sample_net",1,"neither",29,19,21.6868322925482,26.4597534316423
"common_sample_cultivated",0,"buyer",100,23,98.1356765553089,67.3501800048273
"common_sample_cultivated",1,"buyer",367,56,408.176016171898,156.484888853975
"common_sample_cultivated",0,"owner",16,7,12.4391321283506,11.1135329568616
"common_sample_cultivated",1,"owner",108,36,85.6353267442704,31.1907432788036
"common_sample_cultivated",0,"both",10,8,9.88375527308582,7.49905387015988
"common_sample_cultivated",1,"both",75,37,76.9015563703754,23.4602966343791
"common_sample_cultivated",0,"neither",34,15,26.1417044641626,26.3207793703932
"common_sample_cultivated",1,"neither",29,19,21.6868322925482,26.4597534316423
