"scenario","dominance","water_status","n","villages","weight_sum","effective_households"
"primary",0,"buyer",100,23,98.0633303062725,67.3501800048275
"primary",1,"buyer",368,56,408.641970612391,156.987030809881
"primary",0,"owner",17,7,14.6649817746597,11.3803468720216
"primary",1,"owner",109,36,86.3015847742359,31.6529996195407
"primary",0,"both",10,8,9.87646890542116,7.49905387015988
"primary",1,"both",75,37,76.8448640506834,23.4602966343791
"primary",0,"neither",34,15,26.1224326322683,26.3207793703932
"primary",1,"neither",30,20,22.4843669440688,27.4597101256039
"state_effects",0,"buyer",100,23,98.0633303062725,67.3501800048275
"state_effects",1,"buyer",368,56,408.641970612391,156.987030809881
"state_effects",0,"owner",17,7,14.6649817746597,11.3803468720216
"state_effects",1,"owner",109,36,86.3015847742359,31.6529996195407
"state_effects",0,"both",10,8,9.87646890542116,7.49905387015988
"state_effects",1,"both",75,37,76.8448640506834,23.4602966343791
"state_effects",0,"neither",34,15,26.1224326322683,26.3207793703932
"state_effects",1,"neither",30,20,22.4843669440688,27.4597101256039
"equal_households",0,"buyer",100,23,100,100
"equal_households",1,"buyer",368,56,368,368
"equal_households",0,"owner",17,7,17,17
"equal_households",1,"owner",109,36,109,109
"equal_households",0,"both",10,8,10,10
"equal_households",1,"both",75,37,75,75
"equal_households",0,"neither",34,15,34,34
"equal_households",1,"neither",30,20,30,30
"equal_villages",0,"buyer",100,23,146.970516743793,49.7331028939133
"equal_villages",1,"buyer",368,56,313.429248727492,207.63274156253
"equal_villages",0,"owner",17,7,20.4056654392861,5.05962040025164
"equal_villages",1,"owner",109,36,95.0548357531543,49.0001814716171
"equal_villages",0,"both",10,8,24.9838694830074,4.02659380532365
"equal_villages",1,"both",75,37,75.4789625237914,32.226247469215
"equal_villages",0,"neither",34,15,46.766385115523,16.3446536281352
"equal_villages",1,"neither",30,20,19.9105162139538,24.0563416078847
"cutoff_40",0,"buyer",124,26,110.800946734042,79.0519709922092
"cutoff_40",1,"buyer",436,64,481.257397461334,187.892495518809
"cutoff_40",0,"owner",22,9,17.0878536369784,15.0257374824879
"cutoff_40",1,"owner",110,40,93.6765903049338,32.6144342500709
"cutoff_40",0,"both",14,10,12.3797514183411,9.65006659309021
"cutoff_40",1,"both",78,40,82.0913451936931,23.6534592532818
"cutoff_40",0,"neither",28,13,19.7299457964518,25.4421082066072
"cutoff_40",1,"neither",28,19,22.9761694542261,25.9848795582631
"cutoff_60",0,"buyer",33,10,31.7647461116331,25.6875362475999
"cutoff_60",1,"buyer",268,38,292.141876968969,106.927034734796
"cutoff_60",0,"owner",10,3,6.98922117376243,7.66656060123637
"cutoff_60",1,"owner",68,26,56.9505676969015,17.4184095999803
"cutoff_60",0,"both",8,6,8.03503771612594,6.15021760132199
"cutoff_60",1,"both",55,28,55.8671340853605,15.44046186007
"cutoff_60",0,"neither",11,6,7.59469877713365,9.8619666644747
"cutoff_60",1,"neither",23,15,16.656717470114,21.2972336756175
"not_upper_majority",0,"buyer",100,23,104.757811749019,67.3501800048274
"not_upper_majority",1,"buyer",630,106,677.564243643398,291.465326513786
"not_upper_majority",0,"owner",17,7,15.6661148999783,11.3803468720216
"not_upper_majority",1,"owner",176,58,134.285494762948,59.0980322216894
"not_upper_majority",0,"both",10,8,10.5507050097907,7.49905387015988
"not_upper_majority",1,"both",108,60,111.604277107331,37.0014769578235
"not_upper_majority",0,"neither",34,15,27.9057306290825,26.3207793703932
"not_upper_majority",1,"neither",41,27,33.6656221984513,33.1109060467385
"broad_lower_majority",0,"buyer",100,23,103.186244123667,67.3501800048272
"broad_lower_majority",1,"buyer",527,79,571.509741705704,235.233049717622
"broad_lower_majority",0,"owner",17,7,15.431093200109,11.3803468720216
"broad_lower_majority",1,"owner",153,49,115.514858006333,47.8864151804728
"broad_lower_majority",0,"both",10,8,10.3924242463689,7.49905387015988
"broad_lower_majority",1,"both",98,51,102.073783217192,32.6730385615373
"broad_lower_majority",0,"neither",34,15,27.4870912733511,26.3207793703932
"broad_lower_majority",1,"neither",37,25,30.4047642272764,30.0835003727693
"single_jati_majority",0,"buyer",27,6,21.2775755259519,22.0167118695578
"single_jati_majority",1,"buyer",146,22,152.909442138943,42.7657566255464
"single_jati_majority",0,"owner",7,2,6.3190566939628,6.23958346606011
"single_jati_majority",1,"owner",32,14,30.5439205673313,5.77204204488003
"single_jati_majority",0,"both",8,6,8.32129556602601,6.30253096288838
"single_jati_majority",1,"both",28,16,31.8337347558494,6.21387782604991
"single_jati_majority",0,"neither",7,4,5.53880697228405,6.64395732491024
"single_jati_majority",1,"neither",9,6,7.25616777965168,8.84017329002526
"sc_majority",0,"buyer",100,23,113.312472748819,67.3501800048274
"sc_majority",1,"buyer",18,2,13.1555047742203,15.8838070944862
"sc_majority",0,"owner",17,7,16.9454304938772,11.3803468720216
"sc_majority",1,"owner",9,2,3.36938692590488,5.96914088894155
"sc_majority",0,"both",10,8,11.4122894888928,7.49905387015988
"sc_majority",1,"both",1,1,0.873455396843583,1
"sc_majority",0,"neither",34,15,30.1845493777549,26.3207793703932
"sc_majority",1,"neither",2,1,1.74691079368717,2
"obc_households",0,"buyer",65,23,64.6772075141346,45.7386044626595
"obc_households",1,"buyer",297,54,331.983680517267,132.695800169767
